branch_id	registered_branch_or_stratum	representative_source	frozen_role	question
B01	TWISTED_S3_LAMBDA_MINUS2	intrinsic_pair_C01	complete_configuration_witness	pointwise_and_global_reduction
B02	TWISTED_S3_LAMBDA_MINUS1	intrinsic_pair_C02	complete_configuration_witness	pointwise_and_global_reduction
B03	TWISTED_S3_LAMBDA_ZERO	intrinsic_pair_C03	complete_configuration_witness	pointwise_and_global_reduction
B04	TWISTED_S3_LAMBDA_HALF	intrinsic_pair_C04	complete_configuration_witness	pointwise_and_global_reduction
B05	TWISTED_S3_LAMBDA_PLUS1	intrinsic_pair_C05	complete_configuration_witness	pointwise_and_global_reduction
B06	TWISTED_S3_LAMBDA_PLUS2	intrinsic_pair_C06	complete_configuration_witness	pointwise_and_global_reduction
B07	TWIST_OFF_NONCONSTANT_DEPTH	intrinsic_pair_C07	degenerate_control	screen_without_twist_ruler
B08	DEPTH_OFF_TWISTED_CONTROL	intrinsic_pair_C08	degenerate_control	constant_depth_and_pair_loss
B09	STATIC_GENERIC_LAPSE_ROUND_S3	complete_nonultrastatic_W02	complete_clock_only_control	intrinsic_screen_requires_ruler
B10	ULTRASTATIC_ROUND_S3_B19	complete_pullback_Q01	conditional_complete_on_shell_spatial_control	isotropy_and_pair_selection
B11	ULTRASTATIC_SQUASHED_S3	complete_pullback_Q02	complete_off_shell_control	anisotropy_and_orientation
B12	WRL_LOCAL_STATIC_SPHERICAL	complete_pullback_Q03	local_incomplete_control	local_only_reduction
B13	PARALLEL_LAMBDA_PLUS1_PRODUCT	red_holonomy_survivor	complete_reduced_holonomy_control	parallel_grading_without_distinguished_ruler
B14	GENERAL_TIME_LIVE_FINITE_CELL	configuration_stratum_C01	structural_unconstructed_class	availability_only
B15	BOUNDARY_QUOTIENT_MONODROMY_CLASSES	configuration_strata_C08_C09_K12	structural_completion_class	transition_and_topology_requirements
