catch_id	mutation	failure_reason	result
promote_quotient_semantics	Call exact complete quotient a founded physical law	Only the two-channel pair action is founded	PASS
drop_corrected_B16	Remove the distinct exact unique-K witness	Corrected universe requires all sixteen identities	PASS
call_global_coframe_metric_flag	Treat supplied Maurer-Cartan axes as metric-selected	The intrinsic isotropic screen retains SO2 frame freedom	PASS
call_w_physical_on_isotropic	Call screen rotation inequivalent on the developed branch	C zero and S lambda I give exact finite metric equality	PASS
call_w_gauge_on_anisotropic	Generalize the special descent to anisotropic response	Anisotropic second metric jets depend on w	PASS
deny_global_screen_from_holonomy	Use full holonomy to deny the pointwise global projector	H is globally defined by intrinsic lines even when not parallel	PASS
call_ambient_connection_screen_closed	Restrict Levi-Civita transport without projection	Exact pair-screen leakage is nonzero	PASS
deny_projected_screen_connection	Claim no metric screen rotation law exists	D=H nabla is a canonical metric-compatible screen connection	PASS
promote_projected_connection_physical	Call D the physical observer comparison law	Its physical role and path domain remain open	PASS
promote_endpoint_descent	Discard path labels on the full-holonomy branch	Full Lorentz holonomy does not centralize X lambda	PASS
promote_lambda_plus1_full_pair	Call the reduced product a nontrivial founded pair completion	It has constant depth zero twist and no distinguished ruler	PASS
invent_other_completion_metrics	Give concrete descent to the eleven structural classes	No registered all-gate metric or transitions exist there	PASS
splice_branches	Combine static clock control with twisted ruler and another screen	Properties must remain on one representative	PASS
select_lambda	Promote any sampled lambda	All values are configuration nodes and no active selector exists	PASS
