completion_id	registered_structure	coverage_requirement
FC01_BOUNDARY_BOUNDARY	two_physical_boundaries	classify_transition_and_flag_data
FC02_ONE_CAP_BOUNDARY	one_primitive_cap_one_boundary	classify_transition_and_flag_data
FC03_TWO_CAP_P0	two_same_dependent_primitive_cycles	classify_transition_and_flag_data
FC04_TWO_CAP_P1	two_unimodular_primitive_caps_S3	classify_transition_and_flag_data
FC05_TWO_CAP_P_GT1	lens_space_primitive_caps	classify_transition_and_flag_data
FC06_NONPRIMITIVE_CAP	orbifold_or_singular_cap	classify_transition_and_flag_data
FC07_PERIODIC_TORUS_BUNDLE	GL2Z_mapping_torus	classify_transition_and_flag_data
FC08_MIRROR_DOUBLE	reflection_or_double_with_multiple_lifts	classify_transition_and_flag_data
FC09_NONORIENTABLE_GLUE	orientation_reversing_glue	classify_transition_and_flag_data
FC10_STRATIFIED_PROJECTOR	projector_rank_merger_or_split	classify_transition_and_flag_data
FC11_NONINTEGRABLE_DISTRIBUTION	anholonomic_plane_field	classify_transition_and_flag_data
FC12_RECIPROCAL_TORIC_DIAGONAL	parametric_toric_ansatz_open_profiles	classify_transition_and_flag_data
