source_id	path	registered_role	authority
S01	CURRENT_SCIENTIFIC_PREMISES.tsv	current premise stamps	CONTROLLING
S02	udt_finite_reciprocal_quotient_lift_audit_2026-07-27/EXACT_DERIVATION.md	parent finite quotient and w-fiber theorem	CONTROLLING_PARENT
S03	udt_finite_reciprocal_quotient_lift_audit_2026-07-27/DERIVATION_RESULT.json	parent exact ranks and second jets	CONTROLLING_EVIDENCE
S04	udt_complete_nonultrastatic_reciprocal_branch_audit_2026-07-27/CONFIGURATION_STRATUM_UNIVERSE.tsv	complete configuration stratum universe	CONTROLLING_UNIVERSE
S05	udt_complete_nonultrastatic_reciprocal_branch_audit_2026-07-27/WITNESS_UNIVERSE.tsv	concrete witness universe	CONTROLLING_UNIVERSE
S06	udt_complete_nonultrastatic_reciprocal_branch_audit_2026-07-27/EXACT_DERIVATION.md	global twisted and static S3 configurations	CONTROLLING_DERIVATION
S07	udt_twisted_s3_intrinsic_pair_witness_audit_2026-07-27/CANDIDATE_UNIVERSE.tsv	exact lambda-node and control universe	CONTROLLING_UNIVERSE
S08	udt_twisted_s3_intrinsic_pair_witness_audit_2026-07-27/EXACT_DERIVATION.md	intrinsic all-gate pair witness	CONTROLLING_DERIVATION
S09	udt_twisted_s3_killing_algebra_audit_2026-07-27/KILLING_STRATUM_UNIVERSE.tsv	killing and completion strata	CONTROLLING_UNIVERSE
S10	udt_twisted_s3_killing_algebra_audit_2026-07-27/EXACT_DERIVATION.md	unique timelike line certificate	CONTROLLING_DERIVATION
S11	udt_twisted_s3_intrinsic_screen_cocycle_audit_2026-07-27/EXACT_DERIVATION.md	intrinsic screen projector and connection mixing theorem	CONTROLLING_DERIVATION
S12	udt_intrinsic_reciprocal_holonomy_audit_2026-07-27/EXACT_DERIVATION.md	full sampled holonomy and path-labelled descent	CONTROLLING_DERIVATION
S13	udt_reduced_holonomy_condition_audit_2026-07-27/EXACT_DERIVATION.md	strong reduction conditions and lambda plus1 survivor	CONTROLLING_CONTROL
S14	udt_complete_branch_founded_pair_pullback_audit_2026-07-26/CONCRETE_REPRESENTATIVE_ATLAS.tsv	older round squashed WRL controls	SCOPED_PARENT
S15	udt_global_reciprocal_bundle_assembly_audit_2026-07-26/COMPLETION_UNIVERSE.tsv	twelve completion classes	CONTROLLING_UNIVERSE
S16	udt_global_reciprocal_bundle_assembly_audit_2026-07-26/EXACT_DERIVATION.md	transition holonomy and assembly controls	SCOPED_PARENT
S17	udt_metric_native_selector_rank_closure_audit_2026-07-27/EXACT_DERIVATION.md	metric selector rank boundary	CONTROLLING_BOUNDARY
