object	status	scope	remaining_open
founded_pair_action	DERIVED	active_two_channel_foundation	none_inside_pair
exact_complete_quotient_semantics	OPEN	conditional_query	physical_foundation
twisted_S3_intrinsic_pair_screen	DERIVED_GIVEN_REGISTERED_CONFIGURATION	B01_B06_B16	on_shell_selection
global_screen_subbundle	DERIVED_GIVEN_REGISTERED_CONFIGURATION	FC04_twisted_S3	other_completions
basis_free_finite_metric_lift	DERIVED_IF_EXACT_QUOTIENT	isotropic_unmixed_X_lambda	lambda_and_physical_semantics
screen_rotation_w	FINITE_METRIC_REPRESENTATIVE_FREEDOM	C_zero_S_lambdaI	coframe representative only
metric_selected_screen_flag	OPEN_NOT_DERIVED	registered_sources	possible_new_higher_jet_global construction
projected_screen_connection	METRIC_CANONICAL_MATHEMATICS	D=H_nabla_given_intrinsic_pair	physical observer comparison role
ambient_parallel_screen	NOT_ON_FROZEN_NONTRIVIAL_BRANCH	connection_and_contact_controls	other topologies or profiles
endpoint_reciprocal_grading	PATH_LABELLED_ONLY	full_holonomy_twisted_S3	reduced holonomy or reset law
lambda_plus1_parallel_product	CONDITIONAL_CONTROL	constant_phi_twist_zero	no nontrivial founded ruler pair
completion_classes_outside_FC04	STRUCTURAL_NO_CONCRETE_METRIC	eleven_registered classes	metrics transitions and descent
branch_profile_lambda_selection	OPEN	configuration family	whole solution or variation law
action_source_carrier_boundary_bootstrap_density_Xmax_mass_dynamics	OPEN	excluded downstream objects	complete native derivation
