completion_id	concrete_all_gate_metric	global_screen	flag_transition	connection_or_holonomy	ruling
FC01_BOUNDARY_BOUNDARY	NO	NOT_COMPUTED	BOUNDARY_DATA_OPEN	NOT_COMPUTED	STRUCTURAL_NO_CONCRETE_METRIC
FC02_ONE_CAP_BOUNDARY	NO	NOT_COMPUTED	CAP_AND_BOUNDARY_DATA_OPEN	NOT_COMPUTED	STRUCTURAL_NO_CONCRETE_METRIC
FC03_TWO_CAP_P0	NO	NOT_COMPUTED	CAP_LINE_DATA_OPEN	NOT_COMPUTED	STRUCTURAL_NO_CONCRETE_METRIC
FC04_TWO_CAP_P1	YES_TWISTED_S3_BRANCH	DERIVED_GIVEN_INTRINSIC_PAIR	METRIC_FLAG_OPEN_PROJECTED_CONNECTION_GLOBAL	AMBIENT_FULL_HOLONOMY_PATH_LABELLED	CONCRETE_BRANCHWISE_REDUCTION_NOT_PARALLEL
FC05_TWO_CAP_P_GT1	NO	NOT_COMPUTED	LENS_MONODROMY_DATA_OPEN	NOT_COMPUTED	STRUCTURAL_NO_CONCRETE_METRIC
FC06_NONPRIMITIVE_CAP	NO	RANK_REGULARITY_OPEN	SINGULAR_OR_ORBIFOLD_DATA_OPEN	NOT_COMPUTED	STRUCTURAL_NO_CONCRETE_METRIC
FC07_PERIODIC_TORUS_BUNDLE	NO	NOT_COMPUTED	GL2Z_SCREEN_ACTION_OPEN	MONODROMY_OPEN	STRUCTURAL_NO_CONCRETE_METRIC
FC08_MIRROR_DOUBLE	NO	NOT_COMPUTED	MULTIPLE_LIFTS_OPEN	REFLECTION_HOLONOMY_OPEN	STRUCTURAL_NO_CONCRETE_METRIC
FC09_NONORIENTABLE_GLUE	NO	ORIENTATION_SENSITIVE	FLAG_CAN_FLIP	O2_NOT_SO2_TRANSITION_OPEN	STRUCTURAL_NO_CONCRETE_METRIC
FC10_STRATIFIED_PROJECTOR	NO	RANK_CAN_CHANGE	FLAG_UNDEFINED_AT_RANK_CHANGE	CONNECTION_SINGULARITY_OPEN	STRUCTURAL_NO_CONCRETE_METRIC
FC11_NONINTEGRABLE_DISTRIBUTION	NO	DISTRIBUTION_ONLY	FLAG_OPEN	PROJECTED_CONNECTION_POSSIBLE_METRIC_ABSENT	STRUCTURAL_NO_CONCRETE_METRIC
FC12_RECIPROCAL_TORIC_DIAGONAL	NO_CONCRETE_ALL_GATE_PROFILE	ANSATZ_CONDITIONAL	TORIC_AXES_SUPPLIED_NOT_SELECTED	PROFILE_AND_CAP_HOLONOMY_OPEN	STRUCTURAL_NO_CONCRETE_METRIC
