layer	input	result	status	remaining_open
POINTWISE_PAIR_SCREEN	intrinsic_clock_and_twist_ruler	H=I-Pu-Pn_rank2_positive	DERIVED_GIVEN_REGISTERED_CONFIGURATION	physical_branch_selection
POINTWISE_QUOTIENT_LIFT	pair_screen_and_lambda	F=exp(-phi)Pu+exp(phi)Pn+exp(lambda*phi)H	DERIVED_IF_EXACT_QUOTIENT	quotient_semantics_and_lambda
FINITE_METRIC_DESCENT	C_zero_S_lambdaI	w_rotation_cancels_exactly	FINITE_METRIC_REPRESENTATIVE_FREEDOM	coframe_representative
GLOBAL_SCREEN_BUNDLE	global_intrinsic_pair	image_H_global_on_twisted_S3	DERIVED_GIVEN_REGISTERED_CONFIGURATION	other_completions
GLOBAL_SCREEN_FLAG	isotropic_screen_and_registered_sources	no_metric_selected_global_line_or_basis	OPEN_NOT_DERIVED	possible_higher_jet_or_global_rule
PROJECTED_SCREEN_CONNECTION	H_and_Levi_Civita	D=H_nabla_metric_compatible_O2_connection	METRIC_CANONICAL_MATHEMATICS	physical_role_and_path
AMBIENT_SCREEN_RESTRICTION	full_Levi_Civita	pair_screen_leakage_nonzero	NOT_PARALLEL_ON_NONTRIVIAL_TWISTED_S3	other_branches
LOOP_DESCENT	full_sampled_so13_holonomy	X_not_centralized	PATH_LABELLED_ONLY	reduced_holonomy_or_endpoint_reset
REDUCED_HOLONOMY	lambda_plus1_product	parallel_clock_vs_space_grading	CONDITIONAL_CONTROL	depth_and_ruler_lost
COMPLETION_DESCENT	twelve_completion_classes	FC04_concrete_other_eleven_structural	OPEN_OUTSIDE_FC04	concrete_metrics_and_transitions
PHYSICAL_SELECTION	active_UDT_premises	no_branch_lambda_path_or_semantics_selected	OPEN	complete_variation_and_whole_solution law
