branch_id	pair_screen	finite_metric_lift	global_screen_bundle	screen_rotation_or_flag	ambient_transport	holonomy_descent	completion	physical_status	ruling
B01	DERIVED_GIVEN_CONFIGURATION	BASIS_FREE_ISOTROPIC_UNMIXED	DERIVED_FC04	PROJECTED_CONNECTION_DERIVED_FLAG_OPEN	PAIR_SCREEN_MIXING	PATH_LABELLED_ONLY	COMPLETE_GLOBAL_S3	OPEN_NOT_SELECTED	GLOBAL_BUNDLE_NOT_PARALLEL
B02	DERIVED_GIVEN_CONFIGURATION	BASIS_FREE_ISOTROPIC_UNMIXED	DERIVED_FC04	PROJECTED_CONNECTION_DERIVED_FLAG_OPEN	PAIR_SCREEN_MIXING	PATH_LABELLED_ONLY	COMPLETE_GLOBAL_S3	OPEN_NOT_SELECTED	GLOBAL_BUNDLE_NOT_PARALLEL
B03	DERIVED_GIVEN_CONFIGURATION	BASIS_FREE_ISOTROPIC_UNMIXED	DERIVED_FC04	PROJECTED_CONNECTION_DERIVED_FLAG_OPEN	PAIR_SCREEN_MIXING	PATH_LABELLED_ONLY	COMPLETE_GLOBAL_S3	OPEN_NOT_SELECTED	GLOBAL_BUNDLE_NOT_PARALLEL
B04	DERIVED_GIVEN_CONFIGURATION	BASIS_FREE_ISOTROPIC_UNMIXED	DERIVED_FC04	PROJECTED_CONNECTION_DERIVED_FLAG_OPEN	PAIR_SCREEN_MIXING	PATH_LABELLED_ONLY	COMPLETE_GLOBAL_S3	OPEN_NOT_SELECTED	GLOBAL_BUNDLE_NOT_PARALLEL
B05	DERIVED_GIVEN_CONFIGURATION	BASIS_FREE_ISOTROPIC_UNMIXED	DERIVED_FC04	PROJECTED_CONNECTION_DERIVED_FLAG_OPEN	PAIR_SCREEN_MIXING	PATH_LABELLED_ONLY	COMPLETE_GLOBAL_S3	OPEN_NOT_SELECTED	GLOBAL_BUNDLE_NOT_PARALLEL
B06	DERIVED_GIVEN_CONFIGURATION	BASIS_FREE_ISOTROPIC_UNMIXED	DERIVED_FC04	PROJECTED_CONNECTION_DERIVED_FLAG_OPEN	PAIR_SCREEN_MIXING	PATH_LABELLED_ONLY	COMPLETE_GLOBAL_S3	OPEN_NOT_SELECTED	GLOBAL_BUNDLE_NOT_PARALLEL
B07	FAIL_NO_INTRINSIC_RULER	COFRAME_CONDITIONAL_ONLY	NOT_INTRINSIC_PAIR_SCREEN	NOT_EVALUABLE_AS_FOUNDED_SCREEN	NOT_EVALUABLE	NOT_EVALUABLE	COMPLETE_GLOBAL_S3_CONTROL	OPEN	DEGENERATE_CONTROL
B08	FAIL_NO_NONTRIVIAL_DEPTH_PAIR	TRIVIAL_IDENTITY	NOT_INTRINSIC_PAIR_SCREEN	NOT_EVALUABLE_AS_FOUNDED_SCREEN	TRIVIAL	TRIVIAL	COMPLETE_GLOBAL_S3_CONTROL	OPEN	DEGENERATE_CONTROL
B09	INTRINSIC_CLOCK_ONLY_NO_RULER	NOT_FOUNDED_COMPLETE_LIFT	RANK3_CLOCK_COMPLEMENT_ONLY	NO_SCREEN_FLAG	NOT_EVALUATED	NOT_EVALUATED	COMPLETE_STATIC_S3	OPEN	CLOCK_ONLY_CONTROL
B10	FAIL_METRIC_RULER_BY_ROUND_ISOTROPY	NOT_FOUNDED_COMPLETE_LIFT	NO_INTRINSIC_RANK2_SCREEN	NO_FLAG	REDUCED_SPATIAL_HOLONOMY	NOT_FULL_PAIR	CONDITIONAL_COMPLETE_S3	OPEN	ULTRASTATIC_CONTROL
B11	CONDITIONAL_UNORIENTED_RICCI_LINE	NOT_FOUNDED_NORMALIZED_LIFT	CONDITIONAL_SCREEN	ORIENTATION_AND_FOUNDING_OPEN	NOT_EVALUATED	NOT_EVALUATED	COMPLETE_OFF_SHELL_S3	OPEN	ANISOTROPIC_CONTROL
B12	LOCAL_PAIR_PRESENTATION_ONLY	LOCAL_ONLY	NO_COMPLETE_GLOBAL_BUNDLE	LOCAL_RADIAL_AXES	LOCAL_ONLY	NOT_EVALUABLE	INCOMPLETE	OPEN	LOCAL_OR_INCOMPLETE_ONLY
B13	CLOCK_VS_ALL_SPACE_ONLY	PARALLEL_1_PLUS3_GRADING	RANK3_NOT_FOUNDED_SCREEN	SPATIAL_SO3_NO_RULER_FLAG	PARALLEL_REDUCED	ENDPOINT_REDUCED	COMPLETE_PRODUCT_S3	OPEN_NOT_SELECTED	REDUCED_CONTROL_NOT_FULL_PAIR
B14	UNCONSTRUCTED	UNCONSTRUCTED	UNCONSTRUCTED	OPEN	OPEN	OPEN	STRUCTURAL_TIME_LIVE	OPEN	STRUCTURAL_NO_CONCRETE_METRIC
B15	BRANCH_DEPENDENT	NOT_COMPUTED	NOT_COMPUTED	OPEN_TRANSITIONS	OPEN	OPEN	STRUCTURAL_COMPLETIONS	OPEN	STRUCTURAL_NO_CONCRETE_METRIC
B16	DERIVED_GIVEN_CONFIGURATION	BASIS_FREE_ISOTROPIC_UNMIXED	DERIVED_FC04	PROJECTED_CONNECTION_DERIVED_FLAG_OPEN	PAIR_SCREEN_MIXING	PATH_LABELLED_ONLY	COMPLETE_GLOBAL_S3	OPEN_NOT_SELECTED	GLOBAL_BUNDLE_NOT_PARALLEL
