sha256	path	role
ff547bb6108fd4dfba9b27f4a2fcba8e16d884ffd43dc712f9f2d487ceff1509	CURRENT_SCIENTIFIC_PREMISES.tsv	250-row current premise authority
54db912e6e732bec9f83e4dc8c83148e4e66c6505099b0d7cb04e2fd5ff33c32	CURRENT_RESEARCH_PROGRAM.md	current dependency spine before G268-G270 banking
df53a5b3c52d0bd24496d060637dc158a4f2c7cdd17226c9446ea0d338d27831	udt_g176_completed_pair_dual_reciprocity_consolidation_2026-08-19/EXACT_DERIVATION.md	completed-pair normalization theorem
4c059659785953822bcb4f902705ed7c0c7c4bd69243582a0663be6894cf3a51	udt_g179_complete_coframe_pair_pullback_extension_2026-08-19/EXACT_DERIVATION.md	arbitrary-coframe pullback and non-scalar boundary
3e81642bacf30a9e94df3db4c041f6b6ae94af91b87d9f51c044116ed2afa7b6	udt_g180_completed_pair_smooth_family_descent_2026-08-19/EXACT_DERIVATION.md	smooth completed-family descent
b53df074105c52b7374fb78051279ba43e23845c2794faf2fec4a694a48e8a16	udt_g190_completed_pair_timelive_frequency_screen_join_2026-08-20/EXACT_DERIVATION.md	completed pair null germ and endpoint clock query
0e5b33a0c013def973bdca369944d99a84fe278614cae1794e7cb50b56db0f6f	udt_g220_covariant_null_clock_arrow_timelive_lift_2026-08-22/EXACT_DERIVATION.md	covariant endpoint frequency ratio
42c68a934e096250945207723d1a0b1cdd9a49657f566955deb4b86d81c77b01	udt_g222_null_incidence_pair_plane_screen_join_2026-08-22/EXACT_DERIVATION.md	pair-plane and quotient-screen typing
4fb16a31542c1e24c5777f85207f8e98e13115da2424771a0f6300ae1837893f	udt_g223_null_ribbon_density_overlap_carry_2026-08-22/EXACT_DERIVATION.md	cross-ribbon carry boundary
958158c29b46bfd81189bd5b5b1f39e74fa2267bf1d9ec99dbae6198d4de1da4	udt_g224_shared_event_vertical_carry_2026-08-22/EXACT_DERIVATION.md	line carry and ambient-direction boundary
3e54ff71472a15a2b7a823b3ae85a7e2c40655ee01440c667522fa9ead4cfcc4	udt_g225_shared_event_normal_screen_carry_2026-08-22/EXACT_DERIVATION.md	separate screen isometry and holonomy channel
812023393d4e04b8f2b47cc5429002dc78912b85983117e5633faed30a2f876e	udt_g269_null_transport_mutual_clock_screen_interlock_2026-08-26/EXACT_DERIVATION.md	transported mismatch theorem
ec44522bd147d1a9f5d4e171ef715876ebe24000937b8915159627484ba6a9db	udt_g269_null_transport_mutual_clock_screen_interlock_2026-08-26/EXTERNAL_REVIEW.md	accepted G269 bounded result
