item	outcome_status	bounded_result	still_open_or_forbidden
endpoint_triangular_factor	DERIVED_REGULAR_CALIBRATED_STRATUM	unique positive R_i in supplied calibrated pair coordinates	singular null arbitrary-GL2 or calibration-free extension
endpoint_gauge	SUPPLIED_MATCHED_CALIBRATION_CARRY	Phi differences survive only matched endpoint calibration transport	independent endpoint gauges called physical invariance
calibration_transition	DERIVED_CONDITIONALLY	C_BA=R_B R_A^-1 composes and reverses on supplied shared carrier	carrier construction universal common-event relation or full chart differential
pair_carrier_matching_map	DERIVED_CONDITIONALLY	D_BA=R_B^-1 R_A composes reverses and matches endpoint pair metrics	identification with G123 full four-dimensional chart map
ordered_depth	DERIVED_CONDITIONALLY	delta_AB=Phi_B-Phi_A is grading of C_BA	depth assignment outside compatible carried endpoint family
relative_terminal_metric	DERIVED_CONDITIONALLY	phi_pair of A-normalized C_BA metric equals delta_AB	arbitrary strip terminal scalar called ordered depth
common_scale	DERIVED_SEPARATE_CHARACTER	kappa difference is determinant character	physical scale source or Xmax
shift	DERIVED_RETAINED	upper unipotent transition entry survives but does not alter diagonal grading	shift frozen or called scalar depth
full_orchestra	DERIVED_CHANNEL_SENSITIVITY_IN_WITNESS	removal controls show base shift screen shear mixing and angular embedding affect h_i	witness called selected history
witness_ambient_relation	OBSERVED_DISTINCT_PLANES	all pairwise concatenated J ranks equal four	independent endpoint algebra called realized common-event transition
G140_relation	CONSISTENT_REFRAME	independent strip magnitudes need not be endpoint differences	G140 called overturned or arbitrary edges admitted
shared_carrier_physical_family	OPEN_SUPPLIED	compatible endpoint typing carrier and calibration carry are load-bearing	universal carrier family or history claimed selected
X_max_downstream	OPEN_NOT_USED	no value proper length light EM observation action source bootstrap matter mass or dynamics	inferred from transition algebra
