premise_id	object	status	allowed_role	forbidden_promotion
P01	founding_reciprocal_character	DERIVED_WITH_FOUNDING_STAMPS	exact action on supplied ordered depth	complete physical depth assignment
P02	pointwise_phi_on_supplied_factorization	DERIVED_PRESENTATION_POTENTIAL	conditional endpoint-potential representation	undefined placeholder or universal physical scalar
P03	general_two_observer_depth_law	OPEN	target dependency type	assumed formula or solved law
P04	stationary_Killing_depth	CONDITIONAL_BRANCH_LOCAL_METRIC_DERIVED	reduction witness with delta_K=log(Np/Nq)	universal owner or opposite sign
P05	nonnegative_pair_magnitude	OPEN_JOIN	separate symmetric object	signed depth by identification
P06	global_local_mutual_admissibility	WORKING_POSIT	possible future relational return	derived ownership function
P07	complete_coframe	DEFINED_CONFIGURATION_ARCHITECTURE	physical same-solution comparison carrier	selected physical universe
P08	independent_phi_atlas	CHOSE_COMPARISON_CONFIGURATION	larger configuration control	native independent field census
P09	c_E_G_obs	OBSERVED_ANCHORS	calibration and dimensional consistency	depth profile selector
P10	S2_carrier	POSIT	conditional carrier branch	derived carrier
P11	F01_F02_F04_mass_routes	PRIOR_CONDITIONAL	dependency regrade subjects	unconditional mass or stable matter
P12	pre_July_material	PROVENANCE_FIREWALL_FAILURE_OR_COUNTEREXAMPLE_ONLY	historical clue	affirmative UDT physics
P13	frozen_evidence	IMMUTABLE	audit source and historical proof surface	in-place correction
P14	action_source_boundary_density_Xmax_dynamics	OPEN_OR_PRIOR_CONDITIONAL	status preservation	downstream promotion
