family_id	disposition	path_count
F01_CURRENT_CONTROLS	CONTROL_UPDATE_REQUIRED	12
F02_CURRENT_PREMISE_VERIFIER	CONTROL_UPDATE_REQUIRED	1
F03_OWNER_LOCAL_PHI_OVERREACH	CONCLUSION_REGRADE_REQUIRED	99
F04_EARLY_DIRECTION_PROJECTIVE_XMAX	CONDITIONAL_REINTERPRETATION_ONLY	107
F05_FOUNDED_EXTENSION_AND_SEMANTIC_CORRECTION	CONDITIONAL_REINTERPRETATION_ONLY	84
F06_OBSERVER_PAIR_AND_STATIONARY_BRANCH	OPEN_DEPENDENCY_ALREADY_STAMPED	135
F07_SCALAR_DIFFERENCE_NONSELECTION	UNCHANGED_NEGATIVE_NOW_EXPLANATORY	80
F08_SNE_WRL_MACRO_READOUT	CONDITIONAL_REINTERPRETATION_ONLY	223
F09_HOPF_CARRIER_STABILITY	UNCHANGED_NO_OWNERSHIP_DEPENDENCY	31
F10_P4_RESPONSE_MASS_FAMILIES	CONDITIONAL_REINTERPRETATION_ONLY	236
F11_BOOTSTRAP_AND_REALIZATION	OPEN_DEPENDENCY_ALREADY_STAMPED	47
F12_COMPLETE_COFRAME_JET_CURVATURE	OPEN_DEPENDENCY_ALREADY_STAMPED	113
F13_SELECTOR_PROJECTOR_HOLONOMY	UNCHANGED_NEGATIVE_NOW_EXPLANATORY	338
F14A_METRIC_ATLAS_AND_CHECKPOINT	CONDITIONAL_REINTERPRETATION_ONLY	241
F14B_NAMED_CONDITIONAL_PACKAGES	CONDITIONAL_REINTERPRETATION_ONLY	40
F14C_REMAINING_EXPLICIT_FAMILIES	CONDITIONAL_REINTERPRETATION_ONLY	157
F14_MODERN_EXPLICIT_AUDIT	OPEN_DEPENDENCY_ALREADY_STAMPED	446
F16_ARCHIVE_OR_PREJULY	HISTORICAL_SUPERSEDED_NO_ACTION	84
F17_FROZEN_MEMBER	FROZEN_EVIDENCE_IMMUTABLE	40
F18_EARLY_POSTJULY_FIELD_SOLVER	HISTORICAL_SUPERSEDED_NO_ACTION	254
F19_BROAD_ONLY	NO_RELEVANT_SEMANTIC_DEPENDENCY	1994
