path	bytes	sha256	first_commit	first_date	last_commit	last_date	current_control	current_frontier	founding_source	frozen_manifest	historical_or_pre_july	active_regrade	hits_broad_phi_depth	hits_pointwise_or_physical_phi	hits_independent_phi_variation	hits_endpoint_difference	hits_selection_or_ownership	hits_presentation_or_factorization	hits_stationary_killing	hits_supplied_conditional	hits_placeholder_or_arbitrary
.claude/skills/completeness-map/SKILL.md	2262	8c32d77f33490750c20f9df121917ac4513cefe7662867bc61ea01f70c7c6e13	9837ecfc30aba355693042df797ec91683ffeba9	2026-06-23T19:53:41-04:00	9837ecfc30aba355693042df797ec91683ffeba9	2026-06-23T19:53:41-04:00	NO	YES	NO	NO	YES	YES	1	0	1	0	0	0	0	0	0
.claude/skills/no-shortcuts/SKILL.md	2288	20eb84d287795ed7f435eca50183a900cf82e4f7b417e0334fb1e8844dc83003	9837ecfc30aba355693042df797ec91683ffeba9	2026-06-23T19:53:41-04:00	9837ecfc30aba355693042df797ec91683ffeba9	2026-06-23T19:53:41-04:00	NO	YES	NO	NO	YES	YES	1	0	0	0	0	0	0	0	0
AGENTS.md	25905	7c77ba4ce979c1e85dd1db41dd5cacaaa9e94975273ec2bff5ced983fac888b0	83ad1e1ed222e4f8d565ab3dd773fd07ce453f90	2026-07-17T17:43:56-04:00	682adb6c9d4cc7c9834cb5ea6a7712a32206650b	2026-08-05T01:11:05-04:00	YES	NO	NO	NO	NO	YES	25	3	1	0	4	3	2	4	1
AUDIT.md	38255	0e36df7cbd2e2198fa1a9785f6c8d9b5054fc42b24a1dfb1a44244ca331942ec	e97c765434c1fb3f3edbe37af33cec94182890de	2026-06-15T23:40:43-04:00	b108d492c324750b4e3fd7084ea543b4cd54a786	2026-07-06T12:27:32-04:00	NO	NO	NO	NO	YES	NO	78	0	0	0	0	0	0	0	0
CANON.md	36956	f9ee32e2473b44407a813929e10547f66e378516e856697a7bca2226d9ef370b	161325a0d866ddfa793a85caf21cf19a152671c9	2026-06-10T18:39:07-04:00	96975344aa913cc4e56051e9a29a3297c9555b33	2026-07-30T19:27:22-04:00	NO	YES	NO	NO	YES	YES	95	0	0	0	1	0	0	1	0
CLAUDE.md	24917	59b2b74da1e087a608bccdafdac24a8f902799c396e129e3720e8bb5670b1a2e	9c62dff56fe775016ef235dea63fb0ed1853a786	2026-06-10T13:03:21-04:00	4b77224b87bf3441d15b85c189d26e45dec2724a	2026-08-04T11:22:10-04:00	NO	YES	NO	NO	YES	YES	4	0	0	0	0	0	0	0	0
CROSS_MODEL_VERIFY.md	2839	417bb036579bf4a333dab6a3da4c8cae73d61bf49ae8fe0f74b46df86d05e6fa	636a44b1f8318e39853bca2cf429c649009105d3	2026-06-23T20:01:13-04:00	636a44b1f8318e39853bca2cf429c649009105d3	2026-06-23T20:01:13-04:00	NO	NO	NO	NO	YES	NO	2	0	0	0	0	0	0	0	0
CURRENT_SCIENTIFIC_PREMISES.md	8330	37f65efac3e4f580db6f649c0857b4ad685ee086af0d8aec449be0fe8d9adaf8	31ef26ea1516ce78e4cbed346535a2d7da6251a8	2026-07-26T10:17:12-04:00	682adb6c9d4cc7c9834cb5ea6a7712a32206650b	2026-08-05T01:11:05-04:00	YES	NO	NO	NO	NO	YES	21	3	0	0	7	1	2	2	0
CURRENT_SCIENTIFIC_PREMISES.tsv	7843	8595d137c253e74b24e9de4669db0a3e6794a3e56824c544a46dae3cf9a09289	31ef26ea1516ce78e4cbed346535a2d7da6251a8	2026-07-26T10:17:12-04:00	682adb6c9d4cc7c9834cb5ea6a7712a32206650b	2026-08-05T01:11:05-04:00	YES	NO	YES	NO	NO	YES	5	0	0	0	5	2	1	4	1
EXTERNAL_REVIEW_RETURN_2026-07-28_fresh_perspective.md	15516	23ffe02a2a4e5cd85766dc9670af14d762af3bb8cca5a68061b7fdec951b8ea7	b86fd6eca1da31f5df495503ce5414bc80f6a661	2026-07-28T15:13:00-04:00	b86fd6eca1da31f5df495503ce5414bc80f6a661	2026-07-28T15:13:00-04:00	NO	NO	NO	NO	NO	YES	6	0	0	0	1	0	0	0	0
