path	correction	allowed_scope
AGENTS.md	Replace universal pointwise founded-phi rule with reciprocal character on supplied depth and presentation-potential guard.	CURRENT_CONTROL_ONLY
CURRENT_SCIENTIFIC_PREMISES.md	Correct the foundational prose and keep the observer/path depth law open.	CURRENT_CONTROL_ONLY
CURRENT_SCIENTIFIC_PREMISES.tsv	Replace G01/G02 with the source-exact relational character and action rows.	CURRENT_CONTROL_ONLY
HANDOFF.md	Route startup through this dependency regrade and state the bounded consequence.	CURRENT_TOP_BLOCK_ONLY
INDEX.md	Add current correction overlay ahead of older scientific checkpoints.	CURRENT_NAVIGATION_ONLY
LIVE.md	Record the regrade counts, surviving conditional results, and next bounded choice.	CURRENT_TOP_BLOCK_ONLY
MEMORY.md	Add a top current pointer; preserve historical body.	CURRENT_TOP_POINTER_ONLY
NEGATIVES_REGISTRY.md	Add correction overlay and regrade exactly three premise-changed negatives.	CURRENT_STATUS_LAYER_ONLY
README.md	Add correction audit to orientation and correct current premise summary.	CURRENT_NAVIGATION_ONLY
UDT_SCIENTIFIC_FRONTIER_2026-07-19.md	Add precedence notice; preserve historical frontier.	CURRENT_PRECEDENCE_NOTICE_ONLY
research/README.md	Replace current July-26 pointwise wording with August-5 relational correction.	CURRENT_NAVIGATION_ONLY
research/_registry/README.md	Point to scientific overlay without changing registry snapshots.	CURRENT_NAVIGATION_ONLY
verify_current_scientific_premises.py	Fail closed on supplied-depth character, presentation potential, and open general depth law.	CURRENT_VERIFIER_ONLY
