claim_id	source_scope	prior_claim_or_dependency	new_disposition	mathematics_effect	physical_authority_effect	exact_current_reading
C01	UDT_RECIPROCAL_C_FOUNDING_POSTULATE_DERIVATION_RESULTS.md	The reciprocal character was often subsequently read as one pointwise physical scalar field.	UNCHANGED_CORE__SCOPE_CORRECTED	D(delta), composition, reversal and dual-pairing algebra unchanged.	The founding source supplies delta as comparison input and chooses sign/unit; it does not own observer/path to delta.	DERIVED relational reciprocal character on supplied ordered depth.
C02	udt_premise_reset_audit_2026-07-19/ and udt_phi_metric_ontology_audit_2026-07-22/	phi(p) is a signed dilation field belonging to a location.	CONCLUSION_REGRADE_REQUIRED	Positive-pair logarithm, reciprocal exponential and conditional block reconstruction survive.	The pointwise physical-owner assertion is withdrawn.	Pointwise phi is a presentation potential only on the supplied factorized architecture; a physical section may exist on selected branches.
C03	udt_founded_phi_complete_coframe_extension_audit_2026-07-25/	A fixed founded pointwise base generator is extended through angular/mixing directions.	CONDITIONAL_REINTERPRETATION_ONLY	The 7-to-6 extension-rank and exact counterfamily algebra survives.	The pointwise generator is supplied endpoint-exact factorization data, not a universal owned field.	Extension class is conditional on a supplied factorized realization of the relational character.
C04	udt_global_functional_dof_constraint_rank_audit_2026-07-26/ and udt_complete_relational_configuration_variation_domain_audit_2026-07-26/	Founded phi adds no independent eleventh physical field direction.	UNCHANGED_NEGATIVE_NOW_EXPLANATORY	Generic F4 rank and no-double-count arithmetic survive.	Independent pointwise phi remains nonnative unless a separate realization law introduces a field and its variation domain.	The relational character does not license independent scalar variation; the physical law still owns variation.
C05	observer-pair clock/path/comparison packages 2026-07-24 through 2026-07-27	Endpoint potentials, typed path cocycles and stationary lapse ratios were separated.	OPEN_DEPENDENCY_ALREADY_STAMPED	Exact groupoid, cut-locus and stationary calculations survive.	Only the stationary Killing owner is positive and branch-local; arbitrary observer depth remains open.	delta_K=log(N(p)/N(q)); supplied endpoint delta=phi(q)-phi(p) is not universal.
C06	udt_relational_pair_depth_realization_audit_2026-07-24/; udt_reciprocal_path_composition_residual_audit_2026-08-04/; udt_global_phi_ownership_overlap_audit_2026-08-05/	One universal scalar difference cannot encode all isotropic pair depths; composition and overlap do not select a representative.	UNCHANGED_NEGATIVE_NOW_EXPLANATORY	Exact rank, cocycle, endpoint-potential and factorization witnesses survive.	These are not no-gos for relational dilation; they explain why the point-scalar demand was misplaced.	Relational depth may be non-endpoint-exact, path/branch typed, or branch-locally exact.
C07	full-coframe extension, first/second jet, curvature, response and same-solution packages 2026-08-04	Arbitrary finite phi profiles and jets parameterize supplied complete-coframe configurations.	OPEN_DEPENDENCY_ALREADY_STAMPED	All local algebra survives because it is configuration-conditional.	No atlas row becomes a realized physical phi assignment or field equation.	Configuration skeleton and compatibility maps only.
C08	P4 F01/F02 families	Conditional configurations carry candidate mass/energy readings and restricted stability information.	CONDITIONAL_REINTERPRETATION_ONLY	Response/landing/Hessian algebra survives inside supplied configuration and variation domains.	No native depth law, source, stable matter family, physical mass or species is obtained.	Two distinct conditional geometry-only mass-bearing routes remain.
C09	full-3D Hopfion F04	Static finite-box stability in the supplied S2 and L2+L4 model.	UNCHANGED_NO_OWNERSHIP_DEPENDENCY	Corrected carrier functional and stability evidence unchanged.	Carrier emergence, native action/mass, physical boundary and time persistence remain open/conditional.	SETTLED_STATIC_FINITE_BOX_CONDITIONAL only.
C10	WR-L/SNe branch	The joined clock, areal-radius and optical readout gives d_L/X=z(z+2) and fits the registered SNe data.	CONDITIONAL_REINTERPRETATION_ONLY	Readout algebra and observed comparison unchanged.	It is a stationary supplied-branch compatibility anchor, not the universal observer-pair depth equation.	CONDITIONAL_OBSERVATIONAL_COMPATIBILITY_ANCHOR.
C11	Xmax families	A symbolic shared Xmax and local/projective phi were used in frame constructions.	CONDITIONAL_REINTERPRETATION_ONLY	Group, coordinate, connection and curvature calculations survive as conditional mathematics.	No value, global invariance theorem, pair functional or density modulation is derived.	Xmax remains a WORKING global maximum-separation schema.
C12	native action final adjudication	Complete action, source and boundary charge are open; C2/Bach and EH are conditional.	UNCHANGED_NO_OWNERSHIP_DEPENDENCY	Final adjudication unaffected.	A pointwise phi presentation cannot close variation ownership or select an action.	Existing action/source/boundary ledger remains controlling.
C13	NEGATIVES_REGISTRY.md July 2/7 and item 76	Static pointwise-phi equations were treated as native physical-field blockers.	CONCLUSION_REGRADE_REQUIRED	Their exact conditional ODE/no-go statements may survive inside the supplied scalar-field/action branch.	They lose UDT-wide blocking authority because pointwise field ownership and the native action/source are open.	CONDITIONS_CHANGED_RELATIONAL_OWNERSHIP_AND_ACTION_SOURCE_PREMISES.
C14	pre-July and early post-July field-equation/solver corpus	A selected pointwise phi field, action or source equation was often treated as physical UDT.	HISTORICAL_SUPERSEDED_NO_ACTION	Stored algebra and outputs remain provenance/conditional ansatz evidence.	They cannot be reused affirmatively; rederive premises at point of use.	No wholesale rerun is warranted; no native authority remains.
C15	udt_founding_phi_ownership_morphism_audit_2026-08-05/	The founding object was retyped directly from frozen sources.	OPEN_DEPENDENCY_ALREADY_STAMPED	34/34 primary, 24/24 independent and stationary-sign repair survive.	No general observer-pair law was derived.	Current controlling result.
