path	source_sha256	first_date	current_control	current_frontier	frozen_manifest	historical_or_pre_july	focused_hit_count	dependency_flags	family_id	disposition	dependency_type	family_ruling	reuse_gate	manual_review_status
.claude/skills/completeness-map/SKILL.md	8c32d77f33490750c20f9df121917ac4513cefe7662867bc61ea01f70c7c6e13	2026-06-23T19:53:41-04:00	NO	YES	NO	YES	1	independent_phi_variation	F16_ARCHIVE_OR_PREJULY	HISTORICAL_SUPERSEDED_NO_ACTION	PROVENANCE_ONLY	Historical and pre-July material may identify failures or counterexamples but cannot provide affirmative UDT physics under the provenance firewall.	Preserve unchanged; no affirmative reuse.	LINE_LEVEL_OR_FAMILY_SOURCE_REVIEWED
.claude/skills/no-shortcuts/SKILL.md	20eb84d287795ed7f435eca50183a900cf82e4f7b417e0334fb1e8844dc83003	2026-06-23T19:53:41-04:00	NO	YES	NO	YES	0	NONE	F16_ARCHIVE_OR_PREJULY	HISTORICAL_SUPERSEDED_NO_ACTION	PROVENANCE_ONLY	Historical and pre-July material may identify failures or counterexamples but cannot provide affirmative UDT physics under the provenance firewall.	Preserve unchanged; no affirmative reuse.	MECHANICAL_BROAD_ONLY
AGENTS.md	7c77ba4ce979c1e85dd1db41dd5cacaaa9e94975273ec2bff5ced983fac888b0	2026-07-17T17:43:56-04:00	YES	NO	NO	NO	18	pointwise_or_physical_phi;independent_phi_variation;selection_or_ownership;presentation_or_factorization;stationary_killing;supplied_conditional;placeholder_or_arbitrary	F01_CURRENT_CONTROLS	CONTROL_UPDATE_REQUIRED	CURRENT_SEMANTIC_ROUTING	Current controls must route founded reciprocal character on supplied ordered depth and must not retain pointwise-physical-phi wording as present authority.	Edit only present navigation/premise/negative status; preserve append-only prior blocks and historical evidence.	LINE_LEVEL_OR_FAMILY_SOURCE_REVIEWED
CANON.md	f9ee32e2473b44407a813929e10547f66e378516e856697a7bca2226d9ef370b	2026-06-10T18:39:07-04:00	NO	YES	NO	YES	2	selection_or_ownership;supplied_conditional	F16_ARCHIVE_OR_PREJULY	HISTORICAL_SUPERSEDED_NO_ACTION	PROVENANCE_ONLY	Historical and pre-July material may identify failures or counterexamples but cannot provide affirmative UDT physics under the provenance firewall.	Preserve unchanged; no affirmative reuse.	LINE_LEVEL_OR_FAMILY_SOURCE_REVIEWED
CLAUDE.md	59b2b74da1e087a608bccdafdac24a8f902799c396e129e3720e8bb5670b1a2e	2026-06-10T13:03:21-04:00	NO	YES	NO	YES	0	NONE	F16_ARCHIVE_OR_PREJULY	HISTORICAL_SUPERSEDED_NO_ACTION	PROVENANCE_ONLY	Historical and pre-July material may identify failures or counterexamples but cannot provide affirmative UDT physics under the provenance firewall.	Preserve unchanged; no affirmative reuse.	MECHANICAL_BROAD_ONLY
CURRENT_SCIENTIFIC_PREMISES.md	37f65efac3e4f580db6f649c0857b4ad685ee086af0d8aec449be0fe8d9adaf8	2026-07-26T10:17:12-04:00	YES	NO	NO	NO	15	pointwise_or_physical_phi;selection_or_ownership;presentation_or_factorization;stationary_killing;supplied_conditional	F01_CURRENT_CONTROLS	CONTROL_UPDATE_REQUIRED	CURRENT_SEMANTIC_ROUTING	Current controls must route founded reciprocal character on supplied ordered depth and must not retain pointwise-physical-phi wording as present authority.	Edit only present navigation/premise/negative status; preserve append-only prior blocks and historical evidence.	LINE_LEVEL_OR_FAMILY_SOURCE_REVIEWED
CURRENT_SCIENTIFIC_PREMISES.tsv	8595d137c253e74b24e9de4669db0a3e6794a3e56824c544a46dae3cf9a09289	2026-07-26T10:17:12-04:00	YES	NO	NO	NO	13	selection_or_ownership;presentation_or_factorization;stationary_killing;supplied_conditional;placeholder_or_arbitrary	F01_CURRENT_CONTROLS	CONTROL_UPDATE_REQUIRED	CURRENT_SEMANTIC_ROUTING	Current controls must route founded reciprocal character on supplied ordered depth and must not retain pointwise-physical-phi wording as present authority.	Edit only present navigation/premise/negative status; preserve append-only prior blocks and historical evidence.	LINE_LEVEL_OR_FAMILY_SOURCE_REVIEWED
EXTERNAL_REVIEW_RETURN_2026-07-28_fresh_perspective.md	23ffe02a2a4e5cd85766dc9670af14d762af3bb8cca5a68061b7fdec951b8ea7	2026-07-28T15:13:00-04:00	NO	NO	NO	NO	1	selection_or_ownership	F14B_NAMED_CONDITIONAL_PACKAGES	CONDITIONAL_REINTERPRETATION_ONLY	NAMED_CONDITIONAL_OR_REVIEW_FAMILY	These named result/review families either use a supplied pointwise phi branch or summarize such branches; none establishes universal physical ownership.	Retain exact scoped content and present relational overlay.	LINE_LEVEL_OR_FAMILY_SOURCE_REVIEWED
H3_hopfion_solve_preregistration.md	82dd23caec9938816f6171bb605d63ac41875d40127eb363c3f77d45c63df1f1	2026-07-05T08:22:47-04:00	NO	NO	NO	NO	0	NONE	F19_BROAD_ONLY	NO_RELEVANT_SEMANTIC_DEPENDENCY	INCIDENTAL_TOKEN	The file contains broad phi/depth notation but no registered ownership-risk phrase.	No action.	MECHANICAL_BROAD_ONLY
H4_GP_switch_hopfion_MAP.md	6cd5d58d3665b447bef9c9c4f1dfd6d96129b5d77573a34b36657d4aa805ce8a	2026-07-05T15:15:31-04:00	NO	NO	NO	NO	0	NONE	F19_BROAD_ONLY	NO_RELEVANT_SEMANTIC_DEPENDENCY	INCIDENTAL_TOKEN	The file contains broad phi/depth notation but no registered ownership-risk phrase.	No action.	MECHANICAL_BROAD_ONLY
