path	bytes	sha256
ADMISSIBILITY_REQUIREMENTS.tsv	1794	50ffd11d3786b942971ea4f176518a47b7b6d329d787d665bfbf51050b151838
ADVERSARIAL_REVIEW_REQUEST.md	1798	4b25328e21cadf3ccba4e9fd5c1f594953baf0ea9b8213eeed4b6957160265a3
AUDIT_REPORT.md	6128	e867bf678ec421ab60d33548b3ad34e6f3224b7b41f718ccf401dc66f372cfee
CATCH_PROOFS.tsv	814	7d11d1e31d5ccd62d65e05e8024808f1d9f12401a43248a312e9ee634724febc
COMMANDS.md	806	27127dfc891f9a98a459eef3d79bdf011595cd24f207cf1388df2c1bd3f86564
COMPLETENESS_MAP.md	1509	a561353c3642812561f199324383090feea319e369ef9757442c520278eee2ab
EXACT_DERIVATION.md	5928	04f115b88e68c5b705de0a8bf01937f18891ab96293a576807f03ad5742b332c
FRESH_ADVERSARIAL_REVIEW.md	3782	3f51ab5db0b86ced9fe8cfc5a833f5515e055406c2f7c925de6dc3fa77b27698
INDEPENDENT_RESULT.json	1053	5fd9de2f5a57c295a4c5dd6e4fc0d09d28b90ca06f8734733a615755bea9d092
LAY_REPORT.md	1893	7e01fa72064e35acffbd21cddea6de29346434b4554fb3414369ea9fdb1cbf54
OPERATION_LEDGER.tsv	1583	5174ecf622d0888eafa774c124fdde3c9b22c3fadc54f8c57fba39f3d84891d3
PREMISE_LEDGER.tsv	2446	57ac9cfef0b59202734742e5d938cc4e13ec44d067f87b458fc627ccac2998e7
PREREGISTRATION.md	6893	e83f344af2592a19138fb099de225e388dedf40b3277a833d45a328682d7dace
RECONSTRUCTION_ARCHITECTURE.md	4311	c3d9d84c38c2137715a1113678c925e48b2c504fe3e6d8ea100f4eac735facb6
REPOSITORY_GATES.json	493	25ac51a90df2f785260a8ba8d5538abbe181bd58cd18d2fe1cd1d2199907d195
RESULT.json	1119	29634b37a3b9ef8dbc5aff84ab67f9cfd34de6b831b2b7bfc9e4581599aa5143
REVIEW_CLOSURE.md	885	14b182fe4b2936a0e519aaff28a291f54cc29090b27176dbf65e7e8e7bc04e7f
RUN_ENVIRONMENT.json	213	8a95d819c633c5b89538430c2b9c2c2ac17caf83a0f9cd1a4564a48bf9feb5fe
SOURCE_ADJUDICATION.tsv	4748	e46a5271b924155df8ffdc4dccd6f99b4ffc364b05cd33faa67156c1ffc871a7
VERIFICATION_RESULT.json	717	34858b015f56cb494a2c2e05bfdbae74a575bd8cab454829d9b32e9feea9726b
derive_reconstruction.py	7347	77185dc4b0bcd7f9534259c665441bf045c9d312fc6047274c5cb257a4d212c9
independent_reconstruction.py	6241	216357623721e432f72fc1159b46a568456d2a7fb4e9a9de75b1ddf6d78a3474
verify_audit.py	13547	254185325294950e19bfe8157dd0eb2ee803e81516a87dab9e56de674528924a
verify_package_manifest.py	1039	9537356affb4de9af6f7ebe8101f4c0cc5f6ef4a7d23c7900006d3950b3be434
verify_repository_gates.py	5775	7ad6e31661691731f64e499fc4f20e5032f6506bc01137b6f9724262a92f3357
