mutation_id	description	status	rejection_reason
M01	wrong_outcome	CAUGHT	outcome_mismatch
M02	wrong_graph_pair_count	CAUGHT	saved_result_completion_count_changed
M03	wrong_ambiguity_count	CAUGHT	saved_result_ambiguity_count_changed
M04	wrong_graph_nullity	CAUGHT	saved_result_graph_nullity_changed
M05	physical_selection_promotion	CAUGHT	physical_selection_promotion
M06	working_posit_promoted	CAUGHT	operation_promotion_or_regression_O09
M07	nonidentity_requirement_deleted	CAUGHT	nonidentity_requirement_lost
M08	optimizer_silently_required	CAUGHT	scalar_optimizer_silently_promoted
M09	complete_relation_promoted	CAUGHT	complete_relation_silently_closed
M10	strong_CSN_reactivated	CAUGHT	strong_CSN_reactivated
M11	carrier_promoted	CAUGHT	carrier_promoted
M12	source_hash_corruption	CAUGHT	source_hash_mismatch
