item	status	ownership	omitted_or_open
c_E	pinned-by-THEORY	OBSERVED clock/ruler calibration anchor	cannot alone produce a length from dimensionless pair depth
reciprocal_character	pinned-by-THEORY	DERIVED D(delta)=diag(exp(-delta),exp(+delta)) on supplied ordered depth	complete physical observer/event/path-to-depth owner
ordered_depth_composition	pinned-by-THEORY	DERIVED character composition and reversal after matched depth is supplied	physical pair assignment and arbitrary path independence
complete_pair_metric	pinned-by-THEORY	DERIVED pullback evaluator on supplied regular calibrated pair realization	physical query and realization owner
full_orchestra	pinned-by-THEORY	DERIVED conditional upstream dependence through B,Q,S,Y,Z	physical time-live histories of those blocks
T_L_beta_decomposition	pinned-by-THEORY	DERIVED unique positive decomposition on regular calibrated pair metric	degenerate and null strata
phi_pair	pinned-by-THEORY	DERIVED reciprocal log imbalance on supplied pair metric	universal physical pair law
pair_c_eff	pinned-by-THEORY	CONDITIONAL inter-observer terminal ratio T/L	local material signal-speed interpretation
positive_common_scale	free-and-explored	all Omega>0 rescalings retained as controls	physical scale/history source
projective_readout_class	free-and-explored	all degree-zero first-degree fractional-linear functions satisfying registered anchors	whether this class is physically owned
smooth_bounded_readouts	free-and-explored	explicit infinite odd monotone re-markings including slope-matched family	all nonsmooth or nonmonotone displays
clock_ruler_exchange	pinned-by-THEORY-as-abstract-channel-operation	sends T<->L and phi_pair->-phi_pair	literal causal exchange of physical timelike/spacelike directions is not asserted
co_presence	pinned-by-THEORY	WORKING co-membership in one supplied complete solution	query population numerical valuation and selection
X_max	working-not-numerically-pinned	WORKING_FOUNDATIONAL_FRAME for observer-pair asymptotic separation	value profile global realization and physical join to projective coordinate
proper_length	free-and-explored	metric length along a supplied ruler/path protocol	universal protocol path and global diameter
ordinary_additive_separation	free-and-explored countercontrol	tested as an optional premise rather than assumed	physical separation composition law
strong_local_CSN	inactive	CHALLENGED_OWNER_POSTULATE_NOT_DERIVED and not used	counterfactual branch requires explicit reauthorization
G_obs	omitted-not-load-bearing	OBSERVED anchor	mass-density-energy bridge
action_source_bootstrap_matter	omitted-not-load-bearing	no selector or mechanism imported	all remain open or conditional
observations_radiative_transfer	omitted-not-load-bearing	no fit or empirical selection	all observational claims
numeric_parameters	NONE	exact symbolic and rational algebra only	no tolerance fit or coefficient
