sha256	path	role
c3d7cf1d0b24d83958b23ae55624259dba0a46c8bebd3308caadda873b67b5ac	UDT_RECIPROCAL_C_FOUNDING_POSTULATE_MAP.md	direct founding preregistration and declared premises
b2bdf9dd427871c6e951c6b47748b7663aa4a6264fcfcbff59b51f1ea2272003	UDT_RECIPROCAL_C_FOUNDING_POSTULATE_DERIVATION_RESULTS.md	direct founded reciprocal character and explicit open scale
f5b048e1e3055e91933293037f9f3755068d4400ac01bd61ae19e008ebf9a730	udt_founding_observer_comparison_semantics_audit_2026-07-27/AUDIT_REPORT.md	ordered comparison semantic boundary
0995eaa36f5281c0dcd1662b6050950476e1ca992f59e18840ec9dc9aca0da60	udt_founding_observer_comparison_semantics_audit_2026-07-27/EXACT_ADJUDICATION.md	exact path-versus-endpoint ownership boundary
65905b6b2718fd9c1057143a7148104bb14d7e65eeee3bdc7a7010af8cbe90eb	udt_founding_phi_ownership_morphism_audit_2026-08-05/AUDIT_REPORT.md	current pointwise-potential and relational-depth ownership
0d83baaaa9f0586cb3f3b0cd7af16b201996a124dba6a050c71624a2e638a4fd	udt_founding_phi_ownership_morphism_audit_2026-08-05/EXACT_DERIVATION.md	exact founded character and c_E scale boundary
a15c22901f5f8f9401fb53b04cff23a0b14c3c5f56ac7bb4f3b23882d247669e	udt_terminal_reciprocal_ce_positional_derivation_2026-08-09/AUDIT_REPORT.md	current terminal pair-metric readout
fa0e31b16df98c3af3cf4aec878c4369642945ce35de20ab8e13b91eaf135e7a	udt_terminal_reciprocal_ce_positional_derivation_2026-08-09/EXACT_DERIVATION.md	exact T-L-beta and pair c_eff identities
45fa4a9a2a7ff911e3abf20ceae33eb88b2622c9201b4e0c63e9f63693fb9a13	udt_uncompressed_pair_kernel_reconstruction_2026-08-14/AUDIT_REPORT.md	complete orchestra evaluator authority
ea15d0f0dc344c566309a7f95cff4b0efc5d182f58858de5b0076857b746d64d	udt_uncompressed_pair_kernel_reconstruction_2026-08-14/EXACT_DERIVATION.md	uncompressed algebra and live-channel boundary
32fadafc5b336a35aae10bc7c24e98c27bbd64e03d43d42bbd9f1a6a8f3d932c	udt_xmax_asymptotic_limit_frame_correction_2026-08-05/AUDIT_REPORT.md	current X_max semantic guard
8db9b5063ff3109f8c332644052b72e630e0268bc4693191300527bd731601f1	projective_position_join_audit_2026-07-19/AUDIT_REPORT.md	historical projective theorem and counterfamily to regrade
7a3eb776ebbc4aafb692a142a503a19fd723f0436b384292888ddcfbcc67de21	projective_position_direction_magnitude_correction_2026-07-19/AUDIT_REPORT.md	historical signed-depth versus nonnegative-distance correction
1e78843aaf45eeaaf7702e7b0e60cf012b72febe6a21f52b615a16ebe1062687	udt_g134_full_metric_area_history_reframe_audit_2026-08-17/AUDIT_REPORT.md	current full-metric relation-network boundary
1561e4212a44d89288e1c7b51e5a18b4e5a98fd02b0358c39c4a782724a5ee53	CURRENT_SCIENTIFIC_PREMISES.tsv	exact premise authority at preregistration
