path	git_blob	sha256	bytes	preregistered_disposition
LIVE.md	197ed8c2ea62cfb78de1878371a6c1fd2c862bbb	e5799c95824a5877cfedbd625b67ed6e68559f9becbf7541561333f0903e72b2	112658	ARCHIVE_FULL_SNAPSHOT_THEN_RETAIN_CURRENT_BLOCK
HANDOFF.md	baafa707241c07ee354055f290e466f313c08ece	d103140cb43c547c04750f83636a3e9f7eba3a747653c7e581c5ed6f600c1410	106117	ARCHIVE_FULL_SNAPSHOT_THEN_RETAIN_CURRENT_BLOCK
INDEX.md	446b16ba3577a6cfa457f277295174f037291cee	9af54308d17322d59e8de610dd109a5aa8df38e52c9c657cc2c2383a7728ab7a	58179	ARCHIVE_FULL_SNAPSHOT_THEN_REBUILD_CURRENT_NAVIGATION
README.md	63d6fa2bcc63fa3b55ed4b05b75bf15a36f4d91a	239c0e3c64b283feaadaacabc9a3e29e4db003bff082eee38d6f4d3a1317f5f4	16262	ARCHIVE_FULL_SNAPSHOT_THEN_REBUILD_CURRENT_NAVIGATION
MEMORY.md	1b202332f3914e2209d6a49bd0b2394440868ed3	8c25ba692a5c6117930c15e0e23b8354cb4575cda42edae94792dd09ae6f69d8	20764	ARCHIVE_FULL_SNAPSHOT_THEN_RETAIN_CURRENT_TOP
AGENTS.md	e4a4e8042220d5e43d4bce58ac331f83afdb62df	ca754afde36a0ff6cb6ffc47a65ed9c1d19889334ccbd7a1f82b5d636a46bb95	27287	ARCHIVE_FULL_SNAPSHOT_THEN_RETAIN_OPERATIONAL_RULES
CLAUDE.md	3712ad1ac082e568c093b1cadf0f8970ffa80d9a	59b2b74da1e087a608bccdafdac24a8f902799c396e129e3720e8bb5670b1a2e	24917	ARCHIVE_FULL_SNAPSHOT_THEN_REPLACE_ORIENTATION_SECTION
UDT_SCIENTIFIC_FRONTIER_2026-07-19.md	ae5960c3a0a0460a24f8151926f384e5168172fe	9128ddf72b32ef761295dcc6c370e7eb563ade8b34201c82f17989701887baef	101445	IMMUTABLE_HISTORICAL_COMPATIBILITY_PATH
CURRENT_RESEARCH_PROGRAM.md	a179d881ac96e93045e6e2f2e93e804462a629a2	e2e47cb6283efa0404431902d7a7018177c1e285869385536fb0f6856d0b5691	6584	RETAIN_UNCHANGED_CURRENT_AUTHORITY
CURRENT_SCIENTIFIC_PREMISES.md	43b2bee016cc07971be53da9984123052ed16442	4962841f868b6b86de525a91ad2534041c32cee8c27379d9567e7c903a14608f	10831	RETAIN_UNCHANGED_CURRENT_AUTHORITY
CURRENT_SCIENTIFIC_PREMISES.tsv	52bcb7b30bc33cc836a2eee9302f9d405e5dba5c	0fa377cb50b775875dd8f2de95acb840f3d38183c71b54caef242a89cfc1fa13	12199	RETAIN_UNCHANGED_CURRENT_AUTHORITY
