item	status	use	guard
primary static-spherical metric	DERIVED_CONDITIONAL	bounded metric arena	not a selected physical history
completed metric null cone	WORKING_POSIT_W4	active local causality	no second physical cone
infinite bare c	PROPOSED_FOUNDATIONAL_RECOVERY_NOT_ADOPTED	zero intrinsic bare-transfer duration	not infinite signalling inside g
distance-owned mutual dilation	PROPOSED_FOUNDATIONAL_RECOVERY_NOT_ADOPTED	symmetric pair magnitude	not endpoint potential by assumption
signed null clock arrow	DERIVED_CONDITIONAL_G220	metric frequency/clock correspondence	not automatically mutual time dilation
reversal-even cosh delta	DERIVED_ALGEBRAIC_G263	candidate mutual channel input	physical sech projection remains proposed
areal radial coordinate	CHOSE	chart label	not operational proper distance
static-slice proper length	DERIVED_CONDITIONAL_GEOMETRY	distance candidate	not automatically F1 pair distance
optical distance	DERIVED_CONDITIONAL_NULL_GEOMETRY	null-duration candidate	identity is not dynamics
endpoint proper-clock duration	DERIVED_CONDITIONAL_GEOMETRY	observer readout	one-way query typing retained
arbitrary positive f	FREE_AND_EXPLORED	nonidentity test arena	no profile filtering
G257 G201 G264 families	BOUNDED_CONTROLS	separating witnesses	not selected histories
observations EM source action matter Xmax	OMITTED	none	no imported mechanism or fit
