id	mutation	expected_result	reason
K01	identify_chi_with_phi	FAIL	distinct_input_spaces
K02	promote_SO_plus_1_1_character_to_full_SO_plus_1_3	FAIL	perfect_Lorentz_algebra
K03	call_Lambda2_weights_3plus3	FAIL	exact_multiplicities_2plus2plus2
K04	call_covariant_transport_fixed_split_invariance	FAIL	generic_boost_noncommutes_with_fixed_projector
K05	drop_dphi_from_projector	FAIL	metric_only_real_split_obstructed
K06	promote_timelike_Cartan_join_to_spacelike	FAIL	stabilizer_changes_to_SO_plus_1_2
K07	promote_timelike_Cartan_join_to_null	FAIL	nilpotent_rank2_not_projector
K08	promote_timelike_Cartan_join_to_zero	FAIL	no_dphi_line
K09	promote_across_typechange	FAIL	projector_singular
K10	call_reciprocal_weight_Lorentz_automorphism	FAIL	KK_bracket_weight_mismatch
K11	call_screen_rotation_dphi_operator	FAIL	phi_zero_countermodel
K12	call_screen_rotation_spacetime_curvature	FAIL	no_spacetime_derivatives
K13	call_screen_rotation_dphi_vorticity	FAIL	exact_gradient_Frobenius_twist_zero
K14	derive_connection_holonomy_from_pointwise_rotation	FAIL	branch_derivatives_and_loops_missing
K15	drop_orientation_from_Hodge_intertwiner	FAIL	Hodge_qualification
K16	drop_CSN_check	FAIL	pre_scale_descent_required
K17	promote_local_join_to_global	FAIL	dphi_persistence_open
K18	derive_S2_carrier_or_Hopf_section	FAIL	no_section_transport_completion
K19	derive_action_source_boundary_or_scale	FAIL	outside_scope
K20	mutate_parent_frame_manifest	FAIL	parent_frozen
K21	mutate_parent_dphi_manifest	FAIL	parent_frozen
K22	change_CANON_or_navigation	FAIL	scope_violation
