id	path	sha256	bytes	role
S01	AGENTS.md	e74024f82f6adf4aaed8ea15eb61d176a330abc574bc5495b43415335b3b25db	11819	binding_method_and_status_rules
S02	CANON.md	5d99c0ba09fcee0429a34ac6b3dda4faff489b7d214b622fcbd286deb3785314	35011	canon_boundary
S03	UDT_SCIENTIFIC_FRONTIER_2026-07-19.md	af6bcc49535fd9cf4c8a60e997935d10619f2d52d146482ee40ad9d968f76810	30848	durable_scientific_frontier
S04	UDT_COMMON_SCALE_NEUTRALITY_POSTULATE_2026-07-15.md	4bb0da9098da0a9970602e2449615eef151796b0d7fe7a9978f4b66145748a34	2886	CSN_authority
S05	UDT_RECIPROCAL_C_FOUNDING_POSTULATE_DERIVATION_RESULTS.md	b2bdf9dd427871c6e951c6b47748b7663aa4a6264fcfcbff59b51f1ea2272003	11418	reciprocal_c_lineage
S06	udt_metric_pure_frame_rederivation_2026-07-23/AUDIT_REPORT.md	e616102b06e32fbbbc36d189cbc12ff75bec0f4b0341e74192781dd775c81294	8668	parent_frame_result
S07	udt_metric_pure_frame_rederivation_2026-07-23/DERIVATION_RESULT.json	80b5eceb386005905ad647cef186afc367948fd15c10127038fa6bbd68178691	13244	parent_exact_frame_algebra
S08	udt_metric_pure_frame_rederivation_2026-07-23/FRAME_RECIPROCITY_LEDGER.tsv	1afaac76df05e3429fe6005cd82ea759afb4f04af0d96382da18452aa04f37d9	2188	parent_frame_statuses
S09	udt_metric_pure_frame_rederivation_2026-07-23/MANIFEST.sha256	dd3b401794240c33a5af00f6004b76baca43d0148f7905fd904129cbd2684cb0	2016	parent_frame_freeze
S10	udt_metric_pure_frame_rederivation_2026-07-23/NEXT_STEP.md	3fb1972c4a7735870c9ba088542f01375be48d88cc9b8a3f95e2de461e3be459	1341	current_bounded_question
S11	udt_complete_metric_intrinsic_object_audit_2026-07-23/AUDIT_REPORT.md	923e6e4e7d9b6478f8b281f7d48f4fd46cd194c292a01540c46509ee6fc89776	11332	parent_dphi_result
S12	udt_complete_metric_intrinsic_object_audit_2026-07-23/INTRINSIC_OBJECT_CENSUS.tsv	83c56a85f481f24928109e855afe87fa85a0d41db440e0a5c96f086ec45acb50	8217	parent_intrinsic_statuses
S13	udt_complete_metric_intrinsic_object_audit_2026-07-23/DOMAIN_TRANSITION_LEDGER.tsv	0f92b9f61b7cfe9991e668d965d792c5e261760634d1a93fe3c93c9591521fb8	2092	parent_dphi_strata
S14	udt_complete_metric_intrinsic_object_audit_2026-07-23/MANIFEST.sha256	1857bde1fff72829487f56ddd9fb461a2d9cad7b777a51baa125529713c8bfd4	3353	parent_dphi_freeze
