id	object	exact_result	status	limit
R01	full_local_observer_group	SO_PLUS_1_3_NONABELIAN	DERIVED_LOCAL	no_global_isometry
R02	collinear_null_pair	k_plus_to_e_plus_chi_k_plus;k_minus_to_e_minus_chi_k_minus	DERIVED_ON_SO_PLUS_1_1	selected_boost_plane
R03	full_group_scalar_character	TRIVIAL_ONLY	OBSTRUCTION	continuous_real_character
R04	Lambda2_collinear_spectrum	e_plus_chi_x2;one_x2;e_minus_chi_x2	DERIVED_EXACT	2PLUS2PLUS2_not_3PLUS3
R05	noncollinear_action	mixes_fixed_collinear_weight_spaces	DERIVED_EXACT	no_global_scalar_eigenlabels
R06	nonnull_dphi_line_projector	P_Lambda_alpha=Lambda_P_alpha_Lambda_inverse	DERIVED_EQUIVARIANT_FAMILY	not_fixed_split_invariance
R07	nonnull_dphi_Lambda2_split	rank3_plus_rank3_Hodge_exchanged	DERIVED_CONDITIONAL	nonnull_dphi_only
R08	timelike_dphi_split	boost3_plus_rotation3_Cartan_decomposition	DERIVED_CONDITIONAL	time_orientation_and_timelike_dphi
R09	Cartan_brackets	JJ_to_J;JK_to_K;KK_to_J	DERIVED_EXACT	local_frame_algebra
R10	angular_generation	noncollinear_boost_commutators_span_rotation_sector	DERIVED_EXACT	kinematic_not_force
R11	exact_screen_rotation	SO3_stabilizer_element_with_40_over_41_and_9_over_41	DERIVED_EXACT	parent_rational_witness
R12	screen_action_on_3plus3	preserves_both_sectors_and_Hodge_intertwines	DERIVED_CONDITIONAL	timelike_dphi_aligned_reference
R13	reciprocal_dphi_flow	D_q_D_p_equals_D_qp_on_fixed_split	DERIVED_ALGEBRAIC	phi_parameter_not_rapidity
R14	reciprocal_weight_as_Lorentz_automorphism	fails_unless_positive_weight_equals_one	OBSTRUCTION	bracket_preservation
R15	structure_identity	sector_decomposition_exact;weight_and_frame_map_not_identical	MIXED_RULING	timelike_dphi_stratum
R16	CSN	line_split_Hodge_and_frame_angles_invariant	DERIVED_POINTWISE	physical_scale_section_open
R17	observer_rapidity_equals_metric_phi	not_derived	OPEN	distinct_inputs
R18	screen_rotation_equals_spacetime_curvature	false	SCOPE_GUARD	no_spacetime_derivatives
R19	screen_rotation_equals_dphi_vorticity	false	SCOPE_GUARD	dphi_congruence_hypersurface_orthogonal
R20	carrier_Hopf_action_source_boundary_scale	NONE_DERIVED	OPEN_NOT_PROMOTED	outside_local_representation_scope
