id	path	role
S01	AGENTS.md	binding_method_and_status_rules
S02	CANON.md	canon_boundary
S03	UDT_SCIENTIFIC_FRONTIER_2026-07-19.md	durable_scientific_frontier
S04	UDT_COMMON_SCALE_NEUTRALITY_POSTULATE_2026-07-15.md	CSN_authority
S05	UDT_RECIPROCAL_C_FOUNDING_POSTULATE_DERIVATION_RESULTS.md	reciprocal_c_lineage
S06	udt_metric_pure_frame_rederivation_2026-07-23/AUDIT_REPORT.md	parent_frame_result
S07	udt_metric_pure_frame_rederivation_2026-07-23/DERIVATION_RESULT.json	parent_exact_frame_algebra
S08	udt_metric_pure_frame_rederivation_2026-07-23/FRAME_RECIPROCITY_LEDGER.tsv	parent_frame_statuses
S09	udt_metric_pure_frame_rederivation_2026-07-23/MANIFEST.sha256	parent_frame_freeze
S10	udt_metric_pure_frame_rederivation_2026-07-23/NEXT_STEP.md	current_bounded_question
S11	udt_complete_metric_intrinsic_object_audit_2026-07-23/AUDIT_REPORT.md	parent_dphi_result
S12	udt_complete_metric_intrinsic_object_audit_2026-07-23/INTRINSIC_OBJECT_CENSUS.tsv	parent_intrinsic_statuses
S13	udt_complete_metric_intrinsic_object_audit_2026-07-23/DOMAIN_TRANSITION_LEDGER.tsv	parent_dphi_strata
S14	udt_complete_metric_intrinsic_object_audit_2026-07-23/MANIFEST.sha256	parent_dphi_freeze
