id	premise	status	source	limit
P01	four_dimensional_conformal_Lorentzian_metric_coframe_parent	PINNED_BY_THEORY	udt_metric_pure_frame_rederivation_2026-07-23/AUDIT_REPORT.md	no_global_solution_selected
P02	proper_orthochronous_local_frame_group_SO_plus_1_3	PINNED_BY_GEOMETRY	complete_metric_parent	time_and_orientation_supplied
P03	future_unit_observers_after_representative_calibration	PINNED_BY_GEOMETRY	metric_pure_frame_audit	no_pre_scale_unit_claim
P04	measured_c_E_calibrates_clock_length_units	OBSERVATIONAL_ANCHOR	current_UDT_status	no_field_equation
P05	positive_common_scale_is_calibrational	PINNED_BY_THEORY	UDT_COMMON_SCALE_NEUTRALITY_POSTULATE_2026-07-15.md	physical_section_open
P06	observer_rapidity_chi_is_not_metric_phi	OPEN_NOT_JOINED	metric_pure_frame_audit	no_identification
P07	alpha_equals_dphi_is_supplied_local_field_data	PINNED_BY_THEORY	complete_metric_intrinsic_object_audit	field_dynamics_open
P08	nonnull_dphi_real_rank3_plus_rank3_two_form_split	DERIVED_CONDITIONAL	complete_metric_intrinsic_object_audit	nonnull_strata_only
P09	Hodge_exchange_requires_orientation	PINNED_BY_GEOMETRY	complete_metric_intrinsic_object_audit	orientation_reversal_qualified
P10	timelike_spacelike_null_zero_typechanging_dphi_all_admitted	FREE_AND_EXPLORED	complete_metric_intrinsic_object_audit	no_preferred_stratum
P11	exact_rational_noncollinear_frame_composition	PARENT_DERIVED	metric_pure_frame_audit	local_group_composition_only
P12	Levi_Civita_connection_after_representative	PINNED_BY_GEOMETRY	metric_parent	no_action_or_Einstein_equation
P13	observer_or_dphi_reduction_section	OPEN	registered_frontier	not_assumed
P14	global_bundle_completion_and_holonomy	OPEN	registered_frontier	not_assumed
P15	S2_carrier	POSIT_NOT_USED	AGENTS.md	no_particle_promotion
P16	Hopf_section_or_quotient	OPEN	complete_metric_intrinsic_object_audit	not_assumed
P17	action_source_boundary_density_scale	OPEN	registered_frontier	not_assumed
P18	compute	CPU_ONLY	preregistration	no_GPU
