current_path	relationship	primary_owner	artifact_type	physics_status_source	frozen_manifest_status	migration_readiness
AUDIT.md	SECONDARY_CONSUMER	CROSS_LANE_SHARED	MARKDOWN	CANON.md:63	REFERENCED_BY_SIX_FROZEN_PACKAGES	RETAIN_ROOT
CANON.md	SECONDARY_CONSUMER	CONTROL_ROOT	MARKDOWN	LIVE.md:486;HANDOFF.md:82,123,134;INDEX.md:55,66,105;NEGATIVES_REGISTRY.md:181;FOUNDATIONAL_ASSUMPTIONS_LEDGER.md:254;native_action_final_adjudication_2026-07-18/PROVENANCE_FIREWALL.tsv:7	REFERENCED_BY_SIX_FROZEN_PACKAGES;MANIFEST_EDGE_TARGET	RETAIN_ROOT
CLAUDE.md	SECONDARY_CONSUMER	CONTROL_ROOT	MARKDOWN	LIVE.md:17,21;HANDOFF.md:122;INDEX.md:54,99,107;NEGATIVES_REGISTRY.md:10	NOT_FROZEN_OR_MANIFEST	RETAIN_ROOT
F5_critical_universe_closure_results.md	SECONDARY_CONSUMER	LEGACY_FROZEN	MARKDOWN	SELF_STATUS_BANNER:F5_critical_universe_closure_results.md	R0_FROZEN_EVIDENCE	IMMUTABLE_PATH
J_of_s_light_deflection_confrontation_MAP.md	PRIMARY	MACRO	MARKDOWN	SELF_STATUS_BANNER:J_of_s_light_deflection_confrontation_MAP.md	NOT_FROZEN_OR_MANIFEST	POINTER_MIGRATION_REQUIRED
LIVE.md	SECONDARY_CONSUMER	CONTROL_ROOT	MARKDOWN	LIVE.md:9;HANDOFF.md:3,4,4,10,103,116,120;INDEX.md:4,6,44,51,98;MEMORY.md:3,9,64;NEGATIVES_REGISTRY.md:3;FOUNDATIONAL_ASSUMPTIONS_LEDGER.md:1	REFERENCED_BY_SIX_FROZEN_PACKAGES	RETAIN_ROOT
MEMORY.md	SECONDARY_CONSUMER	CONTROL_ROOT	MARKDOWN	LIVE.md:11,25,27;HANDOFF.md:121;INDEX.md:52,98	NOT_FROZEN_OR_MANIFEST	RETAIN_ROOT
SIMPLE_METRIC_MACRO.md	PRIMARY	MACRO	MARKDOWN	LIVE.md:12,157,162;HANDOFF.md:83;INDEX.md:64;MEMORY.md:29	REFERENCED_BY_SIX_FROZEN_PACKAGES	IMMUTABLE_PATH
UDT_DOTTED_LINE.md	PRIMARY	MACRO	MARKDOWN	LIVE.md:12;INDEX.md:65	REFERENCED_BY_SIX_FROZEN_PACKAGES	IMMUTABLE_PATH
UDT_ELEGANCE_UNCOVER.md	PRIMARY	MACRO	MARKDOWN	LIVE.md:12,331;INDEX.md:65	REFERENCED_BY_SIX_FROZEN_PACKAGES	IMMUTABLE_PATH
UDT_ELEGANT_FRAME.md	PRIMARY	MACRO	MARKDOWN	LIVE.md:157,161;HANDOFF.md:83;INDEX.md:65;MEMORY.md:28	REFERENCED_BY_SIX_FROZEN_PACKAGES	IMMUTABLE_PATH
UDT_METHOD_MUSIC.md	PRIMARY	MACRO	MARKDOWN	LIVE.md:12;INDEX.md:65	REFERENCED_BY_SIX_FROZEN_PACKAGES	IMMUTABLE_PATH
UDT_NATURE_LEAN_FRAME.md	PRIMARY	MACRO	MARKDOWN	LIVE.md:318	NOT_FROZEN_OR_MANIFEST	POINTER_MIGRATION_REQUIRED
cell_solver_f2d.py	SECONDARY_CONSUMER	CROSS_LANE_SHARED	PYTHON	DEPENDENCY_STATUS_SOURCE:H4_N4rev_sign_certification_results.md;HANDOFF_ARCHIVE.md;N5d_solver_build_plan.md;archive/INDEX_pre_simple_metric_WR_L_2026-07-09.md;archive/LIVE_historical_frontier_through_2026-07-08.md;archive/LIVE_stage2_static_arc_2026-07-06.md;archive/LIVE_universe_cell_ladder_arc_2026-07-02.md;branch_operator_contamination_ledger.md	NOT_FROZEN_OR_MANIFEST	RETAIN_ROOT
