current_path	relationship	primary_owner	artifact_type	physics_status_source	frozen_manifest_status	migration_readiness
.gitignore	SECONDARY_CONSUMER	CONTROL_ROOT	OTHER	LIVE.md:100	NOT_FROZEN_OR_MANIFEST	RETAIN_ROOT
CANON.md	SECONDARY_CONSUMER	CONTROL_ROOT	MARKDOWN	LIVE.md:486;HANDOFF.md:82,123,134;INDEX.md:55,66,105;NEGATIVES_REGISTRY.md:181;FOUNDATIONAL_ASSUMPTIONS_LEDGER.md:254;native_action_final_adjudication_2026-07-18/PROVENANCE_FIREWALL.tsv:7	REFERENCED_BY_SIX_FROZEN_PACKAGES;MANIFEST_EDGE_TARGET	RETAIN_ROOT
CLAUDE.md	SECONDARY_CONSUMER	CONTROL_ROOT	MARKDOWN	LIVE.md:17,21;HANDOFF.md:122;INDEX.md:54,99,107;NEGATIVES_REGISTRY.md:10	NOT_FROZEN_OR_MANIFEST	RETAIN_ROOT
F2_matter_action_forcedness_results.md	SECONDARY_CONSUMER	LEGACY_FROZEN	MARKDOWN	FOUNDATIONAL_ASSUMPTIONS_LEDGER.md:151	R0_FROZEN_EVIDENCE;REFERENCED_BY_SIX_FROZEN_PACKAGES	IMMUTABLE_PATH
F7_scale_bridge_native_results.md	SECONDARY_CONSUMER	LEGACY_FROZEN	MARKDOWN	SELF_STATUS_BANNER:F7_scale_bridge_native_results.md	R0_FROZEN_EVIDENCE	IMMUTABLE_PATH
H3_hopfion_solve_preregistration.md	PRIMARY	PARTICLE_MASS	MARKDOWN	SELF_STATUS_BANNER:H3_hopfion_solve_preregistration.md	NOT_FROZEN_OR_MANIFEST	POINTER_MIGRATION_REQUIRED
H4_GP_switch_hopfion_MAP.md	PRIMARY	PARTICLE_MASS	MARKDOWN	SELF_STATUS_BANNER:H4_GP_switch_hopfion_MAP.md	NOT_FROZEN_OR_MANIFEST	POINTER_MIGRATION_REQUIRED
H4_N1_offround_transverse_equation_results.md	PRIMARY	PARTICLE_MASS	MARKDOWN	SELF_STATUS_BANNER:H4_N1_offround_transverse_equation_results.md	R0_FROZEN_EVIDENCE	IMMUTABLE_PATH
H4_N2_farfield_reduction_results.md	PRIMARY	PARTICLE_MASS	MARKDOWN	SELF_STATUS_BANNER:H4_N2_farfield_reduction_results.md	R0_FROZEN_EVIDENCE	IMMUTABLE_PATH
H4_N4_backreaction_solve_preregistration.md	PRIMARY	PARTICLE_MASS	MARKDOWN	SELF_STATUS_BANNER:H4_N4_backreaction_solve_preregistration.md	NOT_FROZEN_OR_MANIFEST	POINTER_MIGRATION_REQUIRED
H4_N4_backreaction_solve_results.md	PRIMARY	PARTICLE_MASS	MARKDOWN	SELF_STATUS_BANNER:H4_N4_backreaction_solve_results.md	R0_FROZEN_EVIDENCE	IMMUTABLE_PATH
H4_N4a_source_background_audit_results.md	PRIMARY	PARTICLE_MASS	MARKDOWN	SELF_STATUS_BANNER:H4_N4a_source_background_audit_results.md	R0_FROZEN_EVIDENCE	IMMUTABLE_PATH
H4_N4rev_conditional_mass_response_results.md	PRIMARY	PARTICLE_MASS	MARKDOWN	SELF_STATUS_BANNER:H4_N4rev_conditional_mass_response_results.md	R0_FROZEN_EVIDENCE	IMMUTABLE_PATH
H4_N4rev_sign_certification_results.md	PRIMARY	PARTICLE_MASS	MARKDOWN	LIVE.md:429;INDEX.md:91	NOT_FROZEN_OR_MANIFEST	POINTER_MIGRATION_REQUIRED
H4_N5_whole_cell_criticality_MAP.md	PRIMARY	PARTICLE_MASS	MARKDOWN	SELF_STATUS_BANNER:H4_N5_whole_cell_criticality_MAP.md	NOT_FROZEN_OR_MANIFEST	POINTER_MIGRATION_REQUIRED
H4_N5a_whole_cell_criticality_rederivation_results.md	PRIMARY	PARTICLE_MASS	MARKDOWN	NEGATIVES_REGISTRY.md:2180	R0_FROZEN_EVIDENCE	IMMUTABLE_PATH
H4_N5b_flux_budget_closure_results.md	PRIMARY	PARTICLE_MASS	MARKDOWN	SELF_STATUS_BANNER:H4_N5b_flux_budget_closure_results.md	R0_FROZEN_EVIDENCE	IMMUTABLE_PATH
H4_backreaction_mass_MAP.md	PRIMARY	PARTICLE_MASS	MARKDOWN	SELF_STATUS_BANNER:H4_backreaction_mass_MAP.md	NOT_FROZEN_OR_MANIFEST	POINTER_MIGRATION_REQUIRED
H4_screening_taxonomy_MAP.md	PRIMARY	PARTICLE_MASS	MARKDOWN	SELF_STATUS_BANNER:H4_screening_taxonomy_MAP.md	NOT_FROZEN_OR_MANIFEST	POINTER_MIGRATION_REQUIRED
