comparison_object	local_type	primary_source_type	allowed_status	quarantined_content
release_and_file_identity	catalog_provenance	catalog_provenance	DIRECTLY_COMPARABLE	None
sample_and_cap_identity	catalog_partition	catalog_partition	DIRECTLY_COMPARABLE	Cosmological interpretation
catalog_row_counts	integer_after_exact_cut	integer_after_exact_cut	DIRECTLY_COMPARABLE	Counts after unlike cuts
field_definitions	column_semantics	column_semantics	DIRECTLY_COMPARABLE	Derived cosmological coordinates
observational_weights	per_object_observational_factors	per_object_observational_factors	DIRECTLY_COMPARABLE	FKP or model-optimal weighting
random_catalog_role	angular_selection_and_completeness	angular_selection_and_completeness	DIRECTLY_COMPARABLE	Mock physics
mask_and_veto_role	released_product_selection	released_product_selection	DIRECTLY_COMPARABLE	Unmatched footprint corrections
Landy_Szalay_formula	normalized_angular_pair_estimator	published_estimator_definition	DIRECTLY_COMPARABLE	Model template
random_oversampling	nested_numerical_control	publication_numerical_choice	COMPARABLE_WITH_DECLARED_TRANSFORM	Published covariance impact
raw_angular_curve	w_theta_in_observed_z_shell	identically_typed_w_theta	DIRECTLY_COMPARABLE_IF_EXACT	Any unmatched bin selection correction or smoothing
three_dimensional_correlation	angular_observer_coordinate_curve	comoving_s_or_k_statistic	NONCOMPARABLE_MODEL_TRANSFORM	All values and feature locations
BAO_summary	unassigned_raw_shape	acoustic_or_fiducial_distance_summary	NONCOMPARABLE_MODEL_TRANSFORM	D_M D_H D_V r_d alpha and peak scale
mock_covariance	data_only_spatial_resampling	cosmology_generated_mock_covariance	NONCOMPARABLE_MODEL_TRANSFORM	Ranks errors and significance
