object	status	role
supplied_time_foliation	SUPPLIED_CONFIGURATION	types lapse shift and spatial block
positive_reference_lapse_f	PINNED_BY_DECLARED_CONFIGURATION	reference clock coefficient
positive_reference_spatial_H	PINNED_BY_DECLARED_CONFIGURATION	reference spatial determinant
determinant_one_spatial_remainder	SUPPLIED_CONFIGURATION	not reclassified
arbitrary_shift_b	SUPPLIED_CONFIGURATION	causal-center and pair composition control
lapse_log_ell	FREE_AND_EXPLORED	positive lapse scalar
spatial_volume_log_sigma	FREE_AND_EXPLORED	positive spatial determinant scalar
common_scale_Omega	PREREGISTERED_DERIVED_COORDINATE	candidate common conformal basis coordinate
relative_mode_q	PREREGISTERED_DERIVED_COORDINATE	candidate clock-versus-space basis coordinate
G205_profiles	DERIVED_CONDITIONAL	supplied radial witness family only
completed_pair_dual_reciprocity	WORKING_FOUNDATIONAL_CLARIFICATION	post-pullback scalar
physical_scalar_history	OPEN	no selection
Xmax_action_source_transfer_observations	OMITTED_OPEN	outside bounded theorem
