claim_id	object	status	claim	remaining_open_scope
K01	Killing_plane_Gram_form	DERIVED	Gram_determinant_is_minus_c_E_squared_and_plane_is_Lorentzian	bounded_stationary_constant_alpha_block_screen_family
K02	causal_selector	DERIVED_NEGATIVE	causality_leaves_an_open_family_of_timelike_K_plus_Omega_V_directions	physical observer law
K03	variable_depth_Gram_response	DERIVED_CONDITIONAL	basis_covariant_metric_response_has_exact_reciprocal_eigenlines_inside_registered_K_V_plane	generic spacetime variable alpha and higher-isometry plane selection
K04	clock_line_variable_depth	DERIVED_CONDITIONAL	unique_timelike_eigenline_is_founded_K_when_Gram_map_is_nonconstant	selection of descended physical branch
K05	ruler_line_variable_depth	DERIVED_CONDITIONAL	unique_spacelike_eigenline_is_V_minus_alpha_over_c_E_K	carrier and physical Hopf interpretation
K06	depth_critical_points	DERIVED_CONDITIONAL	global_constant_eigenlines_extend_across_critical_points_on_connected_base	degenerate everywhere-constant depth
K07	twist_crosscheck	DERIVED_CONDITIONAL	K_is_unique_timelike_direction_without_depth_mixed_twist_when_dphi_nonzero_but_contact_twist_generally_remains	generic nonstationary geometry and registered-plane selection
K08	constant_depth	MIXED_PARAMETER_STRATA	metric_orthogonal_line_differs_from_founded_K_generic_or_becomes_causally_degenerate	possible other metric tensors outside bounded inventory
K09	orbit_topology	DERIVED_NEGATIVE	compactness_selects_V_not_one_noncompact_helix	physical framing
K10	strata_relation	DERIVED_CONDITIONAL	full_descent_and_rank3_unique_clock_strata_are_continuously_adjacent	generic complete metric families
K11	selector_handoff	DERIVED_CONDITIONAL	Gram_response_and_nearby_rank3_certificates_select_the_same_K_line	physical branch realization
K12	both_forks_as_regimes	OPEN_PLAUSIBLE_GEOMETRICALLY	geometry_permits_adjacent_distinct_strata	macro_micro_assignment dynamics and bootstrap
K13	carrier_action_source_mass	OPEN	no_carrier_action_source_or_mass_is_derived	complete UDT physics
K14	zero_depth_zero_contact_control	DERIVED_NEGATIVE	all_constant_Killing_directions_are_twist_free_and_Gram_response_vanishes	other selectors outside bounded inventory
K15	higher_isometry_metrics	OPEN	additional_Killing_planes_or_compact_circles_are_not_classified	intrinsic selection of registered_plane
