premise_id	object	status_for_audit	epistemic_label	role	open_scope
P01	founded_phi_identity	DERIVED_ADDITIVE_LOG_DEPTH_OF_RECIPROCAL_PAIR	DERIVED	ACTIVE_FOUNDATION	physical observer/path assignment and realized profile
P02	founded_phi_pair_action	DIAG_EXP_MINUS_PHI_EXP_PLUS_PHI	DERIVED	ACTIVE_FOUNDATION	complete generic 4D extension
P03	c_E	OBSERVED_NONZERO_CALIBRATION	OBSERVED	SYMBOLIC_CONSTANT	native absolute-scale closure
P04	strong_local_CSN	INACTIVE	OPEN	NOT_USED	requires explicit reauthorization
P05	stationary_R_times_S3	CHOSE_EXISTENCE_CONTROL	CHOSE	BOUNDED_DOMAIN	physical global topology and branch selection
P06	block_screen_coframe	CHOSE_REGISTERED_FAMILY	CHOSE	BOUNDED_ANSATZ	direct pair-screen metric off-blocks
P07	stationarity	CHOSE_REGISTERED_FAMILY	CHOSE	BOUNDED_DYNAMICAL_CHARACTER	nonstationary geometry and evolution
P08	K_and_V	REGISTERED_COMMUTING_KILLING_GENERATORS_ON_DESCENDED_STRATUM	DERIVED_CONDITIONAL	TESTED_KILLING_PLANE	selection of this plane in higher-symmetry metrics
P09	alpha	FREE_SYMBOLIC_CONSTANT	FREE	ALL_ZERO_AND_NONZERO_STRATA_CLASSIFIED	variable alpha
P10	kappa	FREE_SYMBOLIC_CONSTANT_WITH_HOPF_BRANCH_NONZERO	FREE	ZERO_CONTROL_RETAINED	other circle normalizations and topologies
P11	phi_profile	FREE_SMOOTH_FINITE_AND_V_INVARIANT_ON_DESCENT	FREE	CONSTANT_AND_NONCONSTANT_STRATA_CLASSIFIED	on-shell profile selection
P12	full_screen_P	FREE_SMOOTH_INVERTIBLE_SUBJECT_TO_METRIC_DESCENT	FREE	BOTH_SHEARS_RETAINED	nondegenerate direct off-block extensions
P13	Omega	FULL_REAL_PROJECTIVE_LINE	FREE	ALL_CONSTANT_KILLING_DIRECTIONS	position-dependent non-Killing directions separately classified
P14	Hopf_circle_lattice	CONDITIONAL_FREE_S1_ACTION_ON_CHOSEN_S3	CONDITIONAL	ORBIT_TOPOLOGY_CONTROL	physical carrier and quotient selection
P15	old_rank3_witnesses	EXACT_SIX_NONZERO_ENDPOINTS	DERIVED_CONDITIONAL	TRANSITION_ENDPOINTS	on-shell selection absent
P16	action_and_equations	OPEN_NOT_LOADED	OPEN	FORBIDDEN_PROMOTION	complete native action and variation domain
P17	carrier_and_source	OPEN_NOT_LOADED	OPEN	FORBIDDEN_PROMOTION	carrier emergence source and mass
P18	bootstrap_density	WORKING_NOT_LOADED	WORKING	FORBIDDEN_PROMOTION	global-local fixed point
P19	macro_micro_assignment	OPEN_NOT_TESTED	OPEN	INTERPRETATION_ONLY	physical regime map
P20	physical_branch	OPEN_NOT_SELECTED	OPEN	NO_UNIVERSE_CLAIM	boundary dynamics and observational realization
