path	role	blob	sha256	bytes
udt_killing_plane_strata_transition_audit_2026-07-28/PREREGISTRATION.md	frozen_contract	3399604a4f44243331e16da18c83c63e39266387	6d67a268bdbde3c8c1da972ffaec09397bbbdda3ce4dac308e71a16bcdf8a2f4	5947
CURRENT_SCIENTIFIC_PREMISES.md	premise_precedence	1a25dc1d354e0065c527374767f11aa9d06d62de	63fe502793db25c9ddbf078c393fecc449d43648984d63504b49a4b9fbe72491	2493
CURRENT_SCIENTIFIC_PREMISES.tsv	premise_statuses	ed1de6dd9025b2709ee5127166288fa07411df2e	c05647b1498073b79f2cad56608befd43cb8f0052ea286a39cdb30a00c236ddf	5277
verify_current_scientific_premises.py	premise_verifier	d790140114441a8b43fcde7cb52241b7f1e9bee5	14c1a75dcee2cd593bca1eb098dc7b71b5a5212e921e4b97b4b5c4fbfa4b0904	5297
UDT_SCIENTIFIC_FRONTIER_2026-07-19.md	frontier_context	17d556324257da00069654d506d9ca3e0fdaa616	d8484a1ed5d2038975ea02411b68d23976bbad567b353e969fa524751a614420	83600
native_hopfion_topology_audit_2026-07-19/AUDIT_REPORT.md	carrier_and_Hopf_scope	776220ebee57c9a55e82db8cf1dc832d951be0d6	df0171eb83d75ad175727a8db541df8500b7826edf6059ae63a52f1a1ba15bea	10290
udt_intrinsic_ruler_full_screen_descent_audit_2026-07-28/AUDIT_REPORT.md	direct_parent_result	62660c7a1056e8be45a26b2611e4bdf7ed3a13f4	1ee4ddd4c7f91466fa3be5260adc9d6405c3a7f1302048961dba14ce4486c66e	4708
udt_intrinsic_ruler_full_screen_descent_audit_2026-07-28/EXACT_DERIVATION.md	direct_parent_algebra	8faf8a5c2b3224aef7ad3370559599495dd981bb	f891ffb86591405c5271b5b15118812fe20776dd5debf5c08040987c08b26ae0	9515
udt_intrinsic_ruler_full_screen_descent_audit_2026-07-28/DERIVATION_RESULT.json	direct_parent_machine_result	6b7f7c8fae3e3da7bb3ff134bb571607b3cd2ed8	cfb571a398bde1d24f178510014eda83e7157e55d61fe793197cd541557e1abe	4240
udt_intrinsic_ruler_full_screen_descent_audit_2026-07-28/BRANCH_COMPATIBILITY_ATLAS.tsv	direct_parent_branches	c786c3efbb5c19656052c5331ec08c4b80995002	2badef500bd588efae4fd3d34682f021daf1af027e517f1f3a443f2fada3fa07	1489
udt_intrinsic_ruler_full_screen_descent_audit_2026-07-28/PREMISE_LEDGER.tsv	direct_parent_premises	4a7d38086f964e947bb8dc76eea53727fb2efc45	1b638ff0252f6b66d76b305998723bbe814e80b44fec87db87ba39be56391bbc	2633
udt_intrinsic_ruler_full_screen_descent_audit_2026-07-28/derive_intrinsic_ruler_descent.py	direct_parent_implementation	22a2d13c7231c41adf652ad015df36a67cc7a5a8	d46ba8dd26638970f513c9facf3f59c3aee08acccb4f5831688569de923b38b6	15054
udt_general_screen_complete_cell_atlas_2026-07-28/AUDIT_REPORT.md	full_screen_scope	3f508e2d21328aef5a8e51cc7ca069ba3889992f	21fc7594ff288bb8297f3a8be36e8cfac336e340b376802a649ae95b3c10f932	4171
udt_general_screen_complete_cell_atlas_2026-07-28/EXACT_DERIVATION.md	full_screen_algebra	b4f9a0300cc3053f53b69ad28f1122e416273113	3d6cab420d4cb20dc0042c4ccce88a4d0b13d0c75572cc78a47daa04be87297f	7384
udt_general_screen_complete_cell_atlas_2026-07-28/GENERAL_CARTAN_RESULT.json	full_screen_machine_result	23a5dda71d8a7ecbb3e8bca84ef76d6993562ed2	8ae1ba6695ceb6aec7ac6915dd0f10c9f68b999ccf4ea332945b66605ea0d205	5470
udt_twisted_s3_intrinsic_pair_witness_audit_2026-07-27/AUDIT_REPORT.md	old_rank3_witness_scope	056f2d9f6ab7029c9ac72fbc882e4a733b1b43c6	150c98e46d666b58a573d194d4b2a60a228d29d3925e6fe27e1d5650e28efc25	4879
udt_twisted_s3_intrinsic_pair_witness_audit_2026-07-27/CANDIDATE_UNIVERSE.tsv	old_rank3_candidate_definitions	5028e027756c3299db9b7443dac82a4f63e81cf2	284b39437d484df81eb990651d7910eb48f4dda71820683d1a9c3f3da4c46ae3	358
udt_twisted_s3_intrinsic_pair_witness_audit_2026-07-27/CANDIDATE_OUTCOMES.tsv	old_rank3_exact_endpoints	ed8e623c0e60cd51ee708453cccfaa82e1516ef6	03c25628018f17f5a0465c4cf80229fe4c7e62cc7697e365fc5d810205daa3a1	2181
udt_twisted_s3_intrinsic_pair_witness_audit_2026-07-27/derive_intrinsic_pair_witness.py	old_rank3_production_route	15959d5c169a33c7768dc82f3b90f97a0431d644	55203a612f407790bbc5cf25216fd063f29a508dab38c71cb3c66a8a380d8605	5135
udt_twisted_s3_intrinsic_pair_witness_audit_2026-07-27/exact_invariant_jets.py	old_rank3_exact_curvature_route	5f876d507a4c501dd2ecd657e04c1a90be21bf99	8422761ae0626491ddd28f2870dee0afc8011fbafbd153d6cd61f6edd7f92b00	11975
