id	mutation	expected	actual	status
F01	promote_mixed_strata_to_universal_unique	REJECT_F01	REJECT_F01	PASS
F02	erase_variable_depth_positive_result	REJECT_F02	REJECT_F02	PASS
F03	swap_clock_and_ruler	REJECT_F03	REJECT_F03	PASS
F04	make_selector_coordinate_basis_dependent	REJECT_F04	REJECT_F04	PASS
F05	discard_depth_critical_points	REJECT_F05	REJECT_F05	PASS
F06	claim_causality_alone_selects_K	REJECT_F06	REJECT_F06	PASS
F07	claim_orbit_topology_selects_one_helix	REJECT_F07	REJECT_F07	PASS
F08	remove_twist_crosscheck_for_K	REJECT_F08	REJECT_F08	PASS
F09	misclassify_second_zero_mixed_line_as_timelike	REJECT_F09	REJECT_F09	PASS
F10	identify_constant_depth_metric_clock_with_founded_K	REJECT_F10	REJECT_F10	PASS
F11	drop_exceptional_strata	REJECT_F11	REJECT_F11	PASS
F12	call_the_strata_disconnected	REJECT_F12	REJECT_F12	PASS
F13	erase_analytic_adjacency	REJECT_F13	REJECT_F13	PASS
F14	claim_different_clock_lines_across_handoff	REJECT_F14	REJECT_F14	PASS
F15	assign_macro_and_micro_physics	REJECT_F15	REJECT_F15	PASS
F16	reactivate_strong_CSN	REJECT_F16	REJECT_F16	PASS
F17	promote_geometry_to_action	REJECT_F17	REJECT_F17	PASS
F18	omit_generic_projective_direction	REJECT_F18	REJECT_F18	PASS
F19	corrupt_source_identity	REJECT_F19	REJECT_F19	PASS
F20	change_dirty_or_repository_gate	REJECT_F20	REJECT_F20	PASS
F21	erase_contact_twist_components	REJECT_F21	REJECT_F21	PASS
F22	promote_zero_depth_zero_contact_control	REJECT_F22	REJECT_F22	PASS
F23	replace_lattice_group_by_unrestricted_GL2	REJECT_F23	REJECT_F23	PASS
F24	hide_higher_isometry_scope	REJECT_F24	REJECT_F24	PASS
