criterion	covered_in_P03	dropped_or_open	could_dropped_space_host_structure	next_status
1_FIELDS	abstract reciprocal pair; conditional metric zero/first/second jets; independent signed phi classification	independent connection matter carrier source and complete off-shell fields	YES	explicitly open; no field freeze interpreted as closure
2_ACTION_TERMS	none	all dynamics terms boundary terms coefficients locality and derivative order	YES	excluded from P03 by design
3_FULL_EQUATIONS	none	all variations constraints propagation and evolution	YES	excluded from P03 by design
4_DOMAIN_COORDINATES	point-local atlas plus separate static-seal and global-domain status	complete charts axes corners cell embedding and time-live domain	YES	P03 is one local constraint tile only
5_BOUNDARY_REGULARITY	static phi value and parity-preserving variation at the seal; free normal derivative	other field data polarizations normal jets caps corners and boundary functional	YES	open boundary space retained
6_TOPOLOGICAL_SECTOR	finite closure requirement only	periods caps quotient no-cap cover topology and charge sectors	YES	all global completions remain open
7_DYNAMICAL_CHARACTER	none	static stationary periodic and dynamic solution spaces	YES	no dynamics loaded
8_BRANCH_BIFURCATION	seven premise-realization domains and all 89 marginal local witnesses	on-shell connected components bifurcations and global branches	YES	no local census promoted to global branch catalog
9_STABILITY_SPECTRUM	none	all perturbation spectra nonlinear persistence and time-live stability	YES	outside P03
10_REGIME_VALIDITY	conditional four-dimensional point-local two-jet arena with separate static-seal clauses	complete cell global existence material phase and calibrated physical scale	YES	maximum conclusion remains bounded configuration-space characterization
