id	combination	conflict	required_treatment
I01	u*v=1; u=v; nontrivial positive character	u=v=1 is the only positive intersection, contradicting the nontrivial clause	ordinary covariance is a diagnostic alternative, not an added foundation
I02	phi equals nonnegative physical distance	owner semantics permit signed phi and require nonnegative distance as a distinct object	keep a separate comparison map open
I03	realized nontriviality deletes phi=0	the source explicitly retains the mathematical phi=0 representation	treat nontriviality as global existential evidence
I04	internal reciprocal character uniquely selects a spacetime plane	the soldering/slot map is explicitly open	branch abstract and soldered realizations separately
I05	the conditional Lorentz readout is unconditional UDT geometry	its source status is CONDITIONAL/CHOSE	retain B01/B02 as supplied arenas
I06	the supplied two-plus-two split is universal	P10 requires branching over slot projector coframe and type-change realizations	retain B03 as conditional
I07	the static seal condition is an interior equation	the cited condition is boundary- and branch-local	apply only in B04
I08	mirror fixes normal derivative phi	canon explicitly leaves the normal derivative free	retain both zero and nonzero normal jets
I09	finite cell means hard wall cap or ADM infinity	finite closure forbids spatial-infinity input and supplies none of those completions	retain global completion alternatives
I10	global bootstrap is inserted as a local density coupling	the principle explicitly forbids that insertion	defer B06 until native global objects exist
I11	Xmax is supplied as a local or numerical constant	current meaning makes it a derived global output	leave its value and closure functional open
I12	CSN chooses a physical representative	CSN identifies the local common-scale orbit	physical representative remains an open post-scale join
I13	a curvature identity is treated as a field equation	metric geometry alone supplies no variation or evolution law	record the identity only as configuration data
I14	a preferred profile action solution or comparison ranks P03 branches	P03's registered question is a provenance/effect census	stop before any merit or dynamics layer
