atlas	source_id	source_label	local_foundation_status	conditional_branch_status	csn_quotient_key	reason	source_table	source_table_sha256
METRIC_INERTIA	Z01	DEGENERATE_TYPE_CHANGE	PRESERVED_IN_FULL_P02_CLOSURE	OUTSIDE_SUPPLIED_LORENTZ_CONVENTION_NOT_FOUNDATION_EXCLUDED	INERTIA_0_0_4	positive common scaling preserves inertia and rank	ZERO_JET_INERTIA_STRATA.tsv	e370bb97fd5c7a500e83aa24ae5cc2bcea4cb50639d6c0aeb657cbfb23e08367
METRIC_INERTIA	Z02	DEGENERATE_TYPE_CHANGE	PRESERVED_IN_FULL_P02_CLOSURE	OUTSIDE_SUPPLIED_LORENTZ_CONVENTION_NOT_FOUNDATION_EXCLUDED	INERTIA_0_1_3	positive common scaling preserves inertia and rank	ZERO_JET_INERTIA_STRATA.tsv	e370bb97fd5c7a500e83aa24ae5cc2bcea4cb50639d6c0aeb657cbfb23e08367
METRIC_INERTIA	Z03	DEGENERATE_TYPE_CHANGE	PRESERVED_IN_FULL_P02_CLOSURE	OUTSIDE_SUPPLIED_LORENTZ_CONVENTION_NOT_FOUNDATION_EXCLUDED	INERTIA_0_2_2	positive common scaling preserves inertia and rank	ZERO_JET_INERTIA_STRATA.tsv	e370bb97fd5c7a500e83aa24ae5cc2bcea4cb50639d6c0aeb657cbfb23e08367
METRIC_INERTIA	Z04	DEGENERATE_TYPE_CHANGE	PRESERVED_IN_FULL_P02_CLOSURE	OUTSIDE_SUPPLIED_LORENTZ_CONVENTION_NOT_FOUNDATION_EXCLUDED	INERTIA_0_3_1	positive common scaling preserves inertia and rank	ZERO_JET_INERTIA_STRATA.tsv	e370bb97fd5c7a500e83aa24ae5cc2bcea4cb50639d6c0aeb657cbfb23e08367
METRIC_INERTIA	Z05	NON_LORENTZIAN_REGULAR	PRESERVED_IN_FULL_P02_CLOSURE	OUTSIDE_SUPPLIED_LORENTZ_CONVENTION_NOT_FOUNDATION_EXCLUDED	INERTIA_0_4_0	positive common scaling preserves inertia and rank	ZERO_JET_INERTIA_STRATA.tsv	e370bb97fd5c7a500e83aa24ae5cc2bcea4cb50639d6c0aeb657cbfb23e08367
METRIC_INERTIA	Z06	DEGENERATE_TYPE_CHANGE	PRESERVED_IN_FULL_P02_CLOSURE	OUTSIDE_SUPPLIED_LORENTZ_CONVENTION_NOT_FOUNDATION_EXCLUDED	INERTIA_1_0_3	positive common scaling preserves inertia and rank	ZERO_JET_INERTIA_STRATA.tsv	e370bb97fd5c7a500e83aa24ae5cc2bcea4cb50639d6c0aeb657cbfb23e08367
METRIC_INERTIA	Z07	DEGENERATE_TYPE_CHANGE	PRESERVED_IN_FULL_P02_CLOSURE	OUTSIDE_SUPPLIED_LORENTZ_CONVENTION_NOT_FOUNDATION_EXCLUDED	INERTIA_1_1_2	positive common scaling preserves inertia and rank	ZERO_JET_INERTIA_STRATA.tsv	e370bb97fd5c7a500e83aa24ae5cc2bcea4cb50639d6c0aeb657cbfb23e08367
METRIC_INERTIA	Z08	DEGENERATE_TYPE_CHANGE	PRESERVED_IN_FULL_P02_CLOSURE	OUTSIDE_SUPPLIED_LORENTZ_CONVENTION_NOT_FOUNDATION_EXCLUDED	INERTIA_1_2_1	positive common scaling preserves inertia and rank	ZERO_JET_INERTIA_STRATA.tsv	e370bb97fd5c7a500e83aa24ae5cc2bcea4cb50639d6c0aeb657cbfb23e08367
METRIC_INERTIA	Z09	LORENTZIAN_REGULAR	PRESERVED_IN_FULL_P02_CLOSURE	IN_SUPPLIED_LORENTZ_CONVENTION	INERTIA_1_3_0	positive common scaling preserves inertia and rank	ZERO_JET_INERTIA_STRATA.tsv	e370bb97fd5c7a500e83aa24ae5cc2bcea4cb50639d6c0aeb657cbfb23e08367
METRIC_INERTIA	Z10	DEGENERATE_TYPE_CHANGE	PRESERVED_IN_FULL_P02_CLOSURE	OUTSIDE_SUPPLIED_LORENTZ_CONVENTION_NOT_FOUNDATION_EXCLUDED	INERTIA_2_0_2	positive common scaling preserves inertia and rank	ZERO_JET_INERTIA_STRATA.tsv	e370bb97fd5c7a500e83aa24ae5cc2bcea4cb50639d6c0aeb657cbfb23e08367
METRIC_INERTIA	Z11	DEGENERATE_TYPE_CHANGE	PRESERVED_IN_FULL_P02_CLOSURE	OUTSIDE_SUPPLIED_LORENTZ_CONVENTION_NOT_FOUNDATION_EXCLUDED	INERTIA_2_1_1	positive common scaling preserves inertia and rank	ZERO_JET_INERTIA_STRATA.tsv	e370bb97fd5c7a500e83aa24ae5cc2bcea4cb50639d6c0aeb657cbfb23e08367
METRIC_INERTIA	Z12	NON_LORENTZIAN_REGULAR	PRESERVED_IN_FULL_P02_CLOSURE	OUTSIDE_SUPPLIED_LORENTZ_CONVENTION_NOT_FOUNDATION_EXCLUDED	INERTIA_2_2_0	positive common scaling preserves inertia and rank	ZERO_JET_INERTIA_STRATA.tsv	e370bb97fd5c7a500e83aa24ae5cc2bcea4cb50639d6c0aeb657cbfb23e08367
