id	object	status	exact_scope	remaining_open
S01	P02_interpretation	CORRECTED_NEUTRAL	P02 is a complete registered point-local configuration atlas in its conditional metric arena; target-shaped contrasts are withdrawn	No dynamics question was posed by P02
S02	P02_package	IMMUTABLE_VERIFIED	Manifest and committed-tree fingerprints reproduce exactly	None within P03
S03	premise_census	EXACT	All 36 registered premise rows have one P03 treatment and domain	Future premise changes require regrading
S04	internal_reciprocal_character	DERIVED_CONDITIONAL	Two positive internal weights reduce to one reciprocal regular character under cited duality composition and convention stamps	Spacetime soldering remains open
S05	internal_to_metric_join	OPEN	No founded map selects a spacetime plane coframe projector or transverse response	Complete join and global extension
S06	CSN_zero_jet	DERIVED_EQUIVALENCE	Positive common scaling preserves all 15 metric inertia classes	Physical scale representative remains open
S07	CSN_dphi	DERIVED_CONDITIONAL	Within the supplied metric arena positive common scaling preserves zero/nonzero and causal type	Phi-metric field equation and observer map remain open
S08	CSN_split_first_jet	DERIVED_CONDITIONAL	Expansion is representative-dependent; 12 witnesses map to 6 shear-rank/twist-rank quotient classes	Origin and global meaning of the split remain open
S09	CSN_curvature	DERIVED_CONDITIONAL	Twenty algebraic-curvature components quotient to ten local common-scale-invariant components	Global representative and dynamics remain open
S10	curvature_and_Ricci_ranks	REPRESENTATIVE_WITNESSES	All 7 and 5 ranks remain atlas witnesses but are not labels on the CSN quotient	Their occurrence in complete solutions is unevaluated
S11	algebraic_invariant_types	EXACT_CONDITIONAL_LOCAL_ATLAS	All six P02 types remain represented	Continuous moduli global existence and dynamics remain open
S12	conditional_Lorentz_readout	CONDITIONAL	Z09 is the supplied regular (-+++) zero-jet row	Unconditional dimensional/signature origin remains open
S13	conditional_reciprocal_split	CONDITIONAL	S27 is the supplied regular Lorentz-base positive-screen row	Slot plane soldering integrability topology and section remain open
S14	static_phi_seal	CANONIZED_SCOPED	Phi value and parity-preserving variation vanish at the static seal	Relation to complete coframe and other boundary fields remains open
S15	static_phi_normal_derivative	FREE	Exact odd family preserves arbitrary normal derivative	No natural boundary equation is supplied
S16	finite_cell	GLOBAL_ONTOLOGY_ONLY	Finite completion and no spatial infinity add no point-local tensor equation	Topology caps periods causal character charts and global existence remain open
S17	bootstrap	GLOBAL_WORKING_ADMISSIBILITY_ONLY	No local effect before native mass volume stability and complete solutions exist	Center width mass volume and response remain open
S18	P02_strata_survival	EXACT_CENSUS	All 89 P02 discrete witnesses are accounted; zero unconditional point-local metric strata are removed	On-shell occurrence is not evaluated
S19	dynamics_and_merit	NOT_LOADED	No action equation source carrier comparison target or branch ranking enters P03	Any dynamics branch requires a separate owner ruling
S20	P03_grade	VERIFIED_WITH_CAVEATS	Deterministic main census independent exact verifier fresh zero-context adversarial scratch replay and repository gates pass	Global existence and dynamics remain outside scope
