item	status	role
Taub_Kasner_metric	DERIVED_CONDITIONAL_BOUNDED	fixed exact spacetime from G323/G324/G338
provisional_vacuum_equation	OWNER_ADOPTED_PROVISIONAL_POSTULATES_NOT_CANON	conditional arena only
normal_observer_congruence	SUPPLIED	fixed spatial labels and proper clocks
compact_translation_lattice	SUPPLIED_CONDITIONAL	path and winding labels
null_geodesic_equations	MATHEMATICAL_METHOD	metric causal-boundary generators
endpoint_frequency_ratio	DERIVED_CONDITIONAL	on supplied regular directed null leg
G298_projective_pair_readout	DERIVED_CONDITIONAL	on supplied regular transported-planar leg
radar_reflection_protocol	CHOSE_DIAGNOSTIC_OPERATIONAL_CONTROL	two future-null legs and arithmetic midpoint
electromagnetic_light_model	OMITTED	no field emission absorption flux or transfer
c_E	OBSERVED	clock-to-ruler unit conversion only
physical_distance_protocol	OPEN	no selection among slice radar affine optical or projective objects
observer_and_route_population	OPEN	no physical population or branch choice
scale_Xmax	OPEN	no attachment or selection
