falsifier_id	injected_or_detected_failure	required_response
F01	two_way_coshortest_pair_has_abs_det_not_one	FAIL_UNIMODULAR_THEOREM
F02	pair_span_is_treated_as_proper_submodule	FAIL_SPAN_CLASSIFICATION
F03	two_way_coshortest_pair_claimed_coshortest_off_wall	FAIL_WALL_SCOPE
F04	one_pair_claimed_unique_at_three_way_vertex	FAIL_VERTEX_SCOPE
F05	signed_permutation_stabilizer_count_not_eight	FAIL_STABILIZER
F06	unipotent_shear_accepted_as_pair_stabilizer	FAIL_REDUCTION
F07	general_GL2Z_monodromy_claimed_to_preserve_splitting	FAIL_MONODROMY_SCOPE
F08	unordered_pair_claimed_to_select_J_over_minus_J	FAIL_LIFT_SELECTION
F09	order_four_swap_claimed_to_have_nonzero_fixed_lattice	FAIL_FIXED_CIRCLE
F10	exchange_eigenlattice_sum_index_not_two	FAIL_INTEGRAL_PARITY
F11	fixed_exchange_circle_nonprimitive	FAIL_PRIMITIVITY
F12	relative_character_does_not_annihilate_fixed_circle	FAIL_QUOTIENT_CHARACTER
F13	FC04_fixed_circle_action_has_cap_stabilizer	FAIL_FREENESS
F14	conditional_Hopf_absolute_Chern_not_one	FAIL_CHERN_CLASS
F15	pair_claimed_to_derive_caps_periods_or_orientation	FAIL_GLOBAL_SELECTION
F16	full_module_claimed_on_FC11	FAIL_TORIC_EXISTENCE
F17	full_rank_two_local_system_claimed_to_extend_through_cap_as_regular_fiber	FAIL_STRATIFIED_SCOPE
F18	CSN_claimed_to_break_pair_tie_or_select_lift	FAIL_CSN_SCOPE
F19	bundle_or_quotient_called_physical_carrier_section	FAIL_TYPE_BOUNDARY
F20	action_source_density_mass_or_scale_promoted	FAIL_AUTHORITY_BOUNDARY
F21	source_identity_drift	FAIL_SOURCE_FREEZE
F22	missing_or_duplicate_completion	FAIL_COMPLETION_COVERAGE
F23	missing_or_duplicate_transition	FAIL_TRANSITION_COVERAGE
F24	production_independent_disagreement	FAIL_INDEPENDENCE
F25	mutation_not_caught	FAIL_CATCH_PROOF
F26	research_artifact_navigation_frozen_or_dirty_checkout_changed	FAIL_REPOSITORY_SCOPE
