falsifier_id	result	detail
F01	PASS_REJECTED	registered failure was rejected
F02	PASS_REJECTED	registered failure was rejected
F03	PASS_REJECTED	registered failure was rejected
F04	PASS_REJECTED	registered failure was rejected
F05	PASS_REJECTED	registered failure was rejected
F06	PASS_REJECTED	registered failure was rejected
F07	PASS_REJECTED	registered failure was rejected
F08	PASS_REJECTED	registered failure was rejected
F09	PASS_REJECTED	registered failure was rejected
F10	PASS_REJECTED	registered failure was rejected
F11	PASS_REJECTED	registered failure was rejected
F12	PASS_REJECTED	registered failure was rejected
F13	PASS_REJECTED	registered failure was rejected
F14	PASS_REJECTED	registered failure was rejected
F15	PASS_REJECTED	registered failure was rejected
F16	PASS_REJECTED	registered failure was rejected
F17	PASS_REJECTED	registered failure was rejected
F18	PASS_REJECTED	registered failure was rejected
F19	PASS_REJECTED	registered failure was rejected
F20	PASS_REJECTED	registered failure was rejected
F21	PASS_REJECTED	registered failure was rejected
F22	PASS_REJECTED	registered failure was rejected
F23	PASS_REJECTED	registered failure was rejected
F24	PASS_REJECTED	registered failure was rejected
F25	PASS_REJECTED	registered failure was rejected
F26	PASS_REJECTED	registered failure was rejected
