completion_id	name	required_module_question	module_status	obstruction_or_dependency	outcome
FC01_BOUNDARY_BOUNDARY	interval_with_two_boundaries	full_module_and_boundary_pair_framing	FULL_MODULE_ON_INTERIOR	pair reduction and phase require boundary framing	NO_GLOBAL_SELECTION
FC02_ONE_CAP_BOUNDARY	one_cap_one_boundary	rank_drop_plus_boundary	RANK_TWO_INTERIOR_RANK_DROP_AT_CAP	one isotropy quotient plus open boundary	CONDITIONAL_STRATIFIED
FC03_TWO_CAP_P0	dependent_two_caps	residual_circle_and_pair_extension	FULL_MODULE_OFF_CAPS_RESIDUAL_CIRCLE	dependent caps do not give Hopf S3	NON_HOPF_P0
FC04_TWO_CAP_P1	independent_unimodular_caps	stratified_T2_S3_and_free_fixed_circle	STRATIFIED_T2_ACTION_ON_CONDITIONAL_S3	global involutive exchange fixes a free unit-weight circle	ABS_C1_ONE_CONDITIONAL
FC05_TWO_CAP_P_GT1	lens_family	quotient_congruence_and_fixed_circle_isotropy	LENS_OR_QUOTIENT_LOCAL_SYSTEM	fixed circle freeness and quotient class depend on cap lattice	GLOBAL_DATA_REQUIRED
FC06_NONPRIMITIVE_CAP	orbifold_cap	effectiveness_and_exceptional_stabilizer	ORBIFOLD_STRATIFIED_MODULE	exceptional stabilizer	NO_SMOOTH_PRINCIPAL_QUOTIENT_WITHOUT_MORE_DATA
FC07_PERIODIC_TORUS_BUNDLE	GL2Z_monodromy	full_local_system_versus_pair_reduction	FULL_GL2Z_LOCAL_SYSTEM_GLOBAL	a metric-derived pair additionally requires an everywhere two-way-wall branch and signed-permutation monodromy	WALL_AND_MONODROMY_DEPENDENT
FC08_MIRROR_DOUBLE	mirror_lift	identity_sign_swap_order_four_alternatives	LIFT_DEPENDENT	identity, sign, involutive swap, and order-four lifts differ	NO_LIFT_SELECTED
FC09_NONORIENTABLE_GLUE	det_minus_one_twist	unoriented_pair_and_orientation_local_system	TWISTED_FULL_LOCAL_SYSTEM	unoriented pair may descend while Chern/Hopf sign twists	ORIENTATION_LOCAL_SYSTEM_REQUIRED
FC10_STRATIFIED_PROJECTOR	rank_changing_strata	module_termination_or_quotient	STRATUM_DEPENDENT	rank-two character module can terminate or quotient	NO_UNIVERSAL_CROSS_STRATUM_MODULE
FC11_NONINTEGRABLE_DISTRIBUTION	anholonomic_plane	no_global_character_module	NO_GLOBAL_CHARACTER_MODULE	Frobenius/integrality obstruction	UNAVAILABLE
FC12_RECIPROCAL_TORIC_DIAGONAL	exact_control	wall_pair_exchange_and_endpoint_subclasses	EXACT_LOCAL_CONTROL	pair exists only at tie; full module persists where toric	ENDPOINT_COMPLETION_UNSELECTED
