premise_id	final_treatment	effect_on_ruling
P01	RETAINED_SCOPED	complete coframe supplies angular metric and shifts only in registered chart scope
P02	RETAINED_SCOPED	normalized determinant-one metric defines the dual lengths
P03	RETAINED_CONDITIONAL	all module claims stop where the integral torus lattice is absent
P04	RETAINED_SCOPED	Q supplies the exact wall and Gram algebra
P05	RETAINED_DERIVED	parent shortest set is the metric input
P06	REPLAYED_DERIVED	unimodularity forces full lattice span
P07	RETAINED_MATHEMATICAL	no sign or phase was promoted
P08	REPLAYED_DERIVED	full module covariance is broader than pair reduction
P09	RETAINED_LOCAL_SCOPE	local J does not become a global lift
P10	RETAINED_EXACT	scalar seal parity does not select angular lift
P11	REPLAYED_EXACT	common scale preserves pair order and tie
P12	RETAINED_SCOPED	connection doublet is associated data, not section
P13	COMPLETE_CENSUS	all twelve completions retained unselected
P14	RECONSTRUCTED	order-eight signed-permutation stabilizer derived
P15	FULLY_EXPLORED	J,-J,and two order-four exchanges remain distinct
P16	RETAINED_FREE	caps and periods were not inferred
P17	RETAINED_CONDITIONAL	FC04 used only for conditional Hopf crosswalk
P18	RETAINED_CONDITIONAL	freeness proved only after action and S3 are supplied
P19	RETAINED_FREE	only absolute unit class survives without orientation/lift sign
P20	RETAINED_POSIT	quotient S2 not equated with carrier section
P21	EXCLUDED_FROM_DERIVATION	static conditional result only compared
P22	RETAINED_OPEN	current bootstrap supplies no local lift or cap selector
P23	EXCLUDED_NOT_OPERATIONAL	no density value or scan
P24	RETAINED_OPEN	no source,mass,scale,or boundary conclusion
P25	PASS_CPU_ONLY	exact symbolic and rational controls only
P26	CAVEAT_RETAINED	no fresh external model so grade capped
