object_id	object	domain	required_test	required_disposition
M01	full_dual_character_local_system	toric_rank_two_region	GL2Z_cocycle	GLOBAL_LOCAL_SYSTEM_OR_OBSTRUCTED
M02	generic_two_way_shortest_set	wall_interior	enumerate_and_prove_unimodularity	PAIR_SET_AND_SPAN
M03	span_of_two_way_pair	wall_interior	Smith_normal_form	FULL_OR_PROPER_SUBMODULE
M04	pair_coshortest_status	neighboring_chambers	one_parameter_control	PERSISTS_OR_WALL_ONLY
M05	pair_uniqueness	three_way_vertex	all_two_subsets	UNIQUE_OR_MULTIPLE
M06	unordered_unoriented_basis_reduction	toric_bundle	structure_group_stabilizer	REDUCTION_CONDITION
M07	signed_permutation_stabilizer	integral_basis	exhaust_GL2Z_bound	EXACT_GROUP
M08	pair_Gram_matrix	wall_interior	exact_Q_basis	INVARIANTS_AND_TRANSFORM
M09	unordered_pair_tensor_K	wall_interior	sign_order_mutations	DESCENDS_OR_NOT
M10	pair_projected_connection_doublet	pair_reduced_region	gauge_and_lattice_change	COVARIANT_OR_NOT
M11	pair_curvature_doublet	pair_reduced_region	exterior_derivative_transform	COVARIANT_OR_NOT
M12	generic_GL2Z_monodromy	periodic_torus_bundle	stabilizer_membership	PRESERVES_MODULE_OR_SPLITTING
M13	local_exchange_J	symmetric_control	eigenlattices_and_fixed_subgroup	EXACT_LOCAL_OBJECT
M14	negative_exchange_minus_J	symmetric_control	eigenlattices_and_conjugacy	DISTINCT_LIFT_OR_EQUIVALENT
M15	order_four_exchange_lifts	symmetric_control	square_and_fixed_lattice	FIXED_CIRCLE_OR_NONE
M16	exchange_fixed_sublattice	global_J_lift	integer_kernel	PRIMITIVE_RANK
M17	exchange_antifixed_sublattice	global_J_lift	integer_kernel	PRIMITIVE_RANK
M18	eigenlattice_sum	global_J_lift	Smith_normal_form	INDEX
M19	fixed_diagonal_subtorus	global_J_lift	exponentiation_and_primitivity	ASSOCIATED_CIRCLE
M20	relative_quotient_character	global_J_lift	annihilator_test	ASSOCIATED_CHARACTER
M21	normalized_reciprocal_amplitude_pair	aligned_reciprocal_chart	exact_normalization	CONDITIONAL_SPINOR_COORDINATE_OR_NATIVE
M22	toric_S3_completion	FC04_like_caps	determinant_and_smooth_action	CONDITIONAL_GLOBAL_OBJECT
M23	fixed_circle_action_on_S3	FC04_plus_J	isotropy_at_caps	FREE_OR_EXCEPTIONAL
M24	quotient_S2	FC04_plus_free_circle	orbit_space_and_Chern	CONDITIONAL_BUNDLE_BASE
M25	Hopf_first_Chern_class	FC04_plus_orientation_normalization	connection_integral	ABSOLUTE_OR_SIGNED_CLASS
M26	Hopf_carrier_section	quotient_bundle	section_map_type	SELECTED_OR_OPEN
M27	rank_loss_cap_extension	cap_stratum	isotropy_quotient	FULL_MODULE_OR_STRATIFIED
M28	nontoric_anholonomy	FC11	Frobenius_and_lattice_existence	AVAILABLE_OR_UNAVAILABLE
M29	CSN_response	all_defined_objects	common_rescaling	INVARIANT_COVARIANT_OR_DEPENDENT
M30	action_source_mass_consequence	all	authority_audit	DERIVED_CONDITIONAL_OR_OPEN
