premise_id	premise	provenance_tag	owner_or_source	audit_use
L01	complete-matrix composition on matched enriched objects	pinned-by-THEORY	udt_three_observer_overlap_calibration_carry_audit_2026-08-10	composition type gate
L02	direct equals composite is descent or path independence not associativity	pinned-by-THEORY	udt_three_observer_overlap_calibration_carry_audit_2026-08-10	triangle interpretation gate
L03	complete angular and mixing entries remain live	pinned-by-THEORY	udt_complete_pair_phi_orchestra_audit_2026-08-05	no diagonal shortcut
L04	c_E is terminal calibration not a relation selector	pinned-by-THEORY	udt_terminal_reciprocal_ce_positional_derivation_2026-08-09	calibration scope
L05	branch labels remain part of multivalued relations	pinned-by-THEORY	udt_calibrated_pair_map_owner_atlas_2026-08-09	cut-locus handling
L06	global family type	free-and-explored	this audit	primary classification axis
L07	identity or nonidentity loop return	free-and-explored	this audit	holonomy/descent axis
L08	middle transition identity or explicit nonidentity bridge	free-and-explored	this audit	composability axis
L09	scalar reciprocal reduction and zero periods	free-and-explored	this audit	scalar descent remains separate
L10	preferred path connection action source boundary or cosmology	pinned-by-HABIT__FORBIDDEN	no owner	not used
