catch_id	mutation_or_control	result
C01	missing_branch	PASS_REJECTED_OR_CONTROL_HELD
C02	duplicate_branch	PASS_REJECTED_OR_CONTROL_HELD
C03	taxonomy_promoted_without_metric	PASS_REJECTED_OR_CONTROL_HELD
C04	path_holonomy_forced_to_common_atlas	PASS_REJECTED_OR_CONTROL_HELD
C05	stationary_clock_overpromoted_to_physical_pair	PASS_REJECTED_OR_CONTROL_HELD
C06	historical_fc12_regrade_removed	PASS_REJECTED_OR_CONTROL_HELD
C07	degenerate_slice_called_complete_path	PASS_REJECTED_OR_CONTROL_HELD
C08	unowned_scalar_promoted	PASS_REJECTED_OR_CONTROL_HELD
C09	bad_crosswalk_target	PASS_REJECTED_OR_CONTROL_HELD
C10	unfrozen_evidence_source	PASS_REJECTED_OR_CONTROL_HELD
C11	common_atlas_identity_control	PASS_REJECTED_OR_CONTROL_HELD
C12	nonidentity_path_loop_retained	PASS_REJECTED_OR_CONTROL_HELD
C13	explicit_middle_transition_retained	PASS_REJECTED_OR_CONTROL_HELD
C14	rank_degenerate_boundary_retained	PASS_REJECTED_OR_CONTROL_HELD
C15	protected_source_absent	PASS_REJECTED_OR_CONTROL_HELD
