source_object	source_path	stable_branch_id	role
FC01_BOUNDARY_BOUNDARY	udt_global_metric_assembly_atlas_2026-07-22/COMPLETION_CLASS_REGISTRY.tsv	R01	PRIMARY_TAXONOMY
FC02_ONE_CAP_BOUNDARY	udt_global_metric_assembly_atlas_2026-07-22/COMPLETION_CLASS_REGISTRY.tsv	R02	PRIMARY_TAXONOMY
FC03_TWO_CAP_P0	udt_global_metric_assembly_atlas_2026-07-22/COMPLETION_CLASS_REGISTRY.tsv	R03	PRIMARY_TAXONOMY
FC04_TWO_CAP_P1	udt_global_metric_assembly_atlas_2026-07-22/COMPLETION_CLASS_REGISTRY.tsv	R04	PRIMARY_CLASS_AGGREGATE
FC05_TWO_CAP_P_GT1	udt_global_metric_assembly_atlas_2026-07-22/COMPLETION_CLASS_REGISTRY.tsv	R05	PRIMARY_TAXONOMY
FC06_NONPRIMITIVE_CAP	udt_global_metric_assembly_atlas_2026-07-22/COMPLETION_CLASS_REGISTRY.tsv	R06	PRIMARY_TAXONOMY
FC07_PERIODIC_TORUS_BUNDLE	udt_global_metric_assembly_atlas_2026-07-22/COMPLETION_CLASS_REGISTRY.tsv	R07	PRIMARY_TAXONOMY
FC08_MIRROR_DOUBLE	udt_global_metric_assembly_atlas_2026-07-22/COMPLETION_CLASS_REGISTRY.tsv	R08	PRIMARY_TAXONOMY
FC09_NONORIENTABLE_GLUE	udt_global_metric_assembly_atlas_2026-07-22/COMPLETION_CLASS_REGISTRY.tsv	R09	PRIMARY_TAXONOMY
FC10_STRATIFIED_PROJECTOR	udt_global_metric_assembly_atlas_2026-07-22/COMPLETION_CLASS_REGISTRY.tsv	R10	PRIMARY_TAXONOMY
FC11_NONINTEGRABLE_DISTRIBUTION	udt_global_metric_assembly_atlas_2026-07-22/COMPLETION_CLASS_REGISTRY.tsv	R11	PRIMARY_TAXONOMY
FC12_RECIPROCAL_TORIC_DIAGONAL	udt_global_metric_assembly_atlas_2026-07-22/COMPLETION_CLASS_REGISTRY.tsv	R12	PRIMARY_TAXONOMY
