branch_id	stable_identity	local_observer_query_object	transition_or_path_arrow	overlap_domain_and_rank	middle_state_ownership	triangle_or_loop_return	angular_mixing_retention	degeneration_handling	scalar_reciprocal_reduction	current_premise_compatibility	primary_disposition	caveat	evidence
R01	FC01_BOUNDARY_BOUNDARY	UNSUPPLIED	UNSUPPLIED	NO_METRIC_OR_OVERLAP	UNSUPPLIED	UNDEFINED	UNDEFINED	boundary data absent	OPEN	COMPATIBLE_AS_UNREALIZED_TAXONOMY	INSUFFICIENT_TYPED_EVIDENCE	A completion label does not supply a metric or relation arrows.	udt_complete_screen_response_branch_atlas_2026-07-28/BRANCH_PATH_RESPONSE_ATLAS.tsv::FC01_BOUNDARY_BOUNDARY:UNSUPPLIED
R02	FC02_ONE_CAP_BOUNDARY	UNSUPPLIED	UNSUPPLIED	NO_METRIC_OR_OVERLAP	UNSUPPLIED	UNDEFINED	UNDEFINED	cap jets and boundary join absent	OPEN	COMPATIBLE_AS_UNREALIZED_TAXONOMY	INSUFFICIENT_TYPED_EVIDENCE	The primitive-cap schema is not an actual joined complete metric.	udt_general_screen_complete_cell_atlas_2026-07-28/COMPLETION_DESCENT_ATLAS.tsv::FC02_ONE_CAP_BOUNDARY
R03	FC03_TWO_CAP_P0	UNSUPPLIED	UNSUPPLIED	NO_METRIC_OR_OVERLAP	UNSUPPLIED	UNDEFINED	UNDEFINED	two cap joins absent	OPEN	COMPATIBLE_AS_UNREALIZED_TAXONOMY	INSUFFICIENT_TYPED_EVIDENCE	Topology and cap-cycle data alone do not own a pair relation.	udt_general_screen_complete_cell_atlas_2026-07-28/COMPLETION_DESCENT_ATLAS.tsv::FC03_TWO_CAP_P0
R04	FC04_TWO_CAP_P1	MEMBER_DEPENDENT	MEMBER_DEPENDENT	GLOBAL_S3_MEMBERS_WITH_RANK_DEPENDENT_STRATA	MEMBER_DEPENDENT	IDENTITY_ENDPOINT_SUBFAMILY_OR_PATH_HOLONOMY_OR_UNDEFINED	RETAINED_IN_TWISTED_AND_GENERAL_SCREEN_MEMBERS	explicit regular zero-response ambiguity and slice-boundary members	OPEN_UNIVERSALLY	COMPATIBLE_ONLY_AS_CLASS_AGGREGATE	STRATIFIED_MIXTURE_OWNED	This is an aggregate classification of actual S3 members; it is not selection of one member or one physical family.	udt_complete_screen_response_branch_atlas_2026-07-28/HOLONOMY_DESCENT_ATLAS.tsv;udt_general_screen_complete_cell_atlas_2026-07-28/COMPLETE_S3_WITNESS_ATLAS.tsv
R05	FC05_TWO_CAP_P_GT1	CONDITIONAL_ON_QUOTIENT_DATA	CONDITIONAL_DECK_TRANSITIONS	UNSUPPLIED_EQUIVARIANT_OVERLAPS	UNSUPPLIED	UNDEFINED	CONDITIONAL_SCREEN_AND_PHI_DESCENT	quotient fixed and exceptional strata open	OPEN	COMPATIBLE_AS_UNREALIZED_TAXONOMY	INSUFFICIENT_TYPED_EVIDENCE	Lens descent requirements are stated but no actual complete metric and transitions are supplied.	udt_general_screen_complete_cell_atlas_2026-07-28/COMPLETION_DESCENT_ATLAS.tsv::FC05_TWO_CAP_P_GT1
R06	FC06_NONPRIMITIVE_CAP	UNDEFINED_ON_SINGULAR_CAP	UNSUPPLIED	RANK_OR_REGULARITY_FAILS	UNSUPPLIED	UNDEFINED	UNDEFINED	nonprimitive collapse is singular or orbifold	OPEN	COMPATIBLE_AS_RETAINED_MATHEMATICAL_BOUNDARY	NO_COMPLETE_FAMILY_ON_DECLARED_BRANCH	No regular complete relation family exists on the declared singular schema.	udt_global_metric_assembly_atlas_2026-07-22/COMPLETION_CLASS_REGISTRY.tsv::FC06_NONPRIMITIVE_CAP
R07	FC07_PERIODIC_TORUS_BUNDLE	CONDITIONAL_ENDPOINT_STATE	CONDITIONAL_GL2Z_MONODROMY_GRAPH	ENDPOINT_GRAPH_ONLY	SUPPLIED_M_REQUIRED	NONIDENTITY_MONODROMY_ALLOWED	CONDITIONAL_ON_METRIC_AND_EQUIVARIANCE	jet matching schema explicit	OPEN	COMPATIBLE_AS_PARAMETRIC_JOIN_SCHEMA	INSUFFICIENT_TYPED_EVIDENCE	The monodromy graph is an exact relation-family schema but has no actual complete metric witness.	udt_completion_parameterized_local_fiber_audit_2026-08-01/GLOBAL_DATA_FIBER_GATE_MATRIX.tsv::G07
R08	FC08_MIRROR_DOUBLE	CONDITIONAL_ON_LIFT	CONDITIONAL_SEAM_MAP	FIXED_SET_AND_JETS_UNSUPPLIED	LIFT_CHOICE_UNOWNED	LIFT_DEPENDENT	multiple angular lifts retained	fixed-set and seam degeneracies open	OPEN	COMPATIBLE_AS_UNREALIZED_TAXONOMY	INSUFFICIENT_TYPED_EVIDENCE	Several inequivalent lifts are registered but no complete lift and overlap family is owned.	udt_global_metric_assembly_atlas_2026-07-22/COMPLETION_CLASS_REGISTRY.tsv::FC08_MIRROR_DOUBLE
R09	FC09_NONORIENTABLE_GLUE	CONDITIONAL_UNORIENTED_STATE	CONDITIONAL_ORIENTATION_REVERSING_TRANSITION	OVERLAP_UNSUPPLIED	SIGN_LOCAL_SYSTEM_UNOWNED	POTENTIAL_SIGN_HOLONOMY	conditional orientation-twisted screen	orientation and line-sign continuation open	OPEN	COMPATIBLE_AS_UNREALIZED_TAXONOMY	INSUFFICIENT_TYPED_EVIDENCE	The topology permits a branch groupoid but the actual metric arrows and sign local system are absent.	udt_global_metric_assembly_atlas_2026-07-22/COMPLETION_CLASS_REGISTRY.tsv::FC09_NONORIENTABLE_GLUE
R10	FC10_STRATIFIED_PROJECTOR	STRATUM_DEPENDENT	UNSUPPLIED	RANK_MERGER_SCHEMA_ONLY	UNSUPPLIED	UNDEFINED	UNDEFINED	rank transition retained but not realized	OPEN	COMPATIBLE_AS_UNREALIZED_TAXONOMY	INSUFFICIENT_TYPED_EVIDENCE	A named stratification is not an owned stratified relation family without a metric and transitions.	udt_global_metric_assembly_atlas_2026-07-22/COMPLETION_CLASS_REGISTRY.tsv::FC10_STRATIFIED_PROJECTOR
