branch_id	stable_identity	geometry_or_completion	declared_domain	source_aliases	completeness_status
R01	FC01_BOUNDARY_BOUNDARY	finite interval with two physical boundaries	completion taxonomy	FC01_BOUNDARY_BOUNDARY	TAXONOMY_ONLY_NO_ACTUAL_METRIC
R02	FC02_ONE_CAP_BOUNDARY	solid torus with one primitive cap and one boundary	completion taxonomy	FC02_ONE_CAP_BOUNDARY	TAXONOMY_ONLY_NO_ACTUAL_METRIC
R03	FC03_TWO_CAP_P0	S2xS1 or general determinant-zero two-cap completion	completion taxonomy	FC03_TWO_CAP_P0	TAXONOMY_ONLY_NO_ACTUAL_METRIC
R04	FC04_TWO_CAP_P1	S3 two-cap determinant-one completion	completion class aggregate	FC04_TWO_CAP_P1;Q01;Q02;W01-W06;C01-C08;general-screen-W00-W08	CLASS_WITH_MULTIPLE_ACTUAL_GLOBAL_WITNESSES
R05	FC05_TWO_CAP_P_GT1	lens-space two-cap completion	completion taxonomy	FC05_TWO_CAP_P_GT1	TAXONOMY_ONLY_CONDITIONAL_QUOTIENT_DESCENT
R06	FC06_NONPRIMITIVE_CAP	nonprimitive cap orbifold or singular completion	completion taxonomy	FC06_NONPRIMITIVE_CAP	SINGULAR_OR_ORBIFOLD_SCHEMA_NO_REGULAR_COMPLETE_METRIC
R07	FC07_PERIODIC_TORUS_BUNDLE	GL2Z mapping torus	completion taxonomy	FC07_PERIODIC_TORUS_BUNDLE	MONODROMY_SCHEMA_NO_ACTUAL_COMPLETE_METRIC
R08	FC08_MIRROR_DOUBLE	mirror double or reflection quotient	completion taxonomy	FC08_MIRROR_DOUBLE	MULTIPLE_LIFT_SCHEMA_NO_ACTUAL_COMPLETE_METRIC
R09	FC09_NONORIENTABLE_GLUE	orientation-reversing bundle or quotient	completion taxonomy	FC09_NONORIENTABLE_GLUE	ORIENTATION_TWIST_SCHEMA_NO_ACTUAL_COMPLETE_METRIC
R10	FC10_STRATIFIED_PROJECTOR	projector rank-merger or split completion	completion taxonomy	FC10_STRATIFIED_PROJECTOR	STRATIFICATION_SCHEMA_NO_ACTUAL_COMPLETE_METRIC
R11	FC11_NONINTEGRABLE_DISTRIBUTION	anholonomic plane-field completion class	completion taxonomy	FC11_NONINTEGRABLE_DISTRIBUTION	REALIZED_AS_PROPERTY_OF_R17_NOT_SEPARATE_METRIC
R12	FC12_RECIPROCAL_TORIC_DIAGONAL	reciprocal toric diagonal finite-interval ansatz	parametric ansatz	FC12_RECIPROCAL_TORIC_DIAGONAL	PROFILE_AND_ENDPOINT_OPEN_NO_COMPLETE_REPRESENTATIVE
R13	Q01_ROUND_S3_B19	round ultrastatic S3 control	global spatial configuration conditional on historical action branch	Q01_ROUND_S3_B19;B19_ROUND_S3	CONCRETE_GLOBAL_CONTROL_PAIR_NOT_METRIC_SELECTED
R14	Q02_SQUASHED_S3_OFF_SHELL	squashed homogeneous S3	off-shell global configuration	Q02_SQUASHED_S3_OFF_SHELL;SQUASHED_S3_OFF_SHELL	CONCRETE_GLOBAL_OFFSHELL_CONTROL
R15	Q03_WRL_LOCAL	centered static WR-L profile	local chart only	Q03_WRL_LOCAL;WRL_LOCAL_RESIDUAL	LOCAL_INCOMPLETE
R16	Q04_PHYSICAL_XMAX_JOIN	physical Xmax join	absent proposed configuration	Q04_PHYSICAL_XMAX_JOIN	NO_CONFIGURATION
R17	W01_TWISTED_RECIPROCAL_S3	shifted twisted reciprocal R_x_S3 with intrinsic clock-ruler projector	global regular off-shell configurations	W01_TWISTED_RECIPROCAL_S3;C01-C06;projector-B01-B02;holonomy-B13;KV-plane-B16	CONCRETE_GLOBAL_OFFSHELL_FAMILY
R18	W02_STATIC_GENERIC_LAPSE_ROUND_S3	static round S3 with generic quadratic lapse	global regular off-shell control	W02_STATIC_GENERIC_LAPSE_ROUND_S3;projector-B04	CONCRETE_GLOBAL_CLOCK_CALIBRATION_CONTROL
R19	W03_ULTRASTATIC_S3	ultrastatic round-product S3	global regular zero-depth control	W03_ULTRASTATIC_S3;projector-B03	CONCRETE_GLOBAL_ZERO_RESPONSE_CONTROL
R20	W04_MULTIPLE_KILLING_CONTROL	homogeneous S3 with multiple Killing lines	global stationary ambiguity control	W04_MULTIPLE_KILLING_CONTROL;projector-B15	CONCRETE_GLOBAL_NONUNIQUE_CONTROL
R21	W05_CAUSAL_SLICE_BOUNDARY	stationary causal-slice sign boundary	degenerate slice stratum with regular four-metric possible	W05_CAUSAL_SLICE_BOUNDARY	STRATUM_BOUNDARY_NOT_COMPLETE_RELATION_PATH
R22	W06_TWIST_FREE_NONCONSTANT_CLOCK	nonconstant global clock with twist disabled	global off-shell control	W06_TWIST_FREE_NONCONSTANT_CLOCK	CONCRETE_GLOBAL_CLOCK_ONLY_CONTROL
R23	GENERAL_SCREEN_S3_REGULAR_FAMILY	stationary block-screen R_x_S3 with arbitrary smooth invertible GL2 screen	global regular off-shell configurations	general-screen-W00-W07;A00-A06;A08-A10	CONCRETE_GLOBAL_OFFSHELL_FAMILY
R24	TORIC_DUAL_SYSTOLE_SET_VALUED_FAMILY	toric shortest-line chambers with tie walls	global set-valued toric projector family	projector-B08-B09	GLOBAL_SET_VALUED_PROJECTOR_FAMILY__COMPLETE_PAIR_ARROW_UNSUPPLIED
