claim_id	claim	status	exact_scope	remaining_open
S01	24 stable branch identities and 57 source aliases are classified	OBSERVED_COMPLETE_FROZEN_UNIVERSE	registered source packages P01-P14 plus current premise controls	future complete metrics or branches
S02	W01 twisted reciprocal S3 owns a path-labelled geometric groupoid	DERIVED_CONDITIONAL_ON_NAMED_COMPLETE_OFFSHELL_FAMILY	global intrinsic projector plus supplied metric connection	physical non-isometric comparison arrow and scalar reduction
S03	general-screen S3 owns a complete-coframe path-labelled geometric groupoid	DERIVED_CONDITIONAL_ON_NAMED_COMPLETE_OFFSHELL_FAMILY	smooth detP-nonzero global configurations	physical screen selection and calibration arrow
S04	W02 static generic-lapse S3 owns a common endpoint clock-calibration relation	DERIVED_CONDITIONAL_CLOCK_SUBFAMILY	unique global timelike Killing line and norm ratio	global ruler pair surface TL=1 and physical pair functor
S05	toric dual-systole chambers and ties own a stratified set-valued projector family	DERIVED_CONDITIONAL_PROJECTOR_STRUCTURE	registered global toric set and tie walls	complete calibrated observer arrow and scalar depth
S06	FC04 is a stratified aggregate of member relation outcomes	OBSERVED_CLASS_AGGREGATE	registered S3 completion members only	selection of a member or physical family
S07	nine completion schemas lack enough typed metric and overlap evidence	OPEN_INSUFFICIENT_TYPED_EVIDENCE	R01-R03 R05 R07-R11	actual complete metrics transitions and branches
S08	four declared entries do not supply a complete relation family	DERIVED_OR_OBSERVED_IN_DECLARED_SCOPE	R06 R15 R16 R21	other regular completions or continuation laws
S09	FC12 requires current-premise rederivation	HISTORICAL_PREMISES_CHANGED_REVIEW_REQUIRED	complete phi+orchestra and endpoint completion missing	current complete representative and joins
S10	physical global observer-pair relation family	OPEN	all classified branches	owned enriched query functor non-isometric arrow and middle carry
S11	universal scalar reciprocal reduction and mixed c_eff law	OPEN	terminal evaluator remains conditional on supplied calibrated pair metric	physical scalar character loop periods and calibration owner
S12	action source carrier matter boundary bootstrap Xmax value CMB spectrum	OPEN_NOT_TESTED	outside this audit	all physical dynamics and observations
