package_id	path	preregistered_role
P01	udt_global_metric_assembly_atlas_2026-07-22	parent global completion and transport atlas
P02	udt_complete_branch_founded_pair_pullback_audit_2026-07-26	complete-branch founded-pair pullback map
P03	udt_complete_nonultrastatic_reciprocal_branch_audit_2026-07-27	nonultrastatic complete reciprocal strata
P04	udt_complete_screen_response_branch_atlas_2026-07-28	complete screen-response branch atlas
P05	udt_general_screen_complete_cell_atlas_2026-07-28	general-screen complete-cell atlas
P06	udt_completion_parameterized_local_fiber_audit_2026-08-01	completion-parameterized local fibers
P07	udt_branchwise_projector_holonomy_census_2026-08-01	branchwise projector and holonomy census
P08	udt_global_phi_ownership_overlap_audit_2026-08-05	global overlap and pointwise-phi ownership correction
P09	udt_complete_pair_phi_orchestra_audit_2026-08-05	complete pair angular-mixing structure
P10	udt_reciprocal_calibration_state_solder_audit_2026-08-09	calibration-state local and global ownership limits
P11	udt_terminal_reciprocal_ce_positional_derivation_2026-08-09	terminal complete pair-metric readout
P12	udt_calibrated_pair_map_owner_atlas_2026-08-09	pair-map family ownership atlas
P13	udt_founding_pair_relation_functor_ownership_audit_2026-08-09	founding query and relation ownership
P14	udt_three_observer_overlap_calibration_carry_audit_2026-08-10	three-observer composition and obstruction typing
P15	CURRENT_SCIENTIFIC_PREMISES.tsv	current premise precedence registry
P16	CURRENT_RESEARCH_PROGRAM.md	current dependency and active-scope control
