family_id	family	geometry_or_cycles	foundation_compatibility	within_toric_status	selection_effect	limitation
F01	FINITE_TORUS_CYLINDER	finite interval times T2 with positive orbit block and unspecified endpoint boundary	NOT_EXCLUDED	OPEN_BOUNDARY_FAMILY	defeats forced-cap inference	not a completed boundary theory
F02	PERIODIC_NO_CAP_T3	phi=sin(sigma) on S1 times T2 with reciprocal orbit block and exchange mirror	CONDITIONAL_DOUBLE_COVER_LOCAL_PARITY_WITNESS_ONLY	EXACT_KINEMATIC_MIRROR_WITNESS	shows phi parity plus angular exchange does not algebraically require a cap	boundaryless global circle and nonmonotone phi do not directly satisfy the full physical finite-cell reading
F03	SAME_CYCLE_TWO_CAP	v_minus=(1,1), v_plus=(1,1), p=0	NOT_EXCLUDED	SMOOTH_TORIC_DET_ZERO_CLASS	defeats mirror alone implies determinant one	requires unselected general cap metric
F04	AXIS_EXCHANGE_S3	v_minus=(1,0), v_plus=(0,1), p=1	NOT_SELECTED	UNIQUE_IF_GLOBAL_DIAGONAL_EIGENCAPS_SUPPLIED	gives conditional S3 theorem	spatial torus and caps are open
F05	MIRROR_LENS_P3	v_minus=(2,1), v_plus=(1,2), p=3	NOT_EXCLUDED	SMOOTH_PRIMITIVE_LENS_CLASS	countermodel to mirror selecting S3	requires off-diagonal or multi-chart cap completion
F06	MIRROR_LENS_P5	v_minus=(3,2), v_plus=(2,3), p=5	NOT_EXCLUDED	SMOOTH_PRIMITIVE_LENS_CLASS	second independent determinant countermodel	requires off-diagonal or multi-chart cap completion
F07	NONPRIMITIVE_CAP_ORBIFOLD	one collapse vector has gcd greater than one	REGULARITY_DISFAVORED	ORBIFOLD_OR_INEFFECTIVE	primitive smoothness excludes only if smooth-manifold premise supplied	foundation does not state manifold versus orbifold completion
F08	ROUND_S3	H=1, F=cos(eta), G=sin(eta)	CONDITIONALLY_ALLOWED	EXACT_WITNESS	reconstructs prior round formula	not unique
F09	NONROUND_MIRROR_S3	H=1+(1/3)sin(2eta)^2 with same F and G	CONDITIONALLY_ALLOWED	EXACT_NONCONFORMAL_WITNESS	defeats round uniqueness while preserving orbit block and cap jets	no field equation ranks radial profile
F10	FREE_DIAGONAL_ACTION	weights (1,1) or (-1,-1)	CONDITIONALLY_ALLOWED	FREE_SMOOTH_Q_PLUS_ONE	canonical positive-orientation unit class	quotient demand not selected
F11	FREE_ANTIDIAGONAL_ACTION	weights (1,-1) or (-1,1)	CONDITIONALLY_ALLOWED	FREE_SMOOTH_Q_MINUS_ONE	canonical negative-orientation unit class	chirality not selected
F12	WEIGHTED_EXCEPTIONAL_ACTION	primitive weights such as (1,2), (2,1), or (2,3)	NOT_EXCLUDED_UNLESS_FREE_QUOTIENT_REQUIRED	ORBIFOLD_QUOTIENT_WITH_EXCEPTIONAL_STABILIZER	shows primitive/effective is weaker than free	cannot supply an ordinary principal S2 bundle
F13	GENERIC_LENS_PQ	all primitive two-cap pairs with p=abs(det)>1 and admissible gluing q	NOT_EXCLUDED	GENERAL_SMOOTH_LENS_FAMILY	prevents p=3 and p=5 examples from masquerading as complete p-greater-than-one coverage	requires off-diagonal or multi-chart cap completion and q is not selected
F14	INCOMPLETE_OR_NONCOMPACT_END	one or both torus ends remain noncompact incomplete or at infinite proper distance without smooth collapse	NOT_EXCLUDED_BY_LOCAL_KINEMATICS	OPEN_GLOBAL_COMPLETION_FAMILY	prevents compact smooth caps from being assumed by convenience	physical completeness may later reject subclasses only through a derived global or boundary rule
F15	ZERO_WEIGHT_FIXED_CIRCLE_ACTION	weights (0,1) or (1,0)	NOT_EXCLUDED_UNLESS_FREE_QUOTIENT_REQUIRED	EFFECTIVE_ACTION_WITH_FIXED_CIRCLE_FULL_U1_STABILIZER	completes the weighted-action census beyond finite exceptional stabilizers	cannot supply a free principal S2 quotient
