path	sha256	size_bytes	version_note
.claude/skills/completeness-map/SKILL.md	a8cf9e5f4a6d35a0d0ebfe4bc48dbf328ca74e318f020a6a22cb683666a611c0	2490	local bytes at source-first seal; reading scope recorded in requirements
.claude/skills/no-shortcuts/SKILL.md	fd3a1f3218481134f2af829d3ae4175ac53518f75bf9673287efbfb7d7708fc1	2966	local bytes at source-first seal; reading scope recorded in requirements
.claude/skills/verifier-before-record/SKILL.md	9b3a4aacd4b4006b2b7f01edada73b7c87b99bea6e754583558713bfc145e5ac	3545	local bytes at source-first seal; reading scope recorded in requirements
AGENTS.md	e53221344ab5aaf687cfc9b48a94c94b476fa4ad34b8964995601a77a5239970	15205	local bytes at source-first seal; reading scope recorded in requirements
CLAUDE.md	b7e524a5b06760e57877a408630228767ae9a394134095f9851bef5d06e17751	9879	local bytes at source-first seal; reading scope recorded in requirements
CROSS_MODEL_VERIFY.md	2b0509d933d731fbf3f72aa88777a54d3e48a94d4bae3d324087871777f9a007	2632	local bytes at source-first seal; reading scope recorded in requirements
CURRENT_RESEARCH_PROGRAM.md	1f1eb9a5081d401a6add009a82cb394880f2bfc8c19b327abc1c217cc1e1f9fc	19633	local bytes at source-first seal; reading scope recorded in requirements
CURRENT_SCIENTIFIC_PREMISES.md	80ab03dbead4064b2b9cfa9d4358bc68a7ff902337a09f25f065d501512b44aa	14327	local bytes at source-first seal; reading scope recorded in requirements
CURRENT_SCIENTIFIC_PREMISES.tsv	2bb885062dce0f47f7ea37562aee882d5d5d41f25cb539e9dd37755bbe722b63	771038	local bytes at source-first seal; reading scope recorded in requirements
HANDOFF.md	ba5ffae372afe6c95caac348362414d4f80826624bd6b261c554487ea0a3a70f	15391	local bytes at source-first seal; reading scope recorded in requirements
INDEX.md	0f80e682b959d9273feff2411f5c539755cf0f5552c61ebd9eeaafa6e1ee7de5	9183	local bytes at source-first seal; reading scope recorded in requirements
LIVE.md	ee43b34cc838b80092f425ea5af2bd7b8a8a0c2496ac44fc0fa4423400ae0ba2	17864	local bytes at source-first seal; reading scope recorded in requirements
MEMORY.md	ad2667c984bd8726ed142d23b484f83e231b6701206784951e00910836321a82	5992	local bytes at source-first seal; reading scope recorded in requirements
native_hopfion_topology_audit_2026-07-19/AUDIT_REPORT.md	df0171eb83d75ad175727a8db541df8500b7826edf6059ae63a52f1a1ba15bea	10290	local bytes at source-first seal; reading scope recorded in requirements
native_hopfion_topology_audit_2026-07-19/EXTERNAL_ADVERSARIAL_REVIEW.md	9f86c98339d4578718b68570a019f96210adf43fda84e912184d2f7a185ad688	3298	local bytes at source-first seal; reading scope recorded in requirements
native_hopfion_topology_audit_2026-07-19/SOURCE_INVENTORY.tsv	8334167dd7187ac05ae4a19de5d923f8eddbb361db206ea058597f1ac9983342	6739	local bytes at source-first seal; reading scope recorded in requirements
native_hopfion_topology_audit_2026-07-19/TOPOLOGY_STATUS_LEDGER.tsv	de154fbb7787759864786c04186a26a4605c447d362112bb482acee064d457e4	4226	local bytes at source-first seal; reading scope recorded in requirements
stability_branch_follow_256_DECISION.md	9806bc8f61b94109080699f00d8a758f1afc935db18a11f07dbe7365a61811d5	22662	local bytes at source-first seal; reading scope recorded in requirements
startup_surface_g310_universal_reciprocity_refresh_2026-08-31/ADOPTION_RECORD.md	4eb7d0a1130dcff997bc5180f420b633e2dcbbb5072d098997ba3672b38d8ab5	2114	local bytes at source-first seal; reading scope recorded in requirements
startup_surface_g312_two_premise_adoption_refresh_2026-09-01/ADOPTION_RECORD.md	ebeae075307e7a325a840f4c2d9dcd973c18d9a3be21e6e6eccacce1ae8856f1	3061	local bytes at source-first seal; reading scope recorded in requirements
udt_g143_single_pair_domain_carry_ownership_2026-08-17/AUDIT_REPORT.md	e89a2d283ccf5685cbef8a20ad03c9855586c54d8f3c1717b2fd31b26db65d30	1763	local bytes at source-first seal; reading scope recorded in requirements
udt_g166_primary_metric_ordered_pair_kernel_descent_2026-08-18/AUDIT_REPORT.md	3b7bef3e8027eb95dd9070cf8844bfbbba602d4a7ce30c1772bbc540f9e97bd7	5664	local bytes at source-first seal; reading scope recorded in requirements
