item	status	role	forbidden_promotion
reciprocal_character	DERIVED_ON_SUPPLIED_ORDERED_DEPTH	founded algebraic relation	ambient metric evolution
complete_metric_history	SUPPLIED_IN_CURRENT_CORPUS	object audited for possible lost selector	already selected history
completed_pair_dual_reciprocity	WORKING_FOUNDATIONAL_CLARIFICATION	post_pullback ruler calibration	canon or ambient field equation
complete_pair_pullback	DERIVED_CONDITIONAL	evaluates supplied metric and pair germ	history generator
levi_civita_cartan_bianchi	DERIVED_IDENTITIES_AND_EVALUATORS	geometry and realization compatibility	dynamics without nonidentity condition
null_jacobi_phase	DERIVED_CONDITIONAL	propagation on supplied metric branch	metric history equation
matched_relation_network	DERIVED_CONDITIONAL_RECONSTRUCTION	may reconstruct supplied metric values	selects or generates values
regularity_completeness	CONDITIONAL_FILTERS	exclude singular domains within stated families	unique history law
observational_anchors	CLOSED_FOR_G255	none	loss or unrestricted function reconstruction
X_max	CLOSED_FOR_G255	none	local kernel or boundary input
action_source_matter_bootstrap	CLOSED_FOR_G255	none	imported closure
protected_packages	CLOSED_FOR_G255	none	evidence or candidate source
g254_counterfamily	FREE_AND_EXPLORED	nonselection separator	physical universe
g165_g254_reports_and_derivations	FROZEN_SOURCE_UNIVERSE	lost_closure ownership census	global no_go beyond sources
