slot	report	report_sha256	landing_heading	landing_extract	ceiling_extracts
G165	udt_g165_conformal_fiber_rank_audit_2026-08-18/AUDIT_REPORT.md	cc46b8e858cd3916652bed003724274b7b8888e4507488699d539834d1d431ee	Primary landing	```text\nNO_OWNED_NONIDENTITY_CONDITION__\nCURRENT_NORMALIZED_CAUSAL_ANCHOR_MAP_HAS_FUNCTIONAL_CONFORMAL_KERNEL__\nFULL_VALUED_NETWORK_CLOSES_SCALE_ONLY_BY_SUPPLIED_RECONSTRUCTION__\nFINITE_ANCHORS_CANNOT_PROPAGATE_COMMON_SCALE_IN_THE_FROZEN_REGULAR_ARENA__\nCONVENTIONAL_EVOLUTION_NOT_REQUIRED_BUT_SOME_NATIVE_NONIDENTITY_RESTRICTION_IS__\nPHYSICAL_GLOBAL_SCALE_CARRY_FINITE_MODULI_AND_COMPLETION_REMAIN_OPEN\n```	[Honest ceiling]\nThis is a source-bounded rank and ownership result on the regular arena. It does not prove that no\nnative UDT scale restriction exists, make common scale gauge, select a physical metric/query,\nderive an action/source/bootstrap law, determine proper distance or `X_max`, establish global\ncompletion, or infer observational physics.\n\nThe smallest constructive open route is now explicit: determine whether the metric naturally owns\na physical global relative-scale carry or another nonidentity global restriction. Do not repeat a\ncompatibility-identity census or fit a scale profile.
G166	udt_g166_primary_metric_ordered_pair_kernel_descent_2026-08-18/AUDIT_REPORT.md	3b7bef3e8027eb95dd9070cf8844bfbbba602d4a7ce30c1772bbc540f9e97bd7	Primary landing	```text\nPRIMARY_UDT_ORDERED_PAIR_KERNEL_DESCENDS_ALGEBRAICALLY\n__NO_FIXED_PATH_OR_POST_METRIC_RESPONSE_PROFILE\n__ARBITRARY_CONFORMAL_FAMILY_IS_A_BROADER_ENVELOPE_CONTROL\n__GENERAL_3PLUS1_NONSHPERICAL_MIXING_TIMELIVE_ASSEMBLY_REMAINS_CONDITIONAL\n```	[What remains open]\n1. The native general `3+1` assembly rule joining the founded reciprocal block to nonspherical,\n   screen, mixing, shift, and time-live sectors.\n2. The values of the resulting relational depth field across physical observer pairs and regimes.\n3. Global calibration carry, singular/null strata, topology, and completion.\n4. A dimensionful separation and numerical `X_max`, which remains downstream.\n5. Action, source, bootstrap, matter, mass, radiative transfer, and observations.\n\nThe conditional pair `c_eff/c_E=T/L` is an inter-observer geometric calibration readout, not a\nlocal material signal speed.\n\n[Maximum conclusion]\nThe founded UDT ordered-pair metric algebraically owns its reciprocal kernel. The recent\nmetric-selection language arose from treating a conditional general-metric parameterization as if\nit were the physical UDT solution space. The next derivation is the native complete `3+1` metric\nassembly from the primary reciprocal structure, not a selector over arbitrary metrics and not a\nkernel applied to a pre-existing path.
G167	udt_g167_primary_metric_full_pair_pullback_orchestra_2026-08-18/AUDIT_REPORT.md	c1a1f722e393e431b1b0805a7e2d5ad8e27813c48db989f824b76898bc499593	Primary landing	```text\nPRIMARY_STATIC_SPHERICAL_UDT_METRIC_OWNS_FULL_GENERAL_PAIR_PULLBACK_ORCHESTRA\n__GENERAL_AMBIENT_EXTENSION_OPEN\n```	[Exact boundary]\nThe simplification is not universal closure.\n\n- A central radial pair has `Z=0`; its scalar kernel reduces exactly to the founded reciprocal\n  block. Its angular response remains in the separate screen/Jacobi channel.\n- Nonradial or rotating pair realizations can feed angular geometry directly into the scalar pair\n  metric.\n- Query-live variation through a static metric is derived; an ambient time-dependent field law is\n  not.\n- Connection, normal transport, Jacobi, and holonomy outputs remain separately typed and are not\n  reconstructed from the terminal pair metric alone.\n- `beta_pair` depends on the supplied calibrated pair chart; it is not promoted to an invariant\n  ambient shift field.\n- A genuinely nonspherical or ambient-mixed UDT metric remains outside this declared slice.\n- The metric does not select an event/calibration realization from two bare observer names.\n\n[Maximum conclusion]\nThe declared primary UDT metric already contains a complete local pair orchestra: the screen is\nmetric-fixed and the pair's angular participation is fixed by its supplied tangent geometry before\nthe reciprocal kernel is read. The remaining assembly gap is narrower: physical pair realization,\nglobal carry, and any truly nonspherical or ambient-time-dependent extension. No dynamics,\nobservation, or complete-universe claim follows.
G168	udt_g168_ordered_copresent_pair_plane_ownership_2026-08-18/AUDIT_REPORT.md	24712719136b000e64367b6ebd234a2ef8d5b5f07ab493cfc4ea54e73b483ed9	Primary landing	```text\nSUPPLIED_ORDERED_COPRESENT_PAIR_GERM_DERIVES_LOCAL_CALIBRATED_PAIR_PLANE\n__NO_PATH_REQUIRED\n__PHYSICAL_GERM_OWNERSHIP_IS_ADDITIONAL_WORKING_POSTULATE\n```	[The important caveat]\nTwo observer names do not supply the germ. An exact flat counterfamily has the same two boundary\nworldlines and the same event pairing but different regular surface tangents—and hence different\nlocal pair planes. The result therefore does not derive an event-pairing or global realization\nlaw.\n\nThis is a conditional local closure:\n\n- a supplied pair germ gives the metric its two local arguments;\n- the **metric** derives its ruler, pair plane, screen, and pullback;\n- the reciprocal kernel reads the completed pullback.\n\nThe first external reviewer correctly required an ownership regrade: saying that every physical\ncompleted relation supplies this one-jet is an additional working postulate, not something the\ncurrent founding record derives. The remaining questions therefore include both physical germ\nownership and the global coexistence/carry of those germs.\n\n[Maximum conclusion]\nWithin the regular local primary-metric arena, a **supplied** ordered co-present pair germ uniquely\nderives the pair plane needed by G167 without a path. Bare labels remain insufficient, and physical\nownership of the germ is an additional working postulate. No global relation family, history,\nprofile, `X_max`, dynamics, observation, or general ambient completion is derived.
G169	udt_g169_bidirectional_copresent_metric_distance_2026-08-18/AUDIT_REPORT.md	b31c31b2561c7d34fddee78218b4af823a69497978509841acbeab4df0d35ddd	Primary landing	```text\nCONDITIONAL_REVERSAL_QUOTIENT_ON_SUPPLIED_TWO_ENDED_RELATION\n__NOT_YET_PHYSICAL_UDT_DISTANCE\n__PURE_RECIPROCAL_SCALAR_REVERSAL_DERIVED\n__MATCHED_CHAIN_COMPOSITION_DERIVED\n__ARBITRARY_TRIANGLE_ADDITIVITY_NOT_REQUIRED_OR_DERIVED\n__PHYSICAL_TWO_ENDED_GERM_AND_CARRY_OWNERSHIP_OPEN\n```	[Maximum conclusion]\nIn the bounded regular primary-metric arena, reversal defines a gauge-compatible quotient **when a\ntwo-ended reciprocal relation is supplied**. Current premises derive pure reciprocal reversal and\nmatched composition, but they do not derive the supplied two-ended relation and therefore do not\nyet derive a physical UDT distance. They also do not derive the carry, coincidence completion, a\nscalar metric distance, general ambient completion, `X_max`, dynamics, or observations.
G170	udt_g170_endpoint_relative_bidirectional_pair_response_2026-08-19/AUDIT_REPORT.md	5eec3eec5ee17825628176f4e8346e5542a3c883374f2745a32fed937b71294e	Primary landing after fresh review	```text\nENDPOINT_RELATIVE_REPAIR_VALID_BUT_CALIBRATION_CARRY_STILL_LOAD_BEARING\n```	[Maximum conclusion]\nThe primary reciprocal scalar no longer has an inverse-ownership gap once it is computed as the\nalready-derived difference of two endpoint densities in one consistently calibrated pair\ncalculation. Cross-query reciprocal calibration and the full non-scalar carry remain load-bearing\nopen structures. The result is `VERIFIED_WITH_CAVEATS`: the endpoint-relative theorem and its\nmechanical evidence are closed in the stated bounded arena, while cross-query reciprocal\ncalibration and full non-scalar carry remain open.
G171	udt_g171_primary_metric_multi_pair_response_2026-08-19/AUDIT_REPORT.md	13cc3465ba8d6e2a7ddf399237a3a7037bbe2cfec54a88256bf24dd5157dfa9b	Primary landing	```text\nPRIMARY_METRIC_PAIR_GERM_RELATIVE_NETWORK\n__EACH_ORDERED_PAIR_RESPONSE_NATIVE_FROM_ITS_COMPLETE_PULLBACK\n__SAME_PAIR_REVERSAL_AUTOMATIC\n__SHARED_OBSERVER_DOES_NOT_FORCE_PAIR_INDEPENDENT_ENDPOINT_DENSITY\n__GENERAL_TRIANGLE_ADDITIVITY_NOT_DERIVED_OR_REQUIRED\n__MATCHED_ENDPOINT_READOUT_SUBFAMILY_TELESCOPES\n__NO_SCAFFOLDED_CARRY_KERNEL\n```	[Exact boundary]\nDerived in the bounded local regular arena:\n\n- one metric-native scalar response per supplied completed pair;\n- exact reversal on the same pair;\n- exact general three-pair defect identity;\n- exact matched-endpoint subfamily for telescoping;\n- pair-germ dependence of an endpoint density, with angular Gram upstream;\n- invariance under one shared calibrated upper-triangular rechart of a pair.\n\nNot derived:\n\n- which pair germs Nature realizes or whether an arbitrary local germ network extends globally;\n- a positive metric-space distance or arbitrary triangle inequality/additivity;\n- equivalence of separately rebuilt reverse experiments;\n- non-scalar screen, connection, orientation, or holonomy response;\n- nonspherical/time-dependent/micro extension, singular strata, completion, `X_max`, action,\n  source, matter, bootstrap, observations, or signalling.\n\n[Maximum conclusion]\nThe native primary-metric network is pair-relative. It does not require one scalar state per\nobserver or a scaffolded carry law. A shared observer becomes a common scalar junction only on the\nmatched-germ/readout subfamily. This local regular scalar theorem is now\n`VERIFIED_WITH_CAVEATS`; physical pair-germ realization, global extension, non-scalar transport,\nsingular strata, and downstream physics remain open.
G172	udt_g172_primary_metric_smooth_pair_family_integrability_2026-08-19/AUDIT_REPORT.md	3468fb99a5da7a142d4f7f167c7d5ba3b76a138475cb514f5ef2fc48a93f0842	Primary landing	`SMOOTH_FAMILY_CLOSURE`\n\nThe G171 metric-native local pair response extends exactly across the full preregistered class of\nsmooth, static, time-orthogonal, monotone-areal pair families. The complete angular dependence is\nretained upstream through the invariant speed \(a^2(r)\); no angular coefficient or profile is\nselected.\n\nThe exact response is\n\n\[\n\Phi(r)=\phi(r)+\frac14\log\!\left(1+r^2e^{-2\phi(r)}a^2(r)\right),\n\]\n\nwith\n\n\[\n\frac{c_{\mathrm{eff}}^{(\mathrm{pair})}}{c_E}=e^{-2\Phi}.\n\]\n\nFor every member of the bounded class, \(\det h=-[1+r^2e^{-2\phi}a^2]<0\), the explicit pair\nimmersion exists, the corresponding static distribution has zero Frobenius bracket, and endpoint\nreversal and telescoping hold inside the same family.	[Maximum conclusion]\nG172 derives smooth scalar-family closure only for the preregistered static, time-orthogonal,\nmonotone-areal class inside the supplied primary static-spherical metric. It does not select a\nphysical angular family, prove global completion, derive positive metric-space distance, or close\nnon-scalar screen/mixing/holonomy channels. No `X_max`, fit, matter, source, action, bootstrap,\nco-presence, or scaffolded G142--G160 kernel enters the result.\n\nExternal review adds one precision guard: the theorem begins with a supplied smooth sphere curve\n`gamma(r)` and uses its induced `a2(r)`; it is not a separate converse realization theorem for every\nformal nonnegative `a2`. Banked grade: `VERIFIED_WITH_CAVEATS` in the stated bounded class.
G173	udt_g173_primary_metric_turning_chart_calibration_atlas_2026-08-19/AUDIT_REPORT.md	cbe16290ecefa3a5dea349fc5cabdfc1dcc328157416aaae2155f4178cdcf9b7	Primary landing	`PULLBACK_EXTENDS__CALIBRATION_ATLAS_NONUNIQUE`\n\nThe declared primary metric gives a unique smooth pair tensor through a radial turn whenever the\nangular tangent remains nonzero. The G172 areal-radius scalar does not extend as the same finite\ncalibration because its density `abs(dr/dsigma)` vanishes. A scalar chart can be restored by a\npositive weight-one calibration density, but current premises do not select one uniquely.\n\nTwo metric-built witnesses,\n\n\[\nm_A^2=v^2+r^2b^2,\n\qquad\nm_P^2=v^2+e^{-2\phi}r^2b^2,\n\]\n\nboth transform lawfully, remain positive at a genuine turn, and recover the G172 radial answer\nwhen `b=0`. At `v=0,b>0`, however, they give `Phi_A=phi/2` and `Phi_P=phi`. This proves bounded\ncalibration nonuniqueness without choosing a physical ruler.	[Maximum conclusion]\nG173 derives a bounded local calibration atlas for supplied smooth static, time-orthogonal,\nnon-areal pair families with `r>0`. It does not establish that physical UDT has multiple rulers,\nselect a calibration or pair family, prove a positive/global distance, cover time-live or\nnonspherical metrics, close non-scalar transport, or derive `X_max`, observations, action, source,\nmatter, bootstrap, signalling, or canon.\n\nGrade: `VERIFIED_WITH_CAVEATS` under the stated bounded scope.
G174	udt_g174_native_calibrated_pair_germ_chart_ownership_2026-08-19/AUDIT_REPORT.md	d29c553bf0a59af83999c21d140e7a7358d89f352c23073ea4bcdb52a0dd25bc	Primary landing	`CALIBRATED_GERM_OWNS_UNIQUE_SCALAR__UNCALIBRATED_LINE_RETAINS_ATLAS`\n\nThe apparent G173 scalar ambiguity was one level upstream from the kernel. In an arbitrary curve\nparameter \(\sigma\), the positive density \(m\) is exactly the Jacobian to the calibrated ruler\ncoordinate, \(ds=m\,d\sigma\). Supplying the calibrated ruler vector fixes that Jacobian uniquely.\nThe terminal reciprocal scalar is then the unique readout of the one calibrated pair metric.\n\nG173's `m_A` and `m_P` remain lawful candidate calibrations, but when they differ they define\ndifferent calibrated ruler vectors. They do not give two answers for the same complete pair germ.\nNo candidate is selected.	[Maximum conclusion]\nG174 closes the local **readout type**: one supplied fully calibrated pair germ has one terminal\nreciprocal scalar. It does not derive which germ/calibration is physically realized, how separate\npair tapes carry calibration, a path, a global network, time-live/nonspherical completion,\n`X_max`, observations, action, source, matter, bootstrap, signalling, or canon.\n\nCurrent grade: `VERIFIED_WITH_CAVEATS` for the bounded local typing theorem.
