slot	directory	primary_report	exact_derivation	registry_row	registry_term	current_controlling_source	historical_report_is_current_controller
G165	udt_g165_conformal_fiber_rank_audit_2026-08-18	udt_g165_conformal_fiber_rank_audit_2026-08-18/AUDIT_REPORT.md	udt_g165_conformal_fiber_rank_audit_2026-08-18/EXACT_DERIVATION.md	PRESENT	conformal_fiber_rank_and_anchor_sufficiency	udt_g165_conformal_fiber_rank_audit_2026-08-18/AUDIT_REPORT.md	true
G166	udt_g166_primary_metric_ordered_pair_kernel_descent_2026-08-18	udt_g166_primary_metric_ordered_pair_kernel_descent_2026-08-18/AUDIT_REPORT.md	udt_g166_primary_metric_ordered_pair_kernel_descent_2026-08-18/EXACT_DERIVATION.md	PRESENT	primary_metric_ordered_pair_kernel_descent	udt_g166_primary_metric_ordered_pair_kernel_descent_2026-08-18/AUDIT_REPORT.md	true
G167	udt_g167_primary_metric_full_pair_pullback_orchestra_2026-08-18	udt_g167_primary_metric_full_pair_pullback_orchestra_2026-08-18/AUDIT_REPORT.md	udt_g167_primary_metric_full_pair_pullback_orchestra_2026-08-18/EXACT_DERIVATION.md	PRESENT	primary_metric_full_pair_pullback_orchestra	udt_g167_primary_metric_full_pair_pullback_orchestra_2026-08-18/AUDIT_REPORT.md	true
G168	udt_g168_ordered_copresent_pair_plane_ownership_2026-08-18	udt_g168_ordered_copresent_pair_plane_ownership_2026-08-18/AUDIT_REPORT.md	udt_g168_ordered_copresent_pair_plane_ownership_2026-08-18/EXACT_DERIVATION.md	PRESENT	ordered_copresent_pair_germ_local_plane_ownership	udt_g168_ordered_copresent_pair_plane_ownership_2026-08-18/AUDIT_REPORT.md	true
G169	udt_g169_bidirectional_copresent_metric_distance_2026-08-18	udt_g169_bidirectional_copresent_metric_distance_2026-08-18/AUDIT_REPORT.md	udt_g169_bidirectional_copresent_metric_distance_2026-08-18/EXACT_DERIVATION.md	PRESENT	bidirectional_copresent_relation_reversal_quotient	udt_g169_bidirectional_copresent_metric_distance_2026-08-18/AUDIT_REPORT.md	true
G170	udt_g170_endpoint_relative_bidirectional_pair_response_2026-08-19	udt_g170_endpoint_relative_bidirectional_pair_response_2026-08-19/AUDIT_REPORT.md	udt_g170_endpoint_relative_bidirectional_pair_response_2026-08-19/EXACT_DERIVATION.md	PRESENT	endpoint_relative_bidirectional_reciprocal_response	udt_g170_endpoint_relative_bidirectional_pair_response_2026-08-19/AUDIT_REPORT.md	true
G171	udt_g171_primary_metric_multi_pair_response_2026-08-19	udt_g171_primary_metric_multi_pair_response_2026-08-19/AUDIT_REPORT.md	udt_g171_primary_metric_multi_pair_response_2026-08-19/EXACT_DERIVATION.md	PRESENT	primary_metric_pair_germ_relative_scalar_network	udt_g215_completed_scalar_shared_clock_incidence_descent_2026-08-22/AUDIT_REPORT.md	false
G172	udt_g172_primary_metric_smooth_pair_family_integrability_2026-08-19	udt_g172_primary_metric_smooth_pair_family_integrability_2026-08-19/AUDIT_REPORT.md	udt_g172_primary_metric_smooth_pair_family_integrability_2026-08-19/EXACT_DERIVATION.md	PRESENT	primary_metric_smooth_pair_family_integrability	udt_g172_primary_metric_smooth_pair_family_integrability_2026-08-19/AUDIT_REPORT.md	true
G173	udt_g173_primary_metric_turning_chart_calibration_atlas_2026-08-19	udt_g173_primary_metric_turning_chart_calibration_atlas_2026-08-19/AUDIT_REPORT.md	udt_g173_primary_metric_turning_chart_calibration_atlas_2026-08-19/EXACT_DERIVATION.md	PRESENT	primary_metric_turning_chart_calibration_atlas	udt_g173_primary_metric_turning_chart_calibration_atlas_2026-08-19/AUDIT_REPORT.md	true
G174	udt_g174_native_calibrated_pair_germ_chart_ownership_2026-08-19	udt_g174_native_calibrated_pair_germ_chart_ownership_2026-08-19/AUDIT_REPORT.md	udt_g174_native_calibrated_pair_germ_chart_ownership_2026-08-19/EXACT_DERIVATION.md	PRESENT	native_calibrated_pair_germ_chart_ownership	udt_g174_native_calibrated_pair_germ_chart_ownership_2026-08-19/AUDIT_REPORT.md	true
