slot	primary_class	load_bearing_role	history_verdict	passes_owned_history_gate	g254_counterhistory_gate	decisive_report	decisive_report_sha256
G165	C11	ownership/rank no-owner audit	no owned nonidentity condition found	false	NOT_REJECTED	udt_g165_conformal_fiber_rank_audit_2026-08-18/AUDIT_REPORT.md	cc46b8e858cd3916652bed003724274b7b8888e4507488699d539834d1d431ee
G166	C01	founded ordered-pair reciprocal readout	derives response after depth; does not generate depth profile	false	NOT_REJECTED	udt_g166_primary_metric_ordered_pair_kernel_descent_2026-08-18/AUDIT_REPORT.md	3b7bef3e8027eb95dd9070cf8844bfbbba602d4a7ce30c1772bbc540f9e97bd7
G167	C03	full static-spherical pair pullback and terminal readout	evaluates supplied pair germ	false	NOT_REJECTED	udt_g167_primary_metric_full_pair_pullback_orchestra_2026-08-18/AUDIT_REPORT.md	c1a1f722e393e431b1b0805a7e2d5ad8e27813c48db989f824b76898bc499593
G168	C09	ordered pair-germ plane typing	physical germ remains supplied	false	NOT_REJECTED	udt_g168_ordered_copresent_pair_plane_ownership_2026-08-18/AUDIT_REPORT.md	24712719136b000e64367b6ebd234a2ef8d5b5f07ab493cfc4ea54e73b483ed9
G169	C04	reversal and matched-chain identities	identities do not populate relations	false	NOT_REJECTED	udt_g169_bidirectional_copresent_metric_distance_2026-08-18/AUDIT_REPORT.md	b31c31b2561c7d34fddee78218b4af823a69497978509841acbeab4df0d35ddd
G170	C09	endpoint-relative calibration scope	calibration carry remains supplied	false	NOT_REJECTED	udt_g170_endpoint_relative_bidirectional_pair_response_2026-08-19/AUDIT_REPORT.md	5eec3eec5ee17825628176f4e8346e5542a3c883374f2745a32fed937b71294e
G171	C03	multi-pair scalar readout	pair responses do not generate metric values	false	NOT_REJECTED	udt_g171_primary_metric_multi_pair_response_2026-08-19/AUDIT_REPORT.md	13cc3465ba8d6e2a7ddf399237a3a7037bbe2cfec54a88256bf24dd5157dfa9b
G172	C05	smooth static-family pair evaluator	arbitrary profile and angular tangent survive	false	NOT_REJECTED	udt_g172_primary_metric_smooth_pair_family_integrability_2026-08-19/AUDIT_REPORT.md	3468fb99a5da7a142d4f7f167c7d5ba3b76a138475cb514f5ef2fc48a93f0842
G173	C09	turning-chart calibration atlas	metric admits multiple candidate calibrations	false	NOT_REJECTED	udt_g173_primary_metric_turning_chart_calibration_atlas_2026-08-19/AUDIT_REPORT.md	cbe16290ecefa3a5dea349fc5cabdfc1dcc328157416aaae2155f4178cdcf9b7
G174	C09	calibrated-germ uniqueness	unique only after calibrated germ is supplied	false	NOT_REJECTED	udt_g174_native_calibrated_pair_germ_chart_ownership_2026-08-19/AUDIT_REPORT.md	d29c553bf0a59af83999c21d140e7a7358d89f352c23073ea4bcdb52a0dd25bc
G175	C09	relation-wide calibration carry	one complete pair map remains supplied	false	NOT_REJECTED	udt_g175_relation_wide_calibration_equivalence_audit_2026-08-19/AUDIT_REPORT.md	e31209f844a84d1cb06fc0953bc8f9f421b7d4e2d6bcb0c94298143f0954d5ce
G176	C02	completed-pair Dual Reciprocity premise	fixes ruler normalization on each supplied pullback; no ambient history cut	false	NOT_REJECTED	udt_g176_completed_pair_dual_reciprocity_consolidation_2026-08-19/AUDIT_REPORT.md	c7c96194a8baf3465b2d8c58ff19051ee2937b4b7f7a5d0e8859ad1a26651d84
G177	C11	scaffolding regression audit	confirms bounded dependency; no history law	false	NOT_REJECTED	udt_g177_completed_pair_kernel_scaffolding_regression_audit_2026-08-19/AUDIT_REPORT.md	1b7606e864157f4a0941b32b6d6f93528bcd4bc739ddc22db4d92d23b754fc09
G178	C11	fresh review of G176/G177	certification only	false	NOT_REJECTED	udt_g178_completed_pair_kernel_fresh_adversarial_review_2026-08-19/AUDIT_REPORT.md	df7db9300a350d5721874175b4d0f2eff60967d7588eb0f763f63fffa32d7744
G179	C03	arbitrary-coframe pullback/readout	evaluates every supplied regular metric and germ	false	NOT_REJECTED	udt_g179_complete_coframe_pair_pullback_extension_2026-08-19/AUDIT_REPORT.md	fe4d0aa56a734ca58972ea8123264efa6e0b979831f7f618eab8f69afa7ee2f2
G180	C03	smooth completed-tape descent	integrates supplied pair metric	false	NOT_REJECTED	udt_g180_completed_pair_smooth_family_descent_2026-08-19/AUDIT_REPORT.md	ec92df1229846fbe457f5a43f860c32228b429810b856caf7912b0143b34b36b
G181	C07	singular-endpoint/extension test	filters endpoint behavior; does not choose history	false	NOT_REJECTED	udt_g181_completed_pair_singular_endpoint_classification_2026-08-19/AUDIT_REPORT.md	2b53e7fcb85729444245f2a931d1a4ae740f816038498e73dcd6f20ab5a03d8d
G182	C07	two-sided metric and germ carry test	join conditions act on supplied branches	false	NOT_REJECTED	udt_g182_completed_pair_two_sided_carry_classification_2026-08-19/AUDIT_REPORT.md	8a7b1e61373bcbc38620cd311deb5a56a3bd4b2c4800b5f0b5c9af823d150edf
G183	C07	degenerate and multibranch strata	classifies domain; branch population remains open	false	NOT_REJECTED	udt_g183_pair_degenerate_multibranch_strata_classification_2026-08-19/AUDIT_REPORT.md	4100ffdaa074e60e0f002ecab58b780dd668b529a7c5dd2ebd5639e2b35147f5
G184	C06	typed realization equivalence quotient	identifies representations; does not select realization	false	NOT_REJECTED	udt_g184_regular_branch_equivalence_classification_2026-08-19/AUDIT_REPORT.md	fd1d0ed0d4b704a301ca752ac91d22d22ef4ff77c574cb05dba4d926e0160b84
G185	C10	conditional SNe replay	observational interface, not history generation	false	NOT_REJECTED	udt_g185_completed_pair_sne_channel_necessity_replay_2026-08-20/AUDIT_REPORT.md	8dc2c69f09ac01b241832e4c21c1bce44bd25b371d9071130ff5bc0e4355b29b
G186	C05	nonradial local pair/screen evaluator	metric-fixed output on supplied germ	false	NOT_REJECTED	udt_g186_nonradial_completed_pair_channel_resolution_2026-08-20/AUDIT_REPORT.md	ec46a6ca3f3a5ae2e9f609a70ed44bbbdc3a3bac7f3a471e3393c4eb97370fb9
G187	C05	finite Jacobi propagation	propagates supplied metric and null query	false	NOT_REJECTED	udt_g187_nonradial_finite_jacobi_screen_propagation_2026-08-20/AUDIT_REPORT.md	8ad483d2f1afa7738be546994535237c3d65ffb45adf9c749e092d51ae08e905
G188	C05	complete-coframe null Jacobi functor	evaluator for supplied history/query	false	NOT_REJECTED	udt_g188_complete_coframe_null_jacobi_extension_2026-08-20/AUDIT_REPORT.md	89040e228f68d3e6cd3b3c8dad33c9feadd41cff244451f1c582edac5606b381
