object	status	scope	evidence_or_caveat
regular_center_original_field	DERIVED	declared_stationary_equatorial_scalar_slice	exact_radial_flux_equation_and_no-log_center_branch
corrected_full_atlas	OBSERVED	462_frozen_rows_10080_positive_roots	independently_verified_exact_endpoint_numerics
D_N_interlacing	OBSERVED	630_background_channel_pairs	630_of_630_strictly_interlace
three_interleaved_angular_ladders	OBSERVED	m=-1,0,+1_first_eight_positive_roots	ordering_varies_across_frozen_background_freedom
same_index_physical_multiplet	OPEN	observational_mode_identification	not_derived_by_metric_or_probe
old_FD1_open_compatibility_window	WITHDRAWN	complete_frozen_FD1_census	zero_of_630_corrected_convention_rows_have_full_centered_containment
standalone_affine_shape_contacts	CONDITIONAL	attributed_two_parameter_Planck_position_readout	generic_comb_compatibility_not_prediction
mode_population_and_power_rule	OPEN	all_angular_and_radial_families	required_before_extra_lines_or_missing_lines_have_physical_force
FD2_profile_inversion	OPEN	profile_response_after_center_correction	not_restarted_no_replacement_seed_selected
CMB_source_heights_polarization	OPEN	physical_observable_model	outside_scalar_background_atlas
