task_id	prior_program	old_tendency	corrected_classification	new_priority	rationale	premise_status	controlling_source
R01	Complete coframe/configuration assembly	Treat individual atlases as separate hunts	METRIC_DERIVED_STRUCTURE	NOW	Assemble one factorized whole-spacetime object so all derived slots, gauges and global data are visible without expansion	No new physics premise	udt_founded_phi_complete_coframe_extension_audit_2026-07-25/AUDIT_REPORT.md
R02	Identity-versus-law separation	Ask each new geometric identity to select the universe	DYNAMICAL_CLOSURE_JOINT	NEXT	Kinematic postulates can define admissible geometry without selecting a unique solution; the absent law slots must be named explicitly	No action selected	udt_complete_coframe_native_selector_audit_2026-07-26/AUDIT_REPORT.md
R03	Local selector-rank searches	Continue searching registered local premises for a unique extension	DEFERRED_NONBLOCKING	PAUSED	The active registered premises already have zero selector rank on the seven extension directions; repetition is not a new test	Strong local CSN inactive	udt_complete_coframe_native_selector_audit_2026-07-26/STATUS_LEDGER.tsv
R04	Complete branch and transition atlas	Treat a single attractive branch as the desired universe	GLOBAL_COMPLETION_JOINT	NEXT	Constructive branch coverage and transition closure are needed before global claims, but no particle-like or cosmological branch is privileged	Boundary posture open	udt_global_metric_assembly_atlas_2026-07-22/AUDIT_REPORT.md
R05	Native response/global-local operation audit	Guess an action first or require action uniqueness immediately	DYNAMICAL_CLOSURE_JOINT	NEXT	Test only after the factorized configuration skeleton identifies covariant equation slots; inverse variational questions come later	Complete action open	udt_global_local_relational_closure_audit_2026-07-25/AUDIT_REPORT.md
R06	Time-live ODE/PDE exploration	Use a convenient conditional operator because time dependence is desirable	DEFERRED_NONBLOCKING	AFTER_LAW	Time-live work is meaningful only after evolved variables, native operator and boundary posture are defined	C2 and EH remain conditional	udt_time_live_characteristic_flux_audit_2026-07-21/AUDIT_REPORT.md
R07	Xmax derivation	Infer a number from c and G or identify local WR-L X with global Xmax	GLOBAL_COMPLETION_JOINT	AFTER_LAW	Xmax first needs a complete metric-derived observer-pair separation, domain and path-family rule	Xmax working schema only	udt_xmax_observer_separation_audit_2026-07-24/AUDIT_REPORT.md
R08	C08 Gröbner/ideal certificate	Treat computation time or completion as evidence about spacetime closure	CERTIFICATE_SIDE_LEMMA	PAUSED	The certificate concerns one bounded polynomial zero-set and is explicitly not a native dynamical or selection law	Reverse containment open	udt_kernel_plane_global_curvature_holonomy_atlas_2026-08-02/C08_HOMOGENEOUS_CERTIFICATE_RETURN_STATUS.md
R09	Defect-curvature and finite-loop expansion	Interpret more local texture as necessarily the missing law	DEFERRED_NONBLOCKING	PAUSED	The texture is genuine bounded geometry but does not by itself supply dynamics, source, selection or global closure	Bounded stationary atlas	udt_intrinsic_defect_transport_atlas_2026-08-02/AUDIT_REPORT.md
R10	Bootstrap density scan	Bracket density before native mass/return variables exist	WORKING_BOOTSTRAP_HYPOTHESIS	AFTER_LAW	A scan becomes type-correct only after a native global observable and return map are defined	Bootstrap remains WORKING	udt_metric_native_selector_rank_closure_audit_2026-07-27/AUDIT_REPORT.md
R11	Hopfion stability and mass emergence	Use conditional matter success to choose the spacetime law	CONDITIONAL_MATTER_BRANCH	DOWNSTREAM	The full 3D branch is valuable but rests on a POSIT carrier and adopted action; it tests consequences rather than derives the parent law	S2 POSIT; L2+L4 conditional	native_hopfion_topology_audit_2026-07-19/AUDIT_REPORT.md
R12	F01/F02 geometry-only mass-bearing branches	Treat local massive-looking branches as native stable matter	CONDITIONAL_MATTER_BRANCH	DOWNSTREAM	They are conditional local tiles; complete global extension, source and persistence remain open	No native stable mass family	udt_post_july_mass_branch_reconciliation_2026-08-01/AUDIT_REPORT.md
R13	SNe/GR comparison	Use observational agreement to supply an absent native equation	OBSERVATIONAL_READOUT_OR_ANCHOR	COMPARISON_ONLY	Readouts can reject or constrain completed candidates but cannot manufacture the metric-native law	Comparison only	udt_xmax_observer_separation_audit_2026-07-24/AUDIT_REPORT.md
