object_id	object	model_layer	status	classification	upstream	supplies	does_not_supply	controlling_source	priority	runtime_is_scientific_evidence
K01	Founded reciprocal depth phi	RELATIONAL_KINEMATICS	DERIVED	FOUNDING_CONSTRAINT	two founding postulates	additive log-depth identity and reciprocal pair relation	profile equation; complete coframe lift; dynamics	udt_founding_reciprocity_object_audit_2026-07-27/AUDIT_REPORT.md	NOW	NO
K02	Reciprocal pair action diag(exp(-phi),exp(phi))	RELATIONAL_KINEMATICS	DERIVED	FOUNDING_CONSTRAINT	K01	exact two-slot reciprocal comparison law	physical event realization; angular action; evolution	CURRENT_SCIENTIFIC_PREMISES.tsv	NOW	NO
K03	Observer-frame reciprocity	RELATIONAL_KINEMATICS	DERIVED-LOCAL-SCHEMA	FOUNDING_CONSTRAINT	K01;K02	covariant local relational comparison; endpoint composition once realization supplied	global rigid frame; path choice; acceleration law	udt_founding_reciprocity_object_audit_2026-07-27/STATUS_LEDGER.tsv	NOW	NO
K04	Einsteinian c and observed G calibration anchors	CALIBRATION	OBSERVED	OBSERVATIONAL_READOUT_OR_ANCHOR	observation	physical units and retained macro calibration	native action; profile selection; numerical Xmax	CURRENT_SCIENTIFIC_PREMISES.tsv	DOWNSTREAM	NO
G01	Complete coframe extension arena	COMPLETE_GEOMETRY	DERIVED-CLASS	METRIC_DERIVED_STRUCTURE	K01;K02	seven-parameter triangular pointwise extension class and its reductions	unique physical lift; field equation	udt_founded_phi_complete_coframe_extension_audit_2026-07-25/EXTENSION_CLASS_LEDGER.tsv	NOW	NO
G02	General angular screen and shear geometry	COMPLETE_GEOMETRY	OBSERVED-BOUNDED-ATLAS	METRIC_DERIVED_STRUCTURE	G01	full stationary GL2 screen degrees, gauge, shear and angular-generator data	generic nonstationary completion; physical selection	udt_general_screen_complete_cell_atlas_2026-07-28/AUDIT_REPORT.md	NOW	NO
G03	Phi-gradient causal and temporal soldering classes	COMPLETE_GEOMETRY	DERIVED-LOCAL-CLASSIFICATION	METRIC_DERIVED_STRUCTURE	G01	causal branch classification and local clock/spatial leaf structure	global threading; dynamical time law	udt_temporal_soldering_atlas_2026-07-22/AUDIT_REPORT.md	NOW	NO
G04	Cartan, metric-compatibility and projector identities	COMPLETE_GEOMETRY	DERIVED-BOUNDED	METRIC_DERIVED_STRUCTURE	G01;G02	sparse geometric identities and admissible transport data	a native response law or physical time evolution	udt_global_metric_assembly_atlas_2026-07-22/AUDIT_REPORT.md	NOW	NO
G05	Stationary physical comparison map	COMPLETE_GEOMETRY	DERIVED-CONDITIONAL-BRANCH	METRIC_DERIVED_STRUCTURE	K03;stationary Killing field	Killing-norm endpoint depth and path-labelled coframe transport	arbitrary observer comparison; physical path-family selector	udt_complete_physical_comparison_map_audit_2026-07-27/AUDIT_REPORT.md	NEXT	NO
G06	Global transition and completion families	COMPLETE_GEOMETRY	OBSERVED-BOUNDED-ATLAS	GLOBAL_COMPLETION_JOINT	G01;G02;G04	constructive finite-cell completion families and transition constraints	a selected global completion or boundary law	udt_global_metric_assembly_atlas_2026-07-22/STATUS_LEDGER.tsv	NEXT	NO
J01	Covariant complete-coframe lift or section rule	COMPLETE_GEOMETRY	OPEN	GLOBAL_COMPLETION_JOINT	K01;G01	would realize founded reciprocal comparison on the complete coframe	is not selected by composition or current registered local premises	udt_complete_coframe_native_selector_audit_2026-07-26/AUDIT_REPORT.md	NEXT	NO
J02	Native spacetime law or response operator	DYNAMICAL_CLOSURE	OPEN	DYNAMICAL_CLOSURE_JOINT	K01-K03;G01-G06	would distinguish identities/configurations from admissible solutions and supply evolution/constraint content	action form is not preregistered or assumed	udt_global_local_relational_closure_audit_2026-07-25/AUDIT_REPORT.md	NEXT	NO
J03	Boundary, seal and global completion law	GLOBAL_COMPLETION	OPEN	GLOBAL_COMPLETION_JOINT	G06;J02	would determine admissible transition/boundary data and completed cells	unique external edge, seam or quotient not currently derived	udt_global_metric_assembly_atlas_2026-07-22/AUDIT_REPORT.md	AFTER_LAW	NO
J04	Global-local bootstrap return	GLOBAL_LOCAL_CLOSURE	WORKING	WORKING_BOOTSTRAP_HYPOTHESIS	J02;J03;native global observables	possible on-shell self-consistency between universe and local admissibility	no native mass functional, return map, tuning theorem or density selector	udt_metric_native_selector_rank_closure_audit_2026-07-27/AUDIT_REPORT.md	AFTER_LAW	NO
J05	Observer-pair separation functional and Xmax	GLOBAL_RELATIONAL_GEOMETRY	WORKING-SCHEMA	GLOBAL_COMPLETION_JOINT	K03;G05;G06;J03	type-correct global maximum-separation definition once distance/path/domain are supplied	no current numerical value, uncrossability theorem or unique pair functional	udt_xmax_observer_separation_audit_2026-07-24/AUDIT_REPORT.md	AFTER_LAW	NO
D01	Time-live evolution and boundary flux	DYNAMICS	CONDITIONAL-TEMPLATES	DEFERRED_NONBLOCKING	J02;J03	future characteristic/evolution test once native evolved variables and operator exist	current conditional C2/EH characteristics do not select native dynamics	udt_time_live_characteristic_flux_audit_2026-07-21/AUDIT_REPORT.md	AFTER_LAW	NO
M01	Native carrier, source, mass and persistence law	MATTER_CONSEQUENCES	OPEN	DYNAMICAL_CLOSURE_JOINT	J02;J03;possibly J04	required for unconditional matter emergence and mass	neither topology nor geometry-only mass-bearing branches supply it	udt_native_stability_configuration_space_audit_2026-08-01/AUDIT_REPORT.md	DOWNSTREAM	NO
M02	S2 L2+L4 Hopfion branch	MATTER_CONSEQUENCES	CONDITIONAL	CONDITIONAL_MATTER_BRANCH	S2 carrier POSIT; adopted L2+L4; finite box	full 3D Hopf-capable conditional stable branch	native carrier emergence, unconditional mass or native source	native_hopfion_topology_audit_2026-07-19/AUDIT_REPORT.md	DOWNSTREAM	NO
O01	Macro SNe and other observational readouts	OBSERVATIONAL_READOUT	OBSERVED-SCOPED	OBSERVATIONAL_READOUT_OR_ANCHOR	supplied local WR-L profile and observational pipeline	can constrain or compare a completed branch	cannot derive the global separation operator or native law	udt_xmax_observer_separation_audit_2026-07-24/AUDIT_REPORT.md	COMPARISON_ONLY	NO
S01	C08 homogeneous ideal/reverse-containment certificate	GEOMETRIC_SIDE_CERTIFICATE	OPEN	CERTIFICATE_SIDE_LEMMA	bounded defect-curvature polynomial family	could finish an exact algebraic description of one bounded zero-set question	not dynamics, selection, action, source or global closure	udt_kernel_plane_global_curvature_holonomy_atlas_2026-08-02/C08_HOMOGENEOUS_CERTIFICATE_RETURN_STATUS.md	PAUSED	NO
S02	Kernel-plane defect transport and curvature texture	GEOMETRIC_SIDE_ATLAS	OBSERVED-BOUNDED	DEFERRED_NONBLOCKING	G02;G04	branch-dependent local turning, orientability and connection-curvature data	no EOM, selector, source or physical transport law	udt_intrinsic_defect_transport_atlas_2026-08-02/AUDIT_REPORT.md	PAUSED	NO
