requirement	status_after_G305	meaning
compact_S3_spatial_domain	DERIVED_CONDITIONAL_POSITIVE_STANDARD_COMPLETION	metric_supplies_domain_in_bounded_positive_sector
outer_boundary_collapse	NOT_NEEDED_POSITIVE__STILL_EXTRA_FOR_R3	one_historical_scaffold_removed_only_positive
nontrivial_map_class_exists	DERIVED_MATHEMATICAL_EXISTENCE_POSITIVE	pi3_S2_is_Z
physical_map_or_section	OPEN	no population or field ownership
fixed_physical_S2_target	OPEN	celestial_screen_not_automatically_internal_target
local_frame_gauge_descent	OPEN_FOR_ACTUAL_FIELD	raw_component_Hopf_number_not_enough
covariant_action	OPEN	old_L2_plus_L4_not_imported
time_live_dynamics_or_conservation	OPEN	kinematic_fixed_topology_persistence_only
stability_and_backreaction	OPEN	old_fixed_box_stability_remains_conditional
physical_history_selection	OPEN	existence_rejects_no_positive_history
curvature_magnitude_mass_or_Xmax	OPEN	topological_integer_is_scale_blind
