path	role	sha256
UDT_RECIPROCAL_C_FOUNDING_POSTULATE_DERIVATION_RESULTS.md	founding_regression_guard	b2bdf9dd427871c6e951c6b47748b7663aa4a6264fcfcbff59b51f1ea2272003
CURRENT_SCIENTIFIC_PREMISES.tsv	exact_premise_authority	33b780ba8a76a03c8b8447698c5d9e957d70184a83d8eacdf19aca4d32196f51
native_hopfion_topology_audit_2026-07-19/AUDIT_REPORT.md	historical_Hopfion_scope	df0171eb83d75ad175727a8db541df8500b7826edf6059ae63a52f1a1ba15bea
native_hopfion_topology_audit_2026-07-19/TOPOLOGY_STATUS_LEDGER.tsv	historical_topology_grades	de154fbb7787759864786c04186a26a4605c447d362112bb482acee064d457e4
udt_g289_native_kernel_hopfion_compatibility_history_constraint_audit_2026-08-28/AUDIT_REPORT.md	current_Hopfion_compatibility_boundary	b0a660145d706efda621b8f4dd90651ee7cca4718c320f32c8da2948dc9fbe35
udt_g290_metric_native_topology_history_bridge_whiteboard_2026-08-28/EXACT_DERIVATION.md	metric_screen_holonomy_boundary	cd617406460bc39d0b3815ed1e9a1770aae0c742d95b278b6b67316068958b9f
udt_g292_orientable_screen_differential_character_descent_2026-08-28/EXACT_DERIVATION.md	screen_Euler_character_boundary	5110467642cb103339d8ba378a6e06942ba37ceb9736c02fe62cf1769eb9f7e0
udt_g304_global_cell_constant_sector_discriminator_2026-08-30/EXACT_DERIVATION.md	three_sign_family	b7c3b03c6b5c9d1ada2c675b331cc805ed9575d1d7a9944c16c1f9c4481e288c
udt_g305_global_completion_hopf_domain_bridge_2026-08-30/MAP.md	preregistered_map	361f3c47e3a2d5dbf9db3e48f0aace80eae4c9069f37a2a24cc38ee29008ccc4
udt_g305_global_completion_hopf_domain_bridge_2026-08-30/PREREGISTRATION.md	frozen_contract	de38b3906384775dfffe0f6576590f3bd7f68b1ff7f518a3957de69b897d9394
udt_g305_global_completion_hopf_domain_bridge_2026-08-30/PREMISE_LEDGER.tsv	frozen_premise_ledger	8b2b711692df1aae6347989298bd6ba591a02d7b8ea014783dcfb8efb2691e45
