object	status	active_role	forbidden_promotion
G304_centered_constant_family	DERIVED_CONDITIONAL	three_sign_input_family	selected_UDT_field_equation_or_history
G17_finite_causal_ceiling	WORKING	existing_positive_sign_condition	founded_theorem_or_scale_law
ambient_induced_metric	STANDARD_METHOD	direct_chart_and_completion_derivation	imported_GR_dynamics
standard_simply_connected_completion	CHOSE_BOUNDED_SCOPE	global_topology_census	all_possible_global_quotients
G225_celestial_screen	DERIVED_CONDITIONAL	screen_topology_control	fixed_internal_matter_target
G289_historical_Hopfion	CONDITIONAL_COMPARISON_ONLY	prerequisite_crosswalk	metric_derived_carrier_action_boundary_or_stability
G290_screen_holonomy	DERIVED_CONDITIONAL	differential_evaluator_control	history_selector_or_conserved_charge
G292_Euler_character	DERIVED_CONDITIONAL	discrete_screen_sector_control	continuous_flux_or_history_law
explicit_Hopf_map	FREE_AND_EXPLORED_TEST_OBJECT	existence_and_integer_test	owned_physical_section
curvature_radius	FREE_AND_EXPLORED	magnitude_independence_test	observed_scale_or_physical_Xmax
observations_actions_sources_mass_models	OMITTED	outside_scope	implicit_input
nontrivial_quotients_topology_change_nonspherical_deformations	OMITTED	explicit_scope_boundary	universal_completion_claim
